"crop","fips","year","obsprod","estprod"
"barley","04003",1965,159000.0,0.0
"barley","04003",1966,152500.0,0.0
"barley","04003",1967,241000.0,0.0
"barley","04003",1968,316000.0,0.0
"barley","04003",1969,370000.0,0.0
"barley","04003",1970,476000.0,0.0
"barley","04003",1971,546000.0,0.0
"barley","04003",1972,410400.0,0.0
"barley","04003",1973,351000.0,0.0
"barley","04003",1974,216000.0,0.0
"barley","04003",1975,238000.0,0.0
"barley","04003",1976,162800.0,0.0
"barley","04003",1977,52000.0,0.0
"barley","04003",1978,63000.0,0.0
"barley","04003",1979,65000.0,0.0
"barley","04003",1980,66600.0,0.0
"barley","04003",1981,68000.0,0.0
"barley","04003",1982,77400.0,0.0
"barley","04003",1983,120500.0,0.0
"barley","04003",1984,176400.0,0.0
"barley","04003",1985,87500.0,0.0
"barley","04003",1986,42000.0,0.0
"barley","04003",1987,48000.0,0.0
"barley","04003",1989,44100.0,0.0
"barley","04003",1991,143000.0,0.0
"barley","04003",1992,121000.0,0.0
"barley","04003",1993,125000.0,0.0
"barley","04003",1994,170000.0,0.0
"barley","04003",1995,142000.0,0.0
"barley","04003",1996,500000.0,0.0
"barley","04003",1997,272500.0,0.0
"barley","04003",1998,343600.0,0.0
"barley","04003",1999,420000.0,0.0
"barley","04003",2000,491000.0,0.0
"barley","04003",2001,410000.0,0.0
"barley","04003",2002,218000.0,0.0
"barley","04003",2003,240000.0,0.0
"barley","04003",2004,595000.0,0.0
"barley","04003",2005,550000.0,0.0
"barley","04003",2006,330000.0,0.0
"barley","04003",2007,400200.0,0.0
"barley","04003",2008,312400.0,0.0
"barley","04003",2009,477200.0,0.0
"barley","04005",1968,24000.0,0.0
"barley","04005",1969,16000.0,0.0
"barley","04007",1975,11600.0,0.0
"barley","04007",1976,5900.0,0.0
"barley","04007",1977,6000.0,0.0
"barley","04007",1981,22700.0,0.0
"barley","04007",1982,26100.0,0.0
"barley","04009",1965,497000.0,0.0
"barley","04009",1966,567500.0,0.0
"barley","04009",1967,836000.0,0.0
"barley","04009",1968,697000.0,0.0
"barley","04009",1969,720000.0,0.0
"barley","04009",1970,826500.0,0.0
"barley","04009",1971,565000.0,0.0
"barley","04009",1972,218700.0,0.0
"barley","04009",1973,492800.0,0.0
"barley","04009",1974,355500.0,0.0
"barley","04009",1975,555000.0,0.0
"barley","04009",1976,547600.0,0.0
"barley","04009",1977,187000.0,0.0
"barley","04009",1978,79200.0,0.0
"barley","04009",1979,135000.0,0.0
"barley","04009",1980,170000.0,0.0
"barley","04009",1981,200000.0,0.0
"barley","04009",1982,300400.0,0.0
"barley","04009",1983,315800.0,0.0
"barley","04009",1984,390300.0,0.0
"barley","04009",1985,315300.0,0.0
"barley","04009",1986,187000.0,0.0
"barley","04009",1987,126500.0,0.0
"barley","04009",1988,83000.0,0.0
"barley","04009",1989,68700.0,0.0
"barley","04009",1990,71000.0,0.0
"barley","04009",1991,152000.0,0.0
"barley","04009",1992,142000.0,0.0
"barley","04009",1993,91000.0,0.0
"barley","04009",1996,168000.0,0.0
"barley","04009",1997,226100.0,0.0
"barley","04009",1998,257500.0,0.0
"barley","04009",1999,275000.0,0.0
"barley","04009",2000,120000.0,0.0
"barley","04009",2001,115000.0,0.0
"barley","04009",2007,94000.0,0.0
"barley","04009",2009,116000.0,0.0
"barley","04009",2010,117000.0,0.0
"barley","04011",1965,54000.0,0.0
"barley","04011",1966,36000.0,0.0
"barley","04011",1967,17000.0,0.0
"barley","04011",1968,18000.0,0.0
"barley","04011",1969,12000.0,0.0
"barley","04011",1970,21000.0,0.0
"barley","04011",1972,7000.0,0.0
"barley","04011",1974,10000.0,0.0
"barley","04011",1975,17700.0,0.0
"barley","04011",1976,6000.0,0.0
"barley","04011",1997,182400.0,0.0
"barley","04011",1998,99000.0,0.0
"barley","04013",1965,5.451e6,0.0026491984761086423
"barley","04013",1966,4.13e6,0.0025243491635744235
"barley","04013",1967,5.53e6,0.0026867930688753237
"barley","04013",1968,6.132e6,0.0026600967940171097
"barley","04013",1969,4.671e6,0.0025010323562114508
"barley","04013",1970,4.958e6,0.002701900720448225
"barley","04013",1971,4.05e6,0.002681192710405891
"barley","04013",1972,3.0141e6,0.002463489252784079
"barley","04013",1973,3.8501e6,0.0025895021343654945
"barley","04013",1974,1.9968e6,0.00247472369877936
"barley","04013",1975,2.156e6,0.002684813748145675
"barley","04013",1976,2.1088e6,0.002618837942470003
"barley","04013",1977,2.01e6,0.0024737593771794876
"barley","04013",1978,1.036e6,0.0026338189662732238
"barley","04013",1979,1.232e6,0.002631653548545376
"barley","04013",1980,1.4377e6,0.002574507883518033
"barley","04013",1981,1.2893e6,0.0023368725787139763
"barley","04013",1982,1.405e6,0.0025361065773227866
"barley","04013",1983,906500.0,0.0028046132743078066
"barley","04013",1984,2.0844e6,0.0025378141062526918
"barley","04013",1985,3.0459e6,0.0024753638726203345
"barley","04013",1986,1.3974e6,0.0024853136681208038
"barley","04013",1987,811500.0,0.0023491576547684566
"barley","04013",1988,425100.0,0.0025727339624351774
"barley","04013",1989,416300.0,0.0023618262086763024
"barley","04013",1990,788800.0,0.0024212302307439625
"barley","04013",1991,742000.0,0.002561536802256763
"barley","04013",1992,870000.0,0.0025134718849988873
"barley","04013",1993,1.34e6,0.002564762810900864
"barley","04013",1994,1.184e6,0.002446680653563385
"barley","04013",1995,785000.0,0.0026317047006954074
"barley","04013",1996,1.837e6,0.002331678858920843
"barley","04013",1997,2.4832e6,0.002299069511785433
"barley","04013",1998,2.1127e6,0.0026584381754522946
"barley","04013",1999,2.576e6,0.0025118001395191955
"barley","04013",2000,1.28e6,0.002278334887000534
"barley","04013",2001,1.3e6,0.0024387871514424554
"barley","04013",2002,1.9e6,0.0023113595038230274
"barley","04013",2003,1.643e6,0.0025360493855232933
"barley","04013",2004,1.7e6,0.002357660611532476
"barley","04013",2005,1.12e6,0.0025629617824590597
