fips,name,state,farmvalue,valuesource,profit,profitsource,estprofit,estprofitsource,estprofit_changeirr,estprofitsource_changeirr,obscrop,toadd,esttoadd,esttoadd_changeirr
01001,Autauga,AL,81.88,cott,118.24999999999994,corn,215.65724715903843,cott,225.49802869962582,cott,cott,38.55000000000001,0,0
01003,Baldwin,AL,81.88,cott,118.24999999999994,corn,413.6130528479618,corn,400.6685332665116,corn,soyb,42.147279999999995,283.03891505898594,263.88610717989326
01005,Barbour,AL,81.88,cott,118.24999999999994,corn,532.2897110512372,corn,511.87404370717815,corn,corn,0,0,0
01007,Bibb,AL,72.63,corn,270.54,corn,178.06197382384806,corn,178.065971135982,corn,NA,270.54,178.06197382384806,178.065971135982
01009,Blount,AL,72.63,corn,270.54,corn,391.3308467144879,corn,391.3308467144879,corn,soyb,168.48158999999998,72.03186040225364,71.88123209543733
01011,Bullock,AL,81.88,cott,118.24999999999994,corn,365.48549907318494,corn,366.2173136289692,corn,NA,118.24999999999994,365.48549907318494,366.2173136289692
01013,Butler,AL,81.88,cott,118.24999999999994,corn,360.62563018965693,cott,365.462584978049,cott,corn,0,27.955755126119755,35.04346274467963
01015,Calhoun,AL,72.63,corn,270.54,corn,396.91970908231366,corn,389.66510385264183,corn,soyb,168.48158999999998,26.090043192106066,13.339305201826733
01017,Chambers,AL,81.88,cott,118.24999999999994,corn,490.15340189513176,cott,490.15340189513176,cott,NA,118.24999999999994,490.15340189513176,490.15340189513176
01019,Cherokee,AL,72.63,corn,270.54,corn,322.8236113270446,corn,320.23491223621744,corn,soyb,168.48158999999998,59.6311145895387,55.13045939495731
01021,Chilton,AL,72.63,corn,270.54,corn,273.89280584429804,soyb,273.78625642673,soyb,NA,270.54,273.89280584429804,273.78625642673
01023,Choctaw,AL,81.88,cott,118.24999999999994,corn,162.39611157580686,soyb,162.38922088249103,soyb,NA,118.24999999999994,162.39611157580686,162.38922088249103
01025,Clarke,AL,81.88,cott,118.24999999999994,corn,341.2547374303469,soyb,341.2193558900844,soyb,NA,118.24999999999994,341.2547374303469,341.2193558900844
01027,Clay,AL,81.88,cott,118.24999999999994,corn,333.4737535650455,soyb,333.4350227223841,soyb,NA,118.24999999999994,333.4737535650455,333.4350227223841
01029,Cleburne,AL,72.63,corn,270.54,corn,427.4863546858898,corn,427.4927804160123,corn,NA,270.54,427.4863546858898,427.4927804160123
01031,Coffee,AL,81.88,cott,118.24999999999994,corn,136.466591953371,soyb,141.6949300865573,soyb,cott,38.55000000000001,188.96182132158054,182.30422726399075
01033,Colbert (new),AL,81.88,cott,118.24999999999994,corn,237.23513585563052,soyb,238.47278993588264,soyb,corn,0,70.41652565470423,72.91201322086818
01035,Conecuh,AL,81.88,cott,118.24999999999994,corn,261.84290866540533,soyb,264.49451486283715,soyb,cott,38.55000000000001,41.97225526123265,38.72645872349278
01037,Coosa,AL,81.88,cott,118.24999999999994,corn,234.71822365591765,soyb,234.61771281069184,soyb,NA,118.24999999999994,234.71822365591765,234.61771281069184
01039,Covington,AL,81.88,cott,118.24999999999994,corn,327.45255469413644,cott,209.79524858348134,soyb,cott,38.55000000000001,0,70.93764707152764
01041,Crenshaw,AL,81.88,cott,118.24999999999994,corn,283.90515660196286,cott,301.09144497497243,cott,corn,0,87.5883514777583,111.61116584511211
01043,Cullman,AL,72.63,corn,270.54,corn,456.2248269931285,corn,455.3252073221775,corn,soyb,168.48158999999998,161.55839900053184,159.7716338256871
01045,Dale,AL,81.88,cott,118.24999999999994,corn,165.34201763627942,soyb,173.00067491261126,soyb,cott,38.55000000000001,47.29267194910784,34.66718772606686
01047,Dallas,AL,81.88,cott,118.24999999999994,corn,258.7557903955619,cott,268.7152740588334,cott,cott,38.55000000000001,0,0
01049,Dekalb,AL,72.63,corn,270.54,corn,330.6051119493473,soyb,331.3048205107179,soyb,soyb,168.48158999999998,0,0
01051,Elmore,AL,81.88,cott,118.24999999999994,corn,325.43220411023486,barl,328.910122372178,barl,cott,38.55000000000001,39.72726375677581,36.69066349804058
01053,Escambia,AL,81.88,cott,118.24999999999994,corn,517.7860030257161,cott,367.82634299436694,corn,cott,38.55000000000001,0,90.32009348545017
01055,Etowah,AL,72.63,corn,270.54,corn,396.0009634087251,corn,396.4143625816776,corn,NA,270.54,396.0009634087251,396.4143625816776
01057,Fayette,AL,81.88,cott,118.24999999999994,corn,314.6642736291938,corn,313.95676304046225,corn,soyb,42.147279999999995,5.930909455528422,4.460195119202524
01059,Franklin,AL,81.88,cott,118.24999999999994,corn,282.96022578984525,soyb,283.83995465498685,soyb,soyb,42.147279999999995,0,0
01061,Geneva,AL,81.88,cott,118.24999999999994,corn,238.12346022305616,rice,254.62141912861983,rice,cott,38.55000000000001,154.77389463830883,314.7832581804787
01063,Greene,AL,81.88,cott,118.24999999999994,corn,504.7541622637425,cott,504.7541622637425,cott,NA,118.24999999999994,504.7541622637425,504.7541622637425
01065,Hale,AL,81.88,cott,118.24999999999994,corn,408.8061722057625,corn,408.9522263141452,corn,NA,118.24999999999994,408.8061722057625,408.9522263141452
01067,Henry,AL,81.88,cott,118.24999999999994,corn,386.6990328024145,corn,378.28982820904804,corn,cott,38.55000000000001,158.07795585161438,126.56550521754974
01069,Houston,AL,81.88,cott,118.24999999999994,corn,339.49824850948454,corn,331.37586455740285,corn,cott,38.55000000000001,284.0127476053603,399.7641736568795
01071,Jackson,AL,72.63,corn,270.54,corn,332.04809630914843,corn,331.34672033948783,corn,soyb,168.48158999999998,92.76087298102016,91.61356816879379
01073,Jefferson,AL,72.63,corn,270.54,corn,336.565054765287,soyb,336.4612407716469,soyb,NA,270.54,336.565054765287,336.4612407716469
01075,Lamar,AL,81.88,cott,118.24999999999994,corn,241.70161898738075,soyb,241.58032034043197,soyb,NA,118.24999999999994,241.70161898738075,241.58032034043197
01077,Lauderdale,AL,72.63,corn,270.54,corn,515.496007347394,corn,512.2767899804765,corn,corn,0,0,0
01079,Lawrence,AL,72.63,corn,270.54,corn,527.41333012425,corn,525.6318827174291,corn,corn,0,0,0
01081,Lee,AL,81.88,cott,118.24999999999994,corn,267.4034457984539,soyb,267.1221897067774,soyb,NA,118.24999999999994,267.4034457984539,267.1221897067774
01083,Limestone,AL,72.63,corn,270.54,corn,634.4978942823129,corn,630.7391698725492,corn,soyb,168.48158999999998,312.7137433317628,305.8774193049316
01085,Lowndes,AL,81.88,cott,118.24999999999994,corn,320.412170204271,cott,320.412170204271,cott,NA,118.24999999999994,320.412170204271,320.412170204271
01087,Macon,AL,81.88,cott,118.24999999999994,corn,286.9922991474775,barl,265.2588289254436,cott,soyb,42.147279999999995,40.656288424723186,18.809341054795823
01089,Madison,AL,72.63,corn,270.54,corn,342.6169655150495,soyb,344.823857287694,soyb,soyb,168.48158999999998,0,0
01091,Marengo,AL,81.88,cott,118.24999999999994,corn,271.6581963840323,cott,271.76610546851737,cott,soyb,42.147279999999995,27.80008343861533,27.870149497487603
01093,Marion,AL,81.88,cott,118.24999999999994,corn,256.6723191396951,soyb,256.65833559231965,soyb,NA,118.24999999999994,256.6723191396951,256.65833559231965
01095,Marshall,AL,72.63,corn,270.54,corn,401.3113244191067,corn,400.2888124481786,corn,soyb,168.48158999999998,124.80719189754404,123.20623737336206
01097,Mobile,AL,81.88,cott,118.24999999999994,corn,392.98949191391154,corn,384.8567490116524,corn,cott,38.55000000000001,258.5584915998033,238.33596212326773
01099,Monroe,AL,81.88,cott,118.24999999999994,corn,526.2142124217582,cott,536.206230746267,cott,cott,38.55000000000001,0,0
01101,Montgomery,AL,81.88,cott,118.24999999999994,corn,260.4869310601488,soyb,260.2957076027018,soyb,NA,118.24999999999994,260.4869310601488,260.2957076027018
