fips,name,state,farmvalue,valuesource,profit,profitsource,estprofit,estprofitsource,estprofit_changeirr,estprofitsource_changeirr,obscrop,toadd,esttoadd,esttoadd_changeirr
01001,Autauga,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,cott,38.55000000000001,Inf,Inf
01003,Baldwin,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,soyb,42.147279999999995,Inf,Inf
01005,Barbour,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
01007,Bibb,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
01009,Blount,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
01011,Bullock,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01013,Butler,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
01015,Calhoun,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
01017,Chambers,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01019,Cherokee,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
01021,Chilton,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
01023,Choctaw,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01025,Clarke,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01027,Clay,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01029,Cleburne,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,NA,270.54,0.0,0.0
01031,Coffee,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,cott,38.55000000000001,Inf,Inf
01033,Colbert (new),AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
01035,Conecuh,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,cott,38.55000000000001,Inf,Inf
01037,Coosa,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,NA,118.24999999999994,0.0,0.0
01039,Covington,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,cott,38.55000000000001,Inf,Inf
01041,Crenshaw,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,corn,0.0,Inf,Inf
01043,Cullman,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
01045,Dale,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,cott,38.55000000000001,Inf,Inf
01047,Dallas,AL,81.88,cott,118.24999999999994,corn,0.0,none,0.0,none,cott,38.55000000000001,Inf,Inf
01049,Dekalb,AL,0.0,corn,270.54,corn,0.0,none,0.0,none,soyb,168.48158999999998,Inf,Inf
