"fips","profit","crop","yield","price","costs"
30027,3.882879847340301e72,"Barley",9.171576214040818e71,4.233601462522852,132.16
16079,4.255315379680419e91,"Barley",1.0051289469142963e91,4.233601462522852,132.16
22035,7.80350548283317e92,"Soybean",7.74157289963608e91,10.08,119.19000000000005
5099,4.312613160785989e80,"Soybean",4.0304795895196164e79,10.7,147.42728
39001,2.8776209496486284e105,"Barley",6.923254979547536e104,4.156456692913386,101.73999999999998
29201,2.002831536880048e146,"Barley",4.8186031633501837e145,4.156456692913386,101.73999999999998
46009,1.827816698817755e85,"Barley",4.39753577111514e84,4.156456692913386,101.73999999999998
1131,5.707346781625365e74,"Soybean",5.333968954790061e73,10.7,147.42728
17131,1.0473314509074983e110,"Barley",2.5197699104941043e109,4.156456692913386,101.73999999999998
29125,9.178603563293762e122,"Barley",2.208276000792445e122,4.156456692913386,101.73999999999998
40097,2.78943708801073e80,"Soybean",2.6390133282977577e79,10.57,-36.75999999999999
41057,5.523758115348677e28,"Barley",1.1180984842210025e28,4.940314465408805,182.71000000000004
6037,4.321997774521544e104,"Barley",8.748426450954482e103,4.940314465408805,182.71000000000004
48223,2.198372308935211e76,"Soybean",2.054553559752534e75,10.7,147.42728
42109,1.0140389266722388e108,"Barley",1.9832593160448805e107,5.112992125984253,117.16000000000001
8075,8.464430352800083e81,"Barley",2.4108720207959115e81,3.510941385435169,98.39999999999999
30033,3.0421815146678966e99,"Barley",8.664859878573076e98,3.510941385435169,98.39999999999999
41045,7.669680606577443e83,"Barley",1.8116208326343008e83,4.233601462522852,132.16
22125,2.991345287417537e82,"Soybean",2.967604451803112e81,10.08,159.43928
19033,8.619479214581062e97,"Barley",2.073756531441065e97,4.156456692913386,101.73999999999998
56015,2.3869800991983496e101,"Barley",6.79868968790116e100,3.510941385435169,98.39999999999999
18183,3.0251194317973727e112,"Barley",7.278120897915516e111,4.156456692913386,101.73999999999998
38027,5.043414969950134e90,"Barley",1.4364850951007888e90,3.510941385435169,98.39999999999999
8045,2.030045840071481e106,"Barley",4.79508016529679e105,4.233601462522852,132.16
49003,7.247608896301746e78,"Barley",1.7119251683135077e78,4.233601462522852,34.72199999999995
38085,1.4771608866290552e98,"Barley",4.2073071705410036e97,3.510941385435169,98.39999999999999
48347,3.2628051079266883e84,"Soybean",3.049350568155784e83,10.7,147.42728
40043,5.834103106046506e78,"Soybean",5.97144637261669e77,9.77,140.93079
21211,6.983541618201465e146,"Barley",1.7007840086419837e146,4.106072013093289,127.89
13281,2.7593496531499683e104,"Barley",6.720168677877682e103,4.106072013093289,127.89
40051,1.070337877687703e96,"Soybean",1.095535186988437e95,9.77,140.93079
13271,1.3374501767561412e116,"Barley",3.2572496841052225e115,4.106072013093289,127.89
13217,2.3659323556696086e120,"Barley",5.762033272005975e119,4.106072013093289,127.89
5047,2.759246167522276e83,"Soybean",2.610450489614263e82,10.57,131.72159
38033,1.6436524890301146e84,"Barley",4.6815150371027613e83,3.510941385435169,98.39999999999999
54045,1.993584629956386e111,"Barley",4.8552110717963975e110,4.106072013093289,127.89
36107,2.457047300164917e86,"Barley",4.805497915160459e85,5.112992125984253,117.16000000000001
17165,1.4586459584360023e144,"Barley",3.509349588371612e143,4.156456692913386,101.73999999999998
28097,1.8496144708549996e67,"Soybean",1.834934990927579e66,10.08,159.43928
31141,7.325762865031242e89,"Barley",1.7625019111882996e89,4.156456692913386,101.73999999999998
18145,9.411521830040284e122,"Barley",2.2643136992348798e122,4.156456692913386,101.73999999999998
