"fips","topcrop","Barley","Corn","Cotton","Rice","Soybean","Wheat"
"01001","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01003","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01005","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01007","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01009","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01011","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01013","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01015","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01017","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01019","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01021","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01023","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01025","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01027","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01029","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01031","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01033","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01035","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01037","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01039","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01041","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01043","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01045","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01047","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01049","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01051","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01053","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01055","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01057","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01059","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01061","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01063","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01065","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01067","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01069","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01071","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01073","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01075","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01077","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01079","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01081","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01083","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01085","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01087","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01089","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01091","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01093","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01095","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01097","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01099","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01101","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01103","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01105","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01107","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01109","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01111","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01113","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01115","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01117","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01119","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01121","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01123","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01125","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01127","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01129","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01131","NA",0.0,0.0,0.0,0.0,0.0,0.0
"01133","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04001","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04003","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04005","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04007","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04009","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04011","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04012","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04013","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04015","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04017","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04019","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04021","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04023","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04025","NA",0.0,0.0,0.0,0.0,0.0,0.0
"04027","Wheat",0.0,0.0,0.0,0.0,0.0,23350.3822
"05001","NA",0.0,0.0,0.0,0.0,0.0,0.0
"05003","NA",0.0,0.0,0.0,0.0,0.0,0.0
"05005","NA",0.0,0.0,0.0,0.0,0.0,0.0
"05007","NA",0.0,0.0,0.0,0.0,0.0,0.0
"05009","NA",0.0,0.0,0.0,0.0,0.0,0.0
