fips,topcrop,Barley,Corn,Cotton,Rice,Soybean,Wheat
01001,Barley,3358.8938,0,0,0,0,0
01003,Cotton,0,0,13233.2322,0,0,0
01005,Cotton,0,0,768.9034,0,0,0
01007,NA,0,0,0,0,0,0
01009,Cotton,0,0,809.372,0,0,0
01011,NA,0,0,0,0,0,0
01013,Soybean,0,0,0,0,728.4348,0
01015,Cotton,0,0,2913.7392,0,0,0
01017,NA,0,0,0,0,0,0
01019,Soybean,0,0,0,0,12747.609,0
01021,NA,0,0,0,0,0,0
01023,NA,0,0,0,0,0,0
01025,NA,0,0,0,0,0,0
01027,NA,0,0,0,0,0,0
01029,NA,0,0,0,0,0,0
01031,Cotton,0,0,10157.6186,0,0,0
01033,Barley,17887.121199999998,0,0,0,0,0
01035,NA,0,0,0,0,0,0
01037,NA,0,0,0,0,0,0
01039,Soybean,0,0,0,0,7041.5364,0
01041,Corn,0,890.3092,0,0,0,0
01043,Cotton,0,0,3763.5798,0,0,0
01045,NA,0,0,0,0,0,0
01047,Cotton,0,0,4856.232,0,0,0
01049,Soybean,0,0,0,0,9186.3722,0
01051,NA,0,0,0,0,0,0
01053,Soybean,0,0,0,0,11574.0196,0
01055,NA,0,0,0,0,0,0
01057,Soybean,0,0,0,0,2185.3044,0
01059,NA,0,0,0,0,0,0
01061,Barley,10440.898799999999,0,0,0,0,0
01063,NA,0,0,0,0,0,0
01065,NA,0,0,0,0,0,0
01067,NA,0,0,0,0,0,0
01069,Barley,12666.6718,0,0,0,0,0
01071,Cotton,0,0,21205.5464,0,0,0
01073,NA,0,0,0,0,0,0
01075,NA,0,0,0,0,0,0
01077,NA,0,0,0,0,0,0
01079,Cotton,0,0,25980.8412,0,0,0
01081,NA,0,0,0,0,0,0
01083,Soybean,0,0,0,0,37959.5468,0
01085,NA,0,0,0,0,0,0
01087,Soybean,0,0,0,0,566.5604,0
01089,Soybean,0,0,0,0,34883.9332,0
01091,Soybean,0,0,0,0,1821.087,0
01093,NA,0,0,0,0,0,0
01095,NA,0,0,0,0,0,0
01097,Cotton,0,0,2832.802,0,0,0
01099,Cotton,0,0,7567.6282,0,0,0
01101,NA,0,0,0,0,0,0
01103,Soybean,0,0,0,0,5625.1354,0
01105,Barley,647.4976,0,0,0,0,0
01107,Cotton,0,0,3197.0194,0,0,0
01109,Soybean,0,0,0,0,3035.145,0
01111,NA,0,0,0,0,0,0
01113,NA,0,0,0,0,0,0
01115,NA,0,0,0,0,0,0
01117,Cotton,0,0,2913.7392,0,0,0
01119,NA,0,0,0,0,0,0
01121,Barley,5422.7924,0,0,0,0,0
01123,NA,0,0,0,0,0,0
01125,Soybean,0,0,0,0,3358.8938,0
01127,NA,0,0,0,0,0,0
01129,Cotton,0,0,323.7488,0,0,0
01131,NA,0,0,0,0,0,0
01133,NA,0,0,0,0,0,0
04001,NA,0,0,0,0,0,0
04003,NA,0,0,0,0,0,0
04005,NA,0,0,0,0,0,0
04007,NA,0,0,0,0,0,0
04009,Cotton,0,0,8660.2804,0,0,0
04011,NA,0,0,0,0,0,0
04012,Cotton,0,0,6555.9132,0,0,0
04013,Cotton,0,0,23067.102,0,0,0
04015,NA,0,0,0,0,0,0
04017,NA,0,0,0,0,0,0
04019,Wheat,0,0,0,0,0,5260.918
04021,Cotton,0,0,49412.160599999996,0,0,0
04023,NA,0,0,0,0,0,0
04025,NA,0,0,0,0,0,0
04027,Wheat,0,0,0,0,0,23350.3822
05001,Soybean,0,0,0,0,128892.491,0
05003,Soybean,0,0,0,0,31970.194,0
05005,NA,0,0,0,0,0,0
05007,NA,0,0,0,0,0,0
05009,NA,0,0,0,0,0,0
05011,NA,0,0,0,0,0,0
05013,NA,0,0,0,0,0,0
05015,NA,0,0,0,0,0,0
05017,Soybean,0,0,0,0,85631.5576,0
05019,NA,0,0,0,0,0,0
05021,Cotton,0,0,101818.9976,0,0,0
05023,NA,0,0,0,0,0,0
05025,NA,0,0,0,0,0,0
05027,NA,0,0,0,0,0,0
05029,Soybean,0,0,0,0,10117.15,0
05031,Soybean,0,0,0,0,116670.97379999999,0
05033,Soybean,0,0,0,0,5948.8841999999995,0
05035,Soybean,0,0,0,0,121770.0174,0
05037,Corn,0,103801.959,0,0,0,0
05039,NA,0,0,0,0,0,0
05041,Corn,0,84498.4368,0,0,0,0
05043,Corn,0,20881.797599999998,0,0,0,0
05045,Rice,0,0,0,1133.1208,0,0
05047,NA,0,0,0,0,0,0
05049,NA,0,0,0,0,0,0
05051,NA,0,0,0,0,0,0
05053,NA,0,0,0,0,0,0
05055,Rice,0,0,0,73855.19499999999,0,0
05057,NA,0,0,0,0,0,0
05059,NA,0,0,0,0,0,0
05061,NA,0,0,0,0,0,0
05063,Wheat,0,0,0,0,0,22864.759
05065,NA,0,0,0,0,0,0
05067,Corn,0,107929.7562,0,0,0,0
05069,Corn,0,95586.8332,0,0,0,0
05071,Barley,647.4976,0,0,0,0,0
05073,Corn,0,8862.6234,0,0,0,0
05075,Rice,0,0,0,75676.28199999999,0,0
05077,Soybean,0,0,0,0,100604.9396,0
05079,Soybean,0,0,0,0,48724.1944,0
05081,Barley,5867.947,0,0,0,0,0
05083,Soybean,0,0,0,0,3439.831,0
05085,Cotton,0,0,95344.0216,0,0,0
05087,NA,0,0,0,0,0,0
05089,NA,0,0,0,0,0,0
05091,Barley,18858.367599999998,0,0,0,0,0
05093,Wheat,0,0,0,0,0,194330.21719999998
05095,Corn,0,78994.7072,0,0,0,0
05097,NA,0,0,0,0,0,0
05099,NA,0,0,0,0,0,0
05101,NA,0,0,0,0,0,0
05103,NA,0,0,0,0,0,0
05105,Soybean,0,0,0,0,1537.8068,0
05107,Soybean,0,0,0,0,121203.457,0
05109,NA,0,0,0,0,0,0
05111,Wheat,0,0,0,0,0,143906.34159999999
05113,NA,0,0,0,0,0,0
05115,Soybean,0,0,0,0,4330.1402,0
05117,Corn,0,78590.0212,0,0,0,0
05119,Soybean,0,0,0,0,15620.8796,0
05121,Rice,0,0,0,31241.7592,0,0
05123,Wheat,0,0,0,0,0,95020.27279999999
05125,NA,0,0,0,0,0,0
05127,NA,0,0,0,0,0,0
05129,NA,0,0,0,0,0,0
05131,NA,0,0,0,0,0,0
05133,NA,0,0,0,0,0,0
05135,NA,0,0,0,0,0,0
05137,NA,0,0,0,0,0,0
05139,NA,0,0,0,0,0,0
05141,NA,0,0,0,0,0,0
05143,NA,0,0,0,0,0,0
05145,Corn,0,25778.498199999998,0,0,0,0
05147,Corn,0,96274.7994,0,0,0,0
05149,NA,0,0,0,0,0,0
06001,NA,0,0,0,0,0,0
06003,NA,0,0,0,0,0,0
06005,NA,0,0,0,0,0,0
06007,Rice,0,0,0,37959.5468,0,0
06009,NA,0,0,0,0,0,0
06011,Corn,0,69727.39779999999,0,0,0,0
06013,NA,0,0,0,0,0,0
06015,NA,0,0,0,0,0,0
06017,NA,0,0,0,0,0,0
06019,Cotton,0,0,80289.7024,0,0,0
06021,Corn,0,43867.9624,0,0,0,0
06023,NA,0,0,0,0,0,0
06025,Wheat,0,0,0,0,0,23876.474
06027,NA,0,0,0,0,0,0
06029,Cotton,0,0,43989.3682,0,0,0
06031,Cotton,0,0,80815.7942,0,0,0
06033,NA,0,0,0,0,0,0
06035,NA,0,0,0,0,0,0
06037,NA,0,0,0,0,0,0
06039,Cotton,0,0,13718.8554,0,0,0
06041,NA,0,0,0,0,0,0
06043,NA,0,0,0,0,0,0
06045,NA,0,0,0,0,0,0
06047,Cotton,0,0,33224.7206,0,0,0
06049,NA,0,0,0,0,0,0
06051,NA,0,0,0,0,0,0
06053,NA,0,0,0,0,0,0
06055,NA,0,0,0,0,0,0
06057,NA,0,0,0,0,0,0
06059,NA,0,0,0,0,0,0
06061,Rice,0,0,0,5179.9808,0,0
06063,NA,0,0,0,0,0,0
06065,Wheat,0,0,0,0,0,9064.9664
06067,Corn,0,13111.8264,0,0,0,0
06069,NA,0,0,0,0,0,0
06071,NA,0,0,0,0,0,0
06073,NA,0,0,0,0,0,0
06075,NA,0,0,0,0,0,0
06077,Corn,0,51435.590599999996,0,0,0,0
06079,Barley,8498.405999999999,0,0,0,0,0
06081,NA,0,0,0,0,0,0
06083,NA,0,0,0,0,0,0
06085,NA,0,0,0,0,0,0
06087,NA,0,0,0,0,0,0
06089,Soybean,0,0,0,0,728.4348,0
06091,NA,0,0,0,0,0,0
06093,Soybean,0,0,0,0,8053.2514,0
06095,Corn,0,15378.068,0,0,0,0
06097,NA,0,0,0,0,0,0
06099,Cotton,0,0,3682.6426,0,0,0
06101,Corn,0,54227.924,0,0,0,0
06103,Corn,0,809.372,0,0,0,0
06105,NA,0,0,0,0,0,0
06107,Cotton,0,0,66166.161,0,0,0
06109,NA,0,0,0,0,0,0
06111,NA,0,0,0,0,0,0
06113,Corn,0,38890.3246,0,0,0,0
06115,Corn,0,16106.5028,0,0,0,0
08001,Wheat,0,0,0,0,0,75271.596
08003,Soybean,0,0,0,0,4856.232,0
08005,Wheat,0,0,0,0,0,27923.334
08007,NA,0,0,0,0,0,0
08009,Wheat,0,0,0,0,0,108132.0992
08011,Corn,0,5544.1982,0,0,0,0
08013,Wheat,0,0,0,0,0,3561.2368
08015,NA,0,0,0,0,0,0
08017,Wheat,0,0,0,0,0,99229.0072
08019,NA,0,0,0,0,0,0
08021,NA,0,0,0,0,0,0
08023,NA,0,0,0,0,0,0
08025,NA,0,0,0,0,0,0
08027,NA,0,0,0,0,0,0
08029,NA,0,0,0,0,0,0
08031,NA,0,0,0,0,0,0
08033,Wheat,0,0,0,0,0,5139.5122
08035,Wheat,0,0,0,0,0,404.686
08037,NA,0,0,0,0,0,0
08039,Corn,0,3884.9856,0,0,0,0
08041,NA,0,0,0,0,0,0
08043,NA,0,0,0,0,0,0
08045,NA,0,0,0,0,0,0
08047,NA,0,0,0,0,0,0
08049,NA,0,0,0,0,0,0
08051,NA,0,0,0,0,0,0
08053,NA,0,0,0,0,0,0
08055,NA,0,0,0,0,0,0
08057,NA,0,0,0,0,0,0
08059,NA,0,0,0,0,0,0
08061,Wheat,0,0,0,0,0,84903.1228
08063,Wheat,0,0,0,0,0,185750.87399999998
08065,NA,0,0,0,0,0,0
08067,NA,0,0,0,0,0,0
08069,Corn,0,9429.183799999999,0,0,0,0
08071,NA,0,0,0,0,0,0
08073,Wheat,0,0,0,0,0,74866.91
08075,Wheat,0,0,0,0,0,87816.862
08077,Wheat,0,0,0,0,0,1214.058
08079,NA,0,0,0,0,0,0
08081,NA,0,0,0,0,0,0
08083,Wheat,0,0,0,0,0,3642.174
08085,NA,0,0,0,0,0,0
08087,Wheat,0,0,0,0,0,23876.474
08089,Corn,0,5787.0098,0,0,0,0
