"fips","spring","winter"
13133,0,1
13135,0,1
13137,0,1
13139,0,1
13141,0,1
13143,0,1
13145,0,1
13147,0,1
13149,0,1
13151,0,1
13153,0,1
13155,0,1
13157,0,1
13159,0,1
13161,0,1
13163,0,1
13165,0,1
13167,0,1
13169,0,1
13171,0,1
13173,0,1
13175,0,1
13177,0,1
13179,0,1
13181,0,1
13183,0,1
1001,0,1
1003,0,1
1005,0,1
1007,0,1
1009,0,1
1011,0,1
1013,0,1
1015,0,1
1017,0,1
1019,0,1
1021,0,1
1023,0,1
1025,0,1
1027,0,1
1029,0,1
1031,0,1
1033,0,1
1035,0,1
1037,0,1
1039,0,1
1041,0,1
1043,0,1
1045,0,1
1047,0,1
1049,0,1
1051,0,1
1053,0,1
1055,0,1
1057,0,1
1059,0,1
1061,0,1
1063,0,1
1065,0,1
1067,0,1
1069,0,1
1071,0,1
1073,0,1
1075,0,1
1077,0,1
1079,0,1
1081,0,1
1083,0,1
1085,0,1
1087,0,1
1089,0,1
1091,0,1
1093,0,1
1095,0,1
1097,0,1
1099,0,1
1101,0,1
1103,0,1
1105,0,1
1107,0,1
1109,0,1
1111,0,1
1113,0,1
1115,0,1
1117,0,1
1119,0,1
1121,0,1
1123,0,1
1125,0,1
1127,0,1
1129,0,1
1131,0,1
1133,0,1
4001,0,1
4003,1,0
4005,0,1
4007,0,1
4009,0.5,0.5
4011,1,0
4012,0.811640610284423,0.188359389715577
4013,0.961519417132348,0.0384805828676523
4015,0,1
4017,0,1
4019,0.5,0.5
4021,0.5,0.5
4023,0,1
4025,0.5,0.5
4027,0.972436982478613,0.0275630175213871
5001,0,1
5003,0,1
5005,0,1
5007,0,1
5009,0,1
5011,0,1
5013,0,1
5015,0,1
5017,0,1
5019,0,1
5021,0,1
5023,0,1
5025,0,1
5027,0,1
5029,0,1
5031,0,1
5033,0,1
5035,0,1
5037,0,1
5039,0,1
5041,0,1
5043,0,1
5045,0,1
5047,0,1
5049,0,1
5051,0,1
5053,0,1
5055,0,1
5057,0,1
5059,0,1
5061,0,1
5063,0,1
5065,0,1
5067,0,1
5069,0,1
5071,0,1
5073,0,1
5075,0,1
5077,0,1
5079,0,1
5081,0,1
5083,0,1
5085,0,1
5087,0,1
5089,0,1
5091,0,1
5093,0,1
5095,0,1
5097,0,1
5099,0,1
5101,0,1
5103,0,1
5105,0,1
5107,0,1
5109,0,1
5111,0,1
5113,0,1
5115,0,1
5117,0,1
5119,0,1
5121,0,1
5123,0,1
5125,0,1
5127,0,1
5129,0,1
5131,0,1
5133,0,1
5135,0,1
5137,0,1
5139,0,1
5141,0,1
5143,0,1
5145,0,1
5147,0,1
5149,0,1
6001,0,1
6003,0,1
6005,0,1
6007,0,1
6009,0,1
6011,0,1
6013,0,1
6015,0,1
6017,0,1
6019,0.42754161178302,0.57245838821698
6021,0,1
6023,0,1
6025,0.991987960745247,0.00801203925475317
6027,0,1
6029,0.0604743286346332,0.939525671365367
6031,0.316609983311857,0.683390016688143
6033,0,1
6035,0.5,0.5
6037,0,1
6039,0.0564361361859407,0.943563863814059
6041,0,1
6043,0,1
6045,0,1
6047,0.000161576991436419,0.999838423008564
6049,0.486048365665692,0.513951634334308
6051,0,1
6053,0.5,0.5
6055,0,1
6057,0,1
6059,0,1
6061,0,1
6063,0,1
6065,0.619124797406807,0.380875202593193
6067,0,1
6069,0,1
6071,0.5,0.5
6073,0,1
6075,0,1
6077,0.0272506082725061,0.972749391727494
6079,0.666666666666667,0.333333333333333
6081,0,1
6083,0,1
6085,0,1
6087,0,1
6089,0.5,0.5
6091,1,0
6093,0.292098714226462,0.707901285773538
6095,0.5,0.5
6097,0,1
6099,0.5,0.5
6101,0.000178141979157388,0.999821858020843
6103,0,1
6105,0,1
6107,0.0794605607839333,0.920539439216067
6109,0,1
6111,0,1
6113,0.0195690847993675,0.980430915200633
6115,0,1
8001,0.00152408814231114,0.998475911857689
8003,0.5,0.5
8005,0.5,0.5
8007,0,1
8009,0,1
8011,0,1
8013,0.5,0.5
8015,0,1
8017,0.5,0.5
8019,0,1
8021,0.666666666666667,0.333333333333333
8023,0.5,0.5
8025,0,1
8027,0,1
8029,0.5,0.5
8031,0,1
8033,0.0247745609871856,0.975225439012814
8035,0.5,0.5
8037,0,1
8041,0,1
8039,0.5,0.5
8043,0,1
8045,0,1
8047,0,1
8049,0,1
8051,0,1
8053,0,1
8055,0,1
8057,0,1
8059,0,1
8061,0,1
8063,0,1
8067,0,1
8065,0,1
8069,0.0593068953197571,0.940693104680243
8071,0,1
8073,0,1
8075,0,1
8077,0.5,0.5
8079,0,1
8081,0.0416920003474333,0.958307999652567
8083,0.5,0.5
8085,0.5,0.5
8087,0.5,0.5
8089,0,1
8091,0,1
8093,0,1
8095,0.00220047898798436,0.997799521012016
8097,0,1
8099,0.666666666666667,0.333333333333333
8101,0,1
8103,0,1
8105,1,0
8107,0.5,0.5
8109,0.5,0.5
8111,0,1
8113,0,1
8115,0,1
8117,0,1
8119,0,1
8121,0.5,0.5
8123,0.00775278564477152,0.992247214355228
8125,0.5,0.5
9001,0,1
9003,0,1
9005,0,1
9007,0,1
9009,0,1
9011,0,1
9013,0,1
9015,0,1
10001,0,1
10003,0,1
10005,0,1
11001,0,1
12001,0,1
12003,0,1
12005,0,1
12007,0,1
12009,0,1
12011,0,1
12013,0,1
12015,0,1
12017,0,1
12019,0,1
12021,0,1
12023,0,1
12027,0,1
12029,0,1
12031,0,1
12033,0,1
12035,0,1
12037,0,1
12039,0,1
12041,0,1
12043,0,1
12045,0,1
12047,0,1
12049,0,1
12051,0,1
12053,0,1
12055,0,1
12057,0,1
12059,0,1
12061,0,1
12063,0,1
12065,0,1
12067,0,1
12069,0,1
12071,0,1
12073,0,1
12075,0,1
12077,0,1
12079,0,1
12081,0,1
12083,0,1
12085,0,1
12089,0,1
12091,0,1
12093,0,1
12095,0,1
12097,0,1
12099,0,1
12101,0,1
12103,0,1
12105,0,1
12107,0,1
12109,0,1
12111,0,1
12113,0,1
12115,0,1
12117,0,1
12119,0,1
12121,0,1
12123,0,1
12125,0,1
12127,0,1
12129,0,1
12131,0,1
12133,0,1
13001,0,1
13003,0,1
13005,0,1
13007,0,1
13009,0,1
13011,0,1
13013,0,1
13015,0,1
13017,0,1
13019,0,1
13021,0,1
13023,0,1
13025,0,1
13027,0,1
13029,0,1
13031,0,1
13033,0,1
13035,0,1
13037,0,1
13039,0,1
13043,0,1
13045,0,1
13047,0,1
13049,0,1
13051,0,1
13053,0,1
13055,0,1
13057,0,1
13059,0,1
13061,0,1
13063,0,1
13065,0,1
13067,0,1
13069,0,1
13071,0,1
13073,0,1
13075,0,1
13077,0,1
13079,0,1
13081,0,1
13083,0,1
13085,0,1
13087,0,1
13089,0,1
13091,0,1
13093,0,1
13095,0,1
13097,0,1
13099,0,1
13101,0,1
13103,0,1
13105,0,1
13107,0,1
13109,0,1
13111,0,1
13113,0,1
13115,0,1
13117,0,1
13119,0,1
13121,0,1
13123,0,1
13125,0,1
13127,0,1
13129,0,1
13131,0,1
13185,0,1
13187,0,1
13193,0,1
13195,0,1
13197,0,1
13189,0,1
13191,0,1
13199,0,1
13201,0,1
13205,0,1
13207,0,1
13209,0,1
13211,0,1
13213,0,1
13215,0,1
13217,0,1
13219,0,1
13221,0,1
13223,0,1
13225,0,1
13227,0,1
13229,0,1
13231,0,1
13233,0,1
13235,0,1
13237,0,1
13239,0,1
13241,0,1
13243,0,1
13245,0,1
13247,0,1
13249,0,1
13251,0,1
13253,0,1
13255,0,1
13257,0,1
13259,0,1
13261,0,1
13263,0,1
13265,0,1
13267,0,1
13269,0,1
13271,0,1
13273,0,1
13275,0,1
13277,0,1
13279,0,1
13281,0,1
13283,0,1
13285,0,1
13287,0,1
13289,0,1
13291,0,1
13293,0,1
13295,0,1
13297,0,1
13299,0,1
13301,0,1
13303,0,1
13305,0,1
13307,0,1
13309,0,1
13311,0,1
13313,0,1
13315,0,1
13317,0,1
13319,0,1
13321,0,1
16001,0.334215751158173,0.665784248841827
16003,0,1
16005,0.695342671990574,0.304657328009426
16007,0.943637595003386,0.0563624049966137
16009,0.387861834103624,0.612138165896376
16011,0.435239619155388,0.564760380844612
16013,1,0
16015,0,1
16017,1,0
16019,0.999979183146676,2.08168533244515e-05
16021,0.435231251151649,0.564768748848351
16023,0.5,0.5
16025,1,0
16027,0.161625460284061,0.838374539715939
16029,0.999956022692291,4.3977307709222e-05
