"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
283128.083260726,256760.854703018,260075.266916449,1917495.08028594,3692481.6005563,3757397.87495561,4003105.39786045,4054729.95771361,2223630.73163946,524665.745561081,322702.12428399,299783.478557939
8935.05218034361,8246.57497855833,8275.72301951773,1704866.01581122,3514555.17634988,3407356.47780714,3524756.32224917,3526527.97451312,1715087.63355002,17307.1406654781,10437.8317433599,9462.2548927663
712298.009813536,655392.668155107,647845.882174114,909683.867577872,1177535.93961182,1743089.51049354,2174739.75924225,2347926.02891395,1908888.89342178,1530703.97107349,864398.934252992,763834.235619709
12852.6788250605,11848.0946864581,11820.4503847511,647654.037050568,1325789.61256626,1292688.13500893,1341760.25901514,1344533.91133002,663656.733674431,25959.8009616235,15242.029946797,13678.0535633616
10580.0547114252,9879.10623773907,10471.9679637488,1109737.47746472,2282893.86798131,2210264.26949817,2284566.18698119,2284856.62177856,1111413.15250387,11952.5282335784,10532.370337518,10666.4813855928
9594.79017295155,8945.47035916947,9416.44703928553,1708913.49496365,3522186.94037355,3410238.03648268,3524946.26672335,3525425.48413901,1711678.35877824,11859.3714845043,9769.73353990473,9737.39418532818
242376.044818626,220813.051852223,221917.479271451,1882361.67882619,3656385.33965349,3711371.01932252,3945958.07585937,3994889.13580144,2169522.70782044,472187.778116916,281984.731583312,257693.927580788
28375.1619511193,26107.4360309899,25802.6973564216,43051.0233346412,60988.9214625698,83110.4497088608,100790.113659793,107702.461837198,82932.089266362,61040.0317783654,34447.6977289288,30432.1167963095
9781.67130022116,9033.06422043005,9089.91611509237,922816.955285836,1897478.7729239,1842747.47108849,1908181.61452315,1910040.39722632,933541.275536383,18565.5018420016,11345.2228831153,10334.8020148942
9117.89669478148,8506.68992167384,8982.78826018601,378709.779363156,773569.567237783,749880.884222213,775659.965987637,776023.00948435,380804.37316209,10833.488597473,9190.78063689752,9225.93003749105
3815.14782536058,3510.24349996502,3469.27023279619,5947.74189891815,8529.55374910015,11493.252273746,13880.9745487268,14810.3659003106,11309.9020241915,8207.06309625081,4631.62322405765,4091.71318269708
12209.6718062849,11301.6648877409,11501.7036090047,4174882.1086324,8615987.89305724,8344682.31145142,8626941.58250647,8628843.93042925,4185857.78013881,21199.3733763884,13738.941949243,12775.7665220831
3021.43985490903,2798.04358829556,2853.90539601065,1537876.61977327,3175282.43503825,3074422.78514206,3177874.52948807,3178324.703424,1540473.91608395,5148.77381424649,3379.06600915292,3155.4011998689
10279.3187887015,9585.83583841947,10100.9756550355,144913.869933145,289236.520028095,281576.339374182,291995.846377903,292475.063793563,147678.733747739,12543.9001002543,10432.1805874047,10421.9228010782
2110.52003315392,1956.91136655212,2007.83762286137,305804.680385038,629901.465231611,610543.595361362,631490.1682815,631766.081339002,307396.571672229,3414.36987919946,2321.36606964211,2192.62537361319
39226.4865213736,36204.5004637701,36335.1660210306,3964939.37830563,8155422.11483264,7919418.70552706,8200156.64807952,8207925.77890917,4009763.68560284,75940.1532389716,45815.1223261069,41538.4000553584
369794.204114367,338935.754843159,337048.560404887,385033.139712672,434115.82895602,715810.063304446,924939.661352852,1009384.38520526,875086.273033334,768014.009961145,442036.852859901,395367.158592458
1561.95933713266,1444.65989811516,1464.68126422393,59519.807890852,121460.465976366,118453.311703054,122965.553076261,123226.944393894,61027.9154260851,2797.18550707054,1775.82049426621,1639.74334388355
131501.365075236,121012.94282915,119703.696567441,295859.439878467,481739.097684085,576674.119771173,664272.716504627,695973.674634652,478759.370384707,281306.850004533,159306.667488618,140934.836559772
42904.3344657487,39510.0902997523,39218.5763699844,1448047.5532945,2950288.87763435,2889632.21518292,3007314.95553038,3017218.78212069,1505188.07212945,89705.6815711727,51532.3467088643,45851.4840548657
9520.44545623303,8852.9667023433,9206.99388797154,129316.239565801,257780.877183428,252400.568677895,262630.60228309,263472.863195463,134175.69717933,13500.6186704773,10064.7966818022,9771.08281131923
416781.19811626,382271.402609858,380172.70387612,758447.195063229,1159359.15871864,1454107.59108743,1710349.47546451,1805263.61806163,1308832.00381897,864496.133235492,498122.204001815,445458.364788412
161964.63128811,141580.379710689,152351.377564196,1464624.94225458,2884791.7329223,2818579.05275023,2942163.08000498,2947519.76580326,1511969.8884978,182479.763027787,155247.994911738,166124.284102163
36190.3136345173,33368.8007733354,33326.0148210934,2764120.0694292,5676760.93205847,5520461.30030202,5721077.38555538,5728773.90768568,2808525.45796662,72560.861971577,42803.4885717274,38480.6204999602
1967.18559745155,1809.96930466947,1788.84246378553,2071.35943364529,2340.79818704539,3935.31823768153,5100.12453685287,5579.34195251329,4836.22324823938,4231.76690900432,2388.18072490473,2109.78960982818
11961.1810523589,11044.4139920387,11107.2957457156,2097382.69985942,4322759.83918896,4191311.87303875,4335971.15928804,4338265.59418726,2110620.53266869,22803.7218773692,13894.8374393923,12643.9517782834
14022.7993962109,13022.6083074432,13460.7483082938,6294096.75433937,12993862.7997531,12579969.0590521,13002558.8585525,13004069.1194988,6302810.26454294,21159.6617114076,15097.2111390937,14472.2181018828
932.353389047627,859.346548367349,856.692665674166,307251.054487107,634064.687703584,614319.485535819,635235.311003503,635438.615361662,308424.027014511,1893.08485455486,1107.80287276261,992.852060964986
6774.9644772594,6272.6767342737,6391.25652300827,403703.933204722,827604.963372167,804501.123207406,833541.695821753,834572.739352416,409652.579593697,11647.2454809032,7598.72461918895,7081.77917055457
5158.74845309014,4811.23453324126,5072.27905494905,3947163.50332348,8152325.66716128,7890157.13118844,8153663.52236118,8153895.87019908,3948504.0433548,6256.7272708127,5227.22338351441,5227.88979242427
294327.803003228,270806.341543567,267721.833161477,430754.74255896,599979.519201342,829675.014379714,1011493.81434663,1082955.54814403,843080.055875179,632019.093549998,357065.699487055,315596.909320037
4261.89568265392,3969.48858705212,4159.21327236137,58617.2963750382,116896.162628111,114086.850906362,118484.865678,118760.778735502,60209.1876622287,5565.74552869946,4403.34250464211,4344.00102311319
27753.5613469286,25847.3139198061,27072.6148365675,1463948.51027496,2997843.78292816,2907515.62168938,3008379.39262742,3010209.13185086,1474505.2630216,36400.1445364938,28708.0137698635,28298.0493941849
12620.9190449669,11743.3093726498,12248.0197654834,142593.186612849,282128.485588027,276519.446916289,287897.986137624,288899.98618855,148374.26549791,17355.9526963954,13226.7392359372,12919.0910708453
40536.5980487307,37468.6536941681,37872.2597185081,3685494.87210031,7576558.77168979,7357102.88114661,7617781.43503691,7624940.65279208,3726800.2618153,74368.070369807,46466.3959928191,42667.0155669634
82005.8356574129,75187.9633780578,76193.8339742526,4193288.82712624,8586206.1905439,8359549.1330031,8670189.80036786,8684475.88015107,4276781.66586625,149203.936783195,93353.5950151066,86423.8362504845
46779.7192274474,43515.5912223535,45331.356808584,804547.197051407,1616171.84283829,1577599.93245819,1638580.91743673,1642472.74372149,827001.24257599,65170.8644243002,49205.0393882414,47937.836661294
9680.52444212162,9018.32766566509,9458.94660938506,47506.3440541351,88533.0152643079,87751.9968931498,91961.2692140687,92556.6605486771,50941.4778843883,12494.0951625357,9970.14527291193,9857.69912416532
35089.8080339176,32689.1354253561,34284.5617637286,1821959.04011325,3730414.9042291,3617619.37656947,3742873.68077823,3745037.42001864,1834442.8191549,45314.7357739589,36145.2562085092,35733.6867564666
63520.8622198156,58518.6945576135,58342.6732080181,8477273.55749757,17457020.5901254,16942195.5823918,17536870.6168009,17550724.8604329,8557254.19666564,128976.210013577,75457.2177152092,67651.0608498703
813.130019505109,749.651438993442,748.277970899285,178118.686815735,367308.704292394,356067.319928202,368312.095692324,368486.356570746,179124.091839223,1636.61413279703,963.064647010809,864.986024005702
159811.751902525,140042.746326914,151681.59491681,1857816.72811938,3698817.69079239,3594165.61132063,3735711.87765119,3737636.77271441,1884917.51574406,164239.358800545,149881.961648227,162880.841943017
15008.7434916668,13860.4673321429,13949.4933644383,2798933.4426215,5769615.10339598,5593417.45125547,5786003.82959484,5788850.09060906,2815355.05800515,28458.9840087681,17401.9460686765,15855.7248985098
63975.1248056538,58123.9719006988,59397.5589399943,7888737.35487588,16242209.6132511,15753933.4532029,16302622.5438604,16312589.5837695,7948115.87719455,110528.413634508,71200.2528723853,67233.443013942
