fips,x
8001,43813.40659
8003,161220.8376
8005,5779.45092
8007,56934.63967
8009,146986.003
8011,73939.38185
8013,58125.77041
8015,23526.59411
8017,62378.13064
8019,0
8021,173503.3455
8023,68354.92866
8025,11091.37715
8027,24052.85306
8029,95281.06158
8031,11.74685146
8033,15740.78096
8035,3075.325713
8037,18794.96234
8039,17737.74571
8041,16680.52908
8043,16445.59205
8045,49078.34541
8047,0
8049,51721.38699
8051,63432.9979
8053,5873.425731
8055,23493.70293
8057,109492.4025
8059,3289.11841
8061,7048.110878
8063,272057.0799
8065,359.4536548
8067,71984.70576
8069,111456.476
8071,21496.73818
8073,9397.48117
8075,211443.3263
8077,120287.759
8079,0
8081,28455.57298
8083,103372.2929
8085,125691.3107
8087,227888.9184
8089,95149.49685
8091,16445.59205
8093,5873.425731
8095,169154.6611
8097,9397.48117
8099,178552.1422
8101,32891.1841
8103,42288.66527
8105,187949.6234
8107,82227.96024
8109,183250.8828
8111,0
8113,9397.48117
8115,86926.70082
8117,8222.796024
8119,2349.370293
8121,105721.6632
8123,634329.979
8125,540355.1673
