"Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
178161.69341989,163923.117765646,162009.727512398,187596.383817363,211998.587981979,356409.157468319,461901.930003541,505303.115128609,438001.236273381,383257.5633144,216289.872543277,191076.881679912
0,0,0,0,0,0,0,0,0,0,0,0
581270.358696117,534815.580348459,528572.953117644,612051.98052658,691666.614264444,1162820.55265345,1507001.28283363,1648601.99374531,1429022.87708918,1250416.16424089,705667.359701535,623407.453199581
11044.2568375712,10161.6064568519,10042.9952504711,11629.1140082262,13141.8084883,22093.8306028866,28633.3355437191,31323.7782891556,27151.729733373,23758.1653100373,13407.8255425181,11844.8703337232
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
200159.744455818,184163.09775999,182013.456629044,210759.358675511,238174.561438749,400415.849845126,518934.067691322,567694.101102318,492082.298057147,430579.292670809,242995.701183713,214669.601945959
28375.1619511193,26107.4360309899,25802.6973564216,29877.7906186412,33764.2405161698,56763.9842768608,73565.4327133929,80477.7808907977,69758.856550362,61040.0317783654,34447.6977289288,30432.1167963095
3769.18219113691,3467.95141165252,3427.47179828108,3968.78215195024,4485.03427998199,7540.1789425163,9771.98013333853,10690.1739993011,9266.33794149418,8108.18282277224,4575.82053731411,4042.41543589582
0,0,0,0,0,0,0,0,0,0,0,0
3302.66528316796,3038.71825509272,3003.24885961688,3477.56047996953,3929.91536602978,6606.92053594024,8562.4885976789,9367.03633523935,8119.43044128727,7104.62178806787,4009.46488236375,3542.08007022562
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
17979.5242551663,16542.6114630817,16349.5180668105,18931.6438808008,21394.2384668503,35967.7042155327,46613.7068782466,50993.6195613847,44201.7231662152,38677.1618708577,21827.3015646165,19282.8849053923
346522.723575329,318828.835395261,315107.310363191,364873.102660003,412335.147311965,693212.270170992,898394.664628052,982809.538483628,851908.052788349,745432.152789155,420681.653147611,371642.636422158
987.16949981205,908.27550561595,897.673672736013,1039.44582488382,1174.65509022641,1974.81424290928,2559.3352221298,2799.81523435212,2426.90475729831,2123.5775761549,1198.43250922492,1058.73078602287
41710.0596410326,38376.6166974802,37928.6661866402,43918.8481388262,49631.7338413661,83440.1993450862,108137.482749167,118298.286597117,102542.007415435,89725.7739128327,50636.3815383687,44733.6797147996
23937.15558952,22024.1124753331,21767.036336707,25204.7661945169,28483.3573810016,47885.8350079895,62059.4593223593,67890.6843245816,58848.2492494513,51493.0889340823,29059.9187295773,25672.3931981988
0,0,0,0,0,0,0,0,0,0,0,0
329991.251213616,303618.548387031,300074.565213044,347466.19338167,392663.978214539,660141.366863719,855535.176468163,935922.891182016,811266.289719873,709870.008684376,400612.29939691,353912.774700372
21281.3714633395,19580.5770232424,19352.0230173162,22408.3429639809,25323.1803871274,42572.9882076456,55174.0745350446,60358.3356680983,52319.1424127715,45780.023833774,25835.7732966966,22824.0875972321
27945.2861401469,25711.9156369366,25411.7936685246,29425.1504013139,33252.7216639159,55904.0257040402,72450.9368701028,79258.5648952983,68702.0292771379,60115.2922752849,33925.824690006,29971.0786915771
1818.71876215753,1673.367849783,1653.83548743219,1915.03042215389,2164.13417560548,3638.31309216791,4715.20948329979,5158.25954738289,4471.22527277045,3912.38827920156,2207.94067292584,1950.56020772541
5274.441868561,4852.91163870165,4796.26609684073,5553.75402087684,6276.17647241745,10551.4229596988,13674.5157279013,14959.3992714659,12966.9403940673,11346.2647305667,6403.2191072597,5656.79347507871
1952.63471306315,1796.58131823193,1775.61074842867,2056.03799590966,2323.48376392212,3906.20946381584,5062.39992022375,5538.07265905184,4800.45065746158,4200.46536270826,2370.51582248184,2094.1839116489
0,0,0,0,0,0,0,0,0,0,0,0
4167.81237062374,3834.72330634346,3789.96255326438,4388.52210118809,4959.37325575182,8337.63121008933,10805.4685658304,11820.7709733893,10246.3494584459,8965.707402389,5059.76110308942,4469.9428699797
250.996566516696,230.937071500106,228.241461828054,264.288284003534,298.666434228695,502.113967837204,650.733590778616,711.877758416683,617.061975132828,539.938359570679,304.712053071649,269.191655746918
284407.850629791,261678.145831189,258623.711407624,299468.888531912,338423.269262517,568952.620928686,737355.671650758,806639.014996148,699201.875501463,611811.987905649,345273.647674913,305024.97018565
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
3312.64932830837,3047.9043813352,3012.32776093187,3488.07323794942,3941.79560488183,6626.89343274153,8588.37322883095,9395.35313563674,8143.97569582862,7126.09924901406,4021.58560152303,3552.78787264578
25054.4132368516,23052.0795617621,22783.0044919868,26381.1890854789,29812.8072705924,50120.888172993,64956.0610199949,71059.4562348676,61594.9689363474,53896.5093062805,30416.2794011715,26870.6424019826
57704.1808248132,53092.4973115459,52472.7758942059,60759.9503916125,68663.4967410535,115436.14160481,149603.834475447,163660.895712318,141862.720623362,124131.979840637,70053.3862034997,61887.2369264771
14010.4383685106,12890.7325393287,12740.2656476896,14752.3719783817,16671.3343037925,28027.6216443124,36323.456509581,39736.4776682989,34443.9324096285,30138.9505623237,17008.7961717942,15026.0744778301
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
56229.3647513454,51735.5476538889,51131.6652120668,59207.0342912574,66908.580074588,112485.799451705,145780.226955454,159478.014746944,138236.962184188,120959.387552113,68262.9464381831,60305.5093903255
0,0,0,0,0,0,0,0,0,0,0,0
6177.65301373467,5683.93869101309,5617.59299774124,6504.79541145671,7350.92763665973,12358.2800740879,16016.1805557786,17521.0913867261,15187.4379129677,13289.2329186937,7499.72543092192,6625.47964888816
11433.6998489973,10519.9254164419,10397.1317371178,12039.1802758065,13605.2154470967,22872.9041114504,29643.0053282342,32428.318569736,28109.1550765451,24595.926653365,13880.6128049613,12262.5446091914
39850.5673210551,36665.7338881571,36237.7536324979,41960.8849635335,47419.0822964041,79720.3195080662,103316.563757338,113024.384874439,97970.5424761589,85725.674442085,48378.9414054033,42739.3902174963
10226.1564541647,9408.8881652874,9299.06305242503,10767.6904856907,12168.3325250864,20457.2359860673,26512.3288403225,29003.4777560387,25140.4725857255,21998.2855431113,12414.6444368718,10967.4647188472
0,0,0,0,0,0,0,0,0,0,0,0
4029.59249780581,3707.54988283942,3664.27355973166,4242.98268800331,4794.90233438833,8061.12492262207,10447.1197828012,11428.7510561618,9906.54310608302,8668.37181559159,4891.96095424216,4321.7032468751
610.143125430328,561.380852886802,554.828142891319,642.453726974819,726.022965853223,1220.57998605346,1581.85680549441,1730.49108389217,1500.00506906022,1312.52663261537,740.719154040941,654.373246839869
0,0,0,0,0,0,0,0,0,0,0,0
