fips,known,total
8001,0,0
8003,0,0
8005,0,0
8007,0,0
8009,0,0
8011,0,0
8013,0,0
8015,0,0
8017,0,0
8019,0,0
8021,0,0
8023,0,0
8025,0,0
8027,0,0
8029,0,0
8031,0,0
8033,0,0
8035,0,0
8037,0,0
8039,0,0
8041,0,0
8043,0,0
8045,0,0
8047,0,0
8049,0,0
8051,0,0
8053,0,0
8055,0,0
8057,0,0
8059,0,0
8061,0,0
8063,0,0
8065,0,0
8067,0,0
8069,0,0
8071,0,0
8073,0,0
8075,0,0
8077,0,0
8079,0,0
8081,0,0
8083,0,0
8085,0,0
8087,0,0
8089,0,0
8091,0,0
8093,0,0
8095,0,0
8097,0,0
8099,0,0
8101,0,0
8103,0,0
8105,0,0
8107,0,0
8109,0,0
8111,0,0
8113,0,0
8115,0,0
8117,0,0
8119,0,0
8121,0,0
8123,0,0
8125,0,0
