"Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2542.5348585,2378.5003515,2542.5348585,2460.517605,2542.5348585,2460.517605,2542.5348585,2542.5348585,2460.517605,2542.5348585,2460.517605,2542.5348585
1466.84703375,1372.21174125,1466.84703375,1419.5293875,1466.84703375,1419.5293875,1466.84703375,1466.84703375,1419.5293875,1466.84703375,1419.5293875,1466.84703375
1075.68782475,1006.28861025,1075.68782475,1040.9882175,1075.68782475,1040.9882175,1075.68782475,1075.68782475,1040.9882175,1075.68782475,1040.9882175,1075.68782475
880.10822025,823.32704475,880.10822025,851.7176325,880.10822025,851.7176325,880.10822025,880.10822025,851.7176325,880.10822025,851.7176325,880.10822025
6454.1269485,6037.7316615,6454.1269485,6245.929305,6454.1269485,6245.929305,6454.1269485,6454.1269485,6245.929305,6454.1269485,6245.929305,6454.1269485
6943.07595975,6495.13557525,6943.07595975,6719.1057675,6943.07595975,6719.1057675,6943.07595975,6943.07595975,6719.1057675,6943.07595975,6719.1057675,6943.07595975
1662.42663825,1555.17330675,1662.42663825,1608.7999725,1662.42663825,1608.7999725,1662.42663825,1662.42663825,1608.7999725,1662.42663825,1608.7999725,1662.42663825
0,0,0,0,0,0,0,0,0,0,0,0
977.8980225,914.8078275,977.8980225,946.352925,977.8980225,946.352925,977.8980225,977.8980225,946.352925,977.8980225,946.352925,977.8980225
3911.59209,3659.23131,3911.59209,3785.4117,3911.59209,3785.4117,3911.59209,3911.59209,3785.4117,3911.59209,3785.4117,3911.59209
0,0,0,0,0,0,0,0,0,0,0,0
4009.38189225,3750.71209275,4009.38189225,3880.0469925,4009.38189225,3880.0469925,4009.38189225,4009.38189225,3880.0469925,4009.38189225,3880.0469925,4009.38189225
880.10822025,823.32704475,880.10822025,851.7176325,880.10822025,851.7176325,880.10822025,880.10822025,851.7176325,880.10822025,851.7176325,880.10822025
8116.55358675,7592.90496825,8116.55358675,7854.7292775,8116.55358675,7854.7292775,8116.55358675,8116.55358675,7854.7292775,8116.55358675,7854.7292775,8116.55358675
782.318418,731.846262,782.318418,757.08234,782.318418,757.08234,782.318418,782.318418,757.08234,782.318418,757.08234,782.318418
4791.70031025,4482.55835475,4791.70031025,4637.1293325,4791.70031025,4637.1293325,4791.70031025,4791.70031025,4637.1293325,4791.70031025,4637.1293325,4791.70031025
0,0,0,0,0,0,0,0,0,0,0,0
97.78980225,91.48078275,97.78980225,94.6352925,97.78980225,94.6352925,97.78980225,97.78980225,94.6352925,97.78980225,94.6352925,97.78980225
1369.0572315,1280.7309585,1369.0572315,1324.894095,1369.0572315,1324.894095,1369.0572315,1369.0572315,1324.894095,1369.0572315,1324.894095,1369.0572315
782.318418,731.846262,782.318418,757.08234,782.318418,757.08234,782.318418,782.318418,757.08234,782.318418,757.08234,782.318418
5574.01872825,5214.40461675,5574.01872825,5394.2116725,5574.01872825,5394.2116725,5574.01872825,5574.01872825,5394.2116725,5574.01872825,5394.2116725,5574.01872825
3911.59209,3659.23131,3911.59209,3785.4117,3911.59209,3785.4117,3911.59209,3911.59209,3785.4117,3911.59209,3785.4117,3911.59209
2738.114463,2561.461917,2738.114463,2649.78819,2738.114463,2649.78819,2738.114463,2738.114463,2649.78819,2738.114463,2649.78819,2738.114463
2738.114463,2561.461917,2738.114463,2649.78819,2738.114463,2649.78819,2738.114463,2738.114463,2649.78819,2738.114463,2649.78819,2738.114463
0,0,0,0,0,0,0,0,0,0,0,0
1858.00624275,1738.13487225,1858.00624275,1798.0705575,1858.00624275,1798.0705575,1858.00624275,1858.00624275,1798.0705575,1858.00624275,1798.0705575,1858.00624275
1858.00624275,1738.13487225,1858.00624275,1798.0705575,1858.00624275,1798.0705575,1858.00624275,1858.00624275,1798.0705575,1858.00624275,1798.0705575,1858.00624275
0,0,0,0,0,0,0,0,0,0,0,0
1662.42663825,1555.17330675,1662.42663825,1608.7999725,1662.42663825,1608.7999725,1662.42663825,1662.42663825,1608.7999725,1662.42663825,1608.7999725,1662.42663825
1369.0572315,1280.7309585,1369.0572315,1324.894095,1369.0572315,1324.894095,1369.0572315,1369.0572315,1324.894095,1369.0572315,1324.894095,1369.0572315
586.7388135,548.8846965,586.7388135,567.811755,586.7388135,567.811755,586.7388135,586.7388135,567.811755,586.7388135,567.811755,586.7388135
2542.5348585,2378.5003515,2542.5348585,2460.517605,2542.5348585,2460.517605,2542.5348585,2542.5348585,2460.517605,2542.5348585,2460.517605,2542.5348585
18873.43183425,17655.79107075,18873.43183425,18264.6114525,18873.43183425,18264.6114525,18873.43183425,18873.43183425,18264.6114525,18873.43183425,18264.6114525,18873.43183425
0,0,0,0,0,0,0,0,0,0,0,0
3324.8532765,3110.3466135,3324.8532765,3217.599945,3324.8532765,3217.599945,3324.8532765,3324.8532765,3217.599945,3324.8532765,3217.599945,3324.8532765
9485.61081825,8873.63592675,9485.61081825,9179.6233725,9485.61081825,9179.6233725,9485.61081825,9485.61081825,9179.6233725,9485.61081825,9179.6233725,9485.61081825
5867.388135,5488.846965,5867.388135,5678.11755,5867.388135,5678.11755,5867.388135,5867.388135,5678.11755,5867.388135,5678.11755,5867.388135
5965.17793725,5580.32774775,5965.17793725,5772.7528425,5965.17793725,5772.7528425,5965.17793725,5965.17793725,5772.7528425,5965.17793725,5772.7528425,5965.17793725
23176.18313325,21680.94551175,23176.18313325,22428.5643225,23176.18313325,22428.5643225,23176.18313325,23176.18313325,22428.5643225,23176.18313325,22428.5643225,23176.18313325
4498.3309035,4208.1160065,4498.3309035,4353.223455,4498.3309035,4353.223455,4498.3309035,4498.3309035,4353.223455,4498.3309035,4353.223455,4498.3309035
0,0,0,0,0,0,0,0,0,0,0,0
4400.54110125,4116.63522375,4400.54110125,4258.5881625,4400.54110125,4258.5881625,4400.54110125,4400.54110125,4258.5881625,4400.54110125,4258.5881625,4400.54110125
2835.90426525,2652.94269975,2835.90426525,2744.4234825,2835.90426525,2744.4234825,2835.90426525,2835.90426525,2744.4234825,2835.90426525,2744.4234825,2835.90426525
6649.706553,6220.693227,6649.706553,6435.19989,6649.706553,6435.19989,6649.706553,6649.706553,6435.19989,6649.706553,6435.19989,6649.706553
32075.055138,30005.696742,32075.055138,31040.37594,32075.055138,31040.37594,32075.055138,32075.055138,31040.37594,32075.055138,31040.37594,32075.055138
8801.0822025,8233.2704475,8801.0822025,8517.176325,8801.0822025,8517.176325,8801.0822025,8801.0822025,8517.176325,8801.0822025,8517.176325,8801.0822025
684.52861575,640.36547925,684.52861575,662.4470475,684.52861575,662.4470475,684.52861575,684.52861575,662.4470475,684.52861575,662.4470475,684.52861575
97.78980225,91.48078275,97.78980225,94.6352925,97.78980225,94.6352925,97.78980225,97.78980225,94.6352925,97.78980225,94.6352925,97.78980225
3911.59209,3659.23131,3911.59209,3785.4117,3911.59209,3785.4117,3911.59209,3911.59209,3785.4117,3911.59209,3785.4117,3911.59209
0,0,0,0,0,0,0,0,0,0,0,0
16917.63578925,15826.17541575,16917.63578925,16371.9056025,16917.63578925,16371.9056025,16917.63578925,16917.63578925,16371.9056025,16917.63578925,16371.9056025,16917.63578925
5769.59833275,5397.36618225,5769.59833275,5583.4822575,5769.59833275,5583.4822575,5769.59833275,5769.59833275,5583.4822575,5769.59833275,5583.4822575,5769.59833275
3324.8532765,3110.3466135,3324.8532765,3217.599945,3324.8532765,3217.599945,3324.8532765,3324.8532765,3217.599945,3324.8532765,3217.599945,3324.8532765
2053.58584725,1921.09643775,2053.58584725,1987.3411425,2053.58584725,1987.3411425,2053.58584725,2053.58584725,1987.3411425,2053.58584725,1987.3411425,2053.58584725
3129.273672,2927.385048,3129.273672,3028.32936,3129.273672,3028.32936,3129.273672,3129.273672,3028.32936,3129.273672,3028.32936,3129.273672
2444.74505625,2287.01956875,2444.74505625,2365.8823125,2444.74505625,2365.8823125,2444.74505625,2444.74505625,2365.8823125,2444.74505625,2365.8823125,2444.74505625
0,0,0,0,0,0,0,0,0,0,0,0
