x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503
21469,21469,21469,21469,21469,21469,21469,21469,21469,21469,21469,21469
9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945
24471,24471,24471,24471,24471,24471,24471,24471,24471,24471,24471,24471
0,0,0,0,0,0,0,0,0,0,0,0
68651,68651,68651,68651,68651,68651,68651,68651,68651,68651,68651,68651
23997,23997,23997,23997,23997,23997,23997,23997,23997,23997,23997,23997
3740,3740,3740,3740,3740,3740,3740,3740,3740,3740,3740,3740
0,0,0,0,0,0,0,0,0,0,0,0
33787,33787,33787,33787,33787,33787,33787,33787,33787,33787,33787,33787
0,0,0,0,0,0,0,0,0,0,0,0
5336,5336,5336,5336,5336,5336,5336,5336,5336,5336,5336,5336
881,881,881,881,881,881,881,881,881,881,881,881
7429,7429,7429,7429,7429,7429,7429,7429,7429,7429,7429,7429
7255,7255,7255,7255,7255,7255,7255,7255,7255,7255,7255,7255
4403,4403,4403,4403,4403,4403,4403,4403,4403,4403,4403,4403
5695,5695,5695,5695,5695,5695,5695,5695,5695,5695,5695,5695
20223,20223,20223,20223,20223,20223,20223,20223,20223,20223,20223,20223
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
7001,7001,7001,7001,7001,7001,7001,7001,7001,7001,7001,7001
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
100572,100572,100572,100572,100572,100572,100572,100572,100572,100572,100572,100572
0,0,0,0,0,0,0,0,0,0,0,0
29280,29280,29280,29280,29280,29280,29280,29280,29280,29280,29280,29280
32026,32026,32026,32026,32026,32026,32026,32026,32026,32026,32026,32026
9177,9177,9177,9177,9177,9177,9177,9177,9177,9177,9177,9177
4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089
80888,80888,80888,80888,80888,80888,80888,80888,80888,80888,80888,80888
40382,40382,40382,40382,40382,40382,40382,40382,40382,40382,40382,40382
0,0,0,0,0,0,0,0,0,0,0,0
12092,12092,12092,12092,12092,12092,12092,12092,12092,12092,12092,12092
36465,36465,36465,36465,36465,36465,36465,36465,36465,36465,36465,36465
40670,40670,40670,40670,40670,40670,40670,40670,40670,40670,40670,40670
66107,66107,66107,66107,66107,66107,66107,66107,66107,66107,66107,66107
33224,33224,33224,33224,33224,33224,33224,33224,33224,33224,33224,33224
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
66604,66604,66604,66604,66604,66604,66604,66604,66604,66604,66604,66604
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
10884,10884,10884,10884,10884,10884,10884,10884,10884,10884,10884,10884
16812,16812,16812,16812,16812,16812,16812,16812,16812,16812,16812,16812
58261,58261,58261,58261,58261,58261,58261,58261,58261,58261,58261,58261
33825,33825,33825,33825,33825,33825,33825,33825,33825,33825,33825,33825
43894,43894,43894,43894,43894,43894,43894,43894,43894,43894,43894,43894
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
34351,34351,34351,34351,34351,34351,34351,34351,34351,34351,34351,34351
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640
177370,177370,177370,177370,177370,177370,177370,177370,177370,177370,177370,177370
196398,196398,196398,196398,196398,196398,196398,196398,196398,196398,196398,196398
