1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
NA,3077.303161734072,2656.026244277259,2884.349598450465,2840.7037270172887,2765.7847896815474,2829.195938900288,2732.8815526162684,2969.561433367423,2490.438250562929,2695.922115901038,2433.2591808253096,2590.5096988082882,2779.2036839020516,2692.4124541176157,2489.1853244009794,2810.6869987048776,2695.1018473290087,2842.5975460937602,2570.0487572691354,2496.8651576812176,2524.8712137912803,2567.817838726504,2875.355317539186,2645.1346642010867,3004.767314660095,2759.7364930637136,2605.632021784092,2451.623556548444,2446.630800810363,2675.9169967128105,2564.7086335850136,2533.5561577465505,2693.253921400601,2571.9829069476837,2499.1104057220177,2789.967050351272,2792.5885693507807,2721.8689450972606,2645.481349571075,2814.730415173786,2749.6665670828856,2950.810872393896,2620.2414589625496,2509.3417205237884,2621.5871558151107,2914.0145193606427,2470.746026368057,2759.6442834719733,2573.7492623156277,2930.9749821790433,2835.827929645031,2473.102699996499,2819.0068105429573,2593.1506523179996,2624.5439748438203,2706.0897134559077,2772.9418876500345,2740.3153240003685,2680.654190100344,2785.7551121538504
NA,3461.1278368421554,3099.838339558686,3361.346292681162,3314.551239072939,3221.4054392354788,3331.301848332265,3255.06809166673,3507.1033718914023,2939.7333254109635,3149.5904380920774,2880.3970096444705,3079.301928656048,3204.5795538524935,3062.090869621151,2889.6327208407133,3256.811557214139,3115.3002433040288,3287.7434412584353,3065.0765139075584,2928.743104026613,2975.9882960923783,3088.8110865036524,3437.1288035270027,3124.635533130263,3509.6894429466524,3295.4100257659707,3150.856580494376,2844.016381350579,2811.9555271769154,3085.8590545706634,3020.5769111180575,2952.9347292167513,3124.389856714965,3003.5342961735655,2928.3990065989433,3188.1007545519305,3201.4352951637293,3098.8715626257463,2998.274149697296,3326.5956987608824,3154.4325467745903,3375.9525988230075,3024.552371205943,2954.833343882302,3008.346025745678,3189.893435630218,2892.184664212097,3223.9776506741587,2997.479660788486,3418.8092037256106,3262.640332088528,2941.8684425406036,3255.333251375456,3059.6252432718147,3027.744116945158,3155.6071949159914,3244.6577652170413,3102.6748732267506,3143.2868104765307,3170.693132561108
NA,3263.4568346320048,2838.8973294828893,3082.269874296771,3031.6818566907664,2980.4828218776483,3056.864642228389,2973.7301723802098,3216.6879166837557,2733.6732947471605,2935.5287231312223,2644.2785086074346,2750.3734725640347,2923.95761675892,2792.6085698586826,2608.5854896817136,3046.338962502136,2775.2701290247223,2982.8874865383364,2708.5902158751105,2559.3731738437914,2619.6567926982793,2651.912108103801,2990.667402188853,2769.2058038397677,3162.9704980698784,2892.5663849118673,2834.799922931491,2592.4420257260635,2513.655296246753,2767.2000692929137,2741.270351920415,2624.5521256629386,2792.50899274316,2613.0974611368433,2703.5805737467995,2858.711322583466,2939.0317341063305,2820.041138441396,2726.241860333351,2975.0641187083534,2926.2415251586744,3109.7815471504173,2770.6597914357735,2653.259030805783,2764.1471252609786,2911.076898904659,2492.757390908437,2770.9378524329663,2650.702678554819,2876.45077403484,2857.4239608537932,2526.730826678364,2922.3350934643076,2670.9879535784466,2634.6509298593833,2671.1509357654745,2836.4785573471513,2841.2967634000133,2794.696205940595,2843.3244036614046
NA,3055.2786378771575,2472.6015075527644,2634.0408145384204,2621.614843411153,2497.2166350430703,2644.940605711359,2508.833801148869,2759.3610324269916,2291.894951677005,2438.939111711712,2205.907602514172,2382.95872886406,2520.9035076558816,2384.136814821391,2269.042942633785,2607.8731700950293,2473.2754896642164,2613.3617629845307,2365.584520959483,2277.015709545916,2306.921393162616,2325.2625793664033,2633.544940114345,2379.808111018077,2903.0760215615123,2631.359689795939,2537.8912884451584,2354.089415548147,2255.3520207299807,2474.9494668657203,2398.682122355332,2385.807166783886,2478.9957312614765,2390.9713629103344,2364.29707485886,2613.6703844224007,2691.079304151875,2581.4350096793114,2521.7921378880333,2698.520612420056,2668.9751676199885,2867.418741280773,2610.770982301556,2424.999005884808,2517.6234212228937,2690.000295364306,2321.5263618121326,2619.03494394946,2434.4923277099297,2766.9256451535452,2696.2090282329664,2352.7097228508337,2714.127369189741,2489.1986993666897,2519.8867191656773,2571.5305713527096,2618.972008596304,2574.583746881741,2540.4677617810707,2586.714888820714
NA,2579.54458656287,2202.6625060750544,2419.012220002735,2453.504943449986,2353.2405342625357,2426.143601524798,2281.199159317693,2518.615338131442,2080.1975666738163,2236.485533748385,1985.7157037147092,2169.312163854707,2371.933704024407,2195.7887872927286,2098.3392333161332,2418.429108866633,2243.7825117952843,2397.3901537383003,2143.172641650401,2028.6993119117642,2114.781076966183,2100.10530025563,2405.414772455927,2224.142842972536,2595.4926370268545,2312.3410080194676,2246.738055694512,2100.090151225661,1974.6268342392746,2234.0139821961666,2139.0496030817753,2209.1592394024315,2262.061244622926,2180.5276163061103,2101.102381047085,2348.0953217210085,2451.7135359619233,2287.266912244169,2197.5528234682724,2345.274666581275,2417.4084259942397,2570.757426519866,2309.7610825128063,2115.0373603849876,2254.9084415402067,2475.4379737150184,2100.261561322611,2340.399192665905,2197.1145170990712,2525.464638121923,2537.3657802269963,2202.816806827037,2609.396252743261,NA,2420.9111479593075,2420.6581046087476,2391.567595860263,2473.7258411736893,2408.750127243614,2368.50477656372
NA,3199.7433703099205,2796.9275259121805,3001.517978143027,2975.9512296620533,2918.366803230988,2890.1981760307626,2774.06968465383,3167.088042684292,2633.7068952678237,2835.6998132039394,2584.2397458980417,2694.900541247707,2844.616320119493,2689.3669257208635,2533.641156096186,2895.423071413393,2718.0027248521255,2895.6936079717107,2651.9389036593684,2514.1364164317815,2561.7724670660104,2596.4590092202884,2942.5928914324186,2733.1677249414433,3103.0864301683746,2834.4475610891,2708.2265425747487,2448.723446630973,2429.491494124634,2664.687211459378,2630.846883945571,2497.237396856306,2698.197736155822,2555.1121272577766,2585.687842806642,2783.3953512564267,2859.2098937316696,2751.2311991030965,2631.33055252163,2876.937003109045,2838.2087119504545,3017.2226534450374,2693.1318547242504,2543.6915997322258,2619.896122180847,2837.172947657766,2455.427495205139,2736.5680536310742,2593.4147107259087,2901.1981426255625,2822.9280808744543,2480.313395637779,2850.3111302644547,2607.773350561124,2564.651203842474,2609.8193708659114,2730.767412750507,2655.733890438222,2641.4459585475956,2731.7080050685613
NA,3314.509379920417,2883.4487032292373,3100.229543241611,3041.600000617265,2990.142670255607,3102.912698081443,3018.697339443031,3203.40072620741,2725.462959510016,2931.6670516737604,2638.9836066519597,2814.674577639338,2979.5916082534022,2824.840026791267,2649.7715723441993,2977.468634383773,2828.5466393034794,2971.559156619676,2720.0956489220084,2584.4563838064123,2544.186664076699,2627.1647487170662,2945.096273316282,2665.7649037014094,3068.7586746180714,2779.598737924335,2709.713608073585,2513.415165044356,2443.227141815852,2711.9747135545263,2630.497272249646,2681.819949610611,2854.262978577916,2735.6908775373245,2768.718616146205,3057.3894667039094,3041.8127038669772,2932.3427727244916,2818.551366838406,3026.9722849334435,3017.0086195431263,3160.0064029052214,2851.892934148479,2775.7811124248797,2868.9205001983337,3067.68567421924,2734.7001459433295,3020.634854220831,2845.902333198156,3176.297303718456,3078.1704183824627,2720.87755931883,2893.0377830701404,2664.5676312852756,2605.9293247563846,2666.6678942428925,2777.492287645302,2643.904340755104,2671.6850816917067,2746.318563860304
NA,2578.075269338792,2202.6503395672235,2387.6236218403114,2446.5960261551154,2387.1116725810007,2485.7705116617926,2374.31109843431,2642.777689659837,2196.0853056598403,2301.934825705381,2104.4911794319114,2234.556878943258,2350.164371871962,2228.822645642119,2118.047298351064,2448.461828818343,2268.241677813158,2428.2259017692504,2143.562311103248,2049.228650889474,2141.8933876428578,2142.0321696104334,2397.757017652551,2250.3880488402256,2604.491616083934,2345.072411354823,2273.6653780420365,2106.4357676802365,2034.8222385831946,2276.357646601578,2210.874975171602,2177.3664540884874,2215.193652004535,2184.7566101820694,2083.438787497459,2416.8877183906175,2514.7372821504996,2348.150508342107,2272.872773469741,2448.4794024847397,2453.3704507367856,2604.8436325076636,2355.0114835364666,2233.596384017741,2342.0522519572532,2541.293503826845,2149.3992934441267,2426.168871737699,2277.7100146429934,2532.781057711367,2525.359408271574,2170.4608321233004,2519.306712210639,2254.430527906027,2371.7155134995205,2383.9324754716213,2432.3567394214624,2429.572270314505,2381.131296757987,2389.4268264904467
NA,2830.338622658154,2461.430003568533,2669.14486156386,2622.0647491654718,2597.074957618603,2673.355767611686,2550.172462191255,2817.445187356724,2374.491427909748,2560.700997414179,2298.4178078211444,2431.085855134214,2609.201221151959,2463.4034226535564,2160.035156190602,2571.705715807773,2420.5082004851943,2668.1938521322477,2289.1890170741367,2241.3407356748585,2316.6653760815634,2391.697025192126,2684.0736114886517,2444.9294029698945,2854.0646246006886,2573.193529964444,2509.589629533045,2336.7628595324277,2279.466118439867,2490.54315129336,2424.7381235289063,2296.4822893920227,2435.581964311746,2388.8009023830737,2332.8778323426645,2594.458877930593,2710.692714010718,2504.574245430756,2433.215065538795,2624.1649725827406,2590.914757632339,2772.7897537061153,2411.286089916361,2283.0418175701357,2394.67880579014,2630.8153438700065,2232.821906959832,2531.9662741568877,2385.547590315019,2675.4251231923513,2559.3812750507714,2230.3730183259263,2616.9953308488334,2358.265029569431,2403.7802951411254,2395.932312977743,2457.843813604389,2445.311576934538,2417.709594899413,2473.23545836368
NA,2548.94415816466,2199.7168911572244,2418.4060656583806,2452.2682105943804,2349.5134334224967,2438.6344751940837,2327.367969585089,2633.419453951927,2128.9957037769777,2299.277322553451,2007.7268445287466,2106.3427589229614,2273.2592178747163,2160.2728789409107,2034.748883686445,2391.7245794572145,2193.523185537911,2341.08938851658,2061.0702617533534,1988.573087740691,2055.7773378859,2058.220391438768,2321.4405422388054,2189.7116749283946,2507.451246354046,2273.9810506293825,2205.961895812772,2053.274447347327,1931.7548311495345,2194.928392326929,2082.540865482213,2090.4898573805226,2092.946246565854,2067.238799686364,1946.3725597162045,2256.722416121278,2365.922011351071,2181.7488180907303,2129.3962223553203,2292.7236038233323,2318.0641755125257,2449.105295417938,2227.0981256402456,2033.5788302197197,2164.819301120322,2400.0892010482326,2006.020567693206,2262.0965547189076,2165.9106248742332,2426.02539073321,2415.151782296859,2060.5257007107666,2400.14118583239,2119.0295444919125,2231.4460772715624,2232.9121538195805,2255.3143115869757,2329.4787629601665,2248.931412325802,2295.3875006554613
