FIPS,Alfalfa,Otherhay,Barley,Barley.Winter,Maize,Sorghum,Soybean,Wheat,Wheat.Winter
1001,0,0,0,0,0,0,0,0,0
1003,0,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,0,0,0
1007,0,0,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,0,0,0
1011,0,0,0,0,NA,0,0,0,0
1013,0,0,0,0,0,0,0,0,0
1015,0,NA,0,0,NA,0,0,0,0
1017,0,6,0,0,0,0,0,0,0
1019,0,NA,0,0,NA,0,NA,0,0
1021,0,NA,0,0,NA,0,0,NA,NA
1023,0,0,0,0,0,0,0,0,0
1025,0,NA,0,0,NA,0,0,0,0
1027,0,0,0,0,0,0,0,0,0
1029,0,117,0,0,0,0,0,0,0
1031,0,NA,0,0,968,0,NA,NA,NA
1033,0,NA,0,0,310,0,0,0,0
1035,NA,NA,0,0,0,0,0,0,0
1037,0,0,0,0,0,0,0,0,0
1039,0,NA,0,0,NA,NA,NA,0,0
1041,0,NA,0,0,927,0,NA,0,0
1043,0,0,0,0,NA,0,0,0,0
1045,0,0,0,0,NA,0,0,0,0
1047,0,NA,0,0,0,0,313,0,0
1049,0,200,0,0,NA,0,NA,0,0
1051,NA,NA,0,0,835,0,0,0,0
1053,0,NA,0,0,427,0,0,NA,NA
1055,0,NA,0,0,0,0,0,0,0
1057,0,0,0,0,0,0,0,0,0
1059,0,130,0,0,NA,0,NA,0,0
1061,0,132,0,0,868,0,462,0,427
1063,0,NA,0,0,NA,0,NA,0,0
1065,0,0,0,0,NA,0,NA,0,0
1067,0,889,0,0,47,NA,301,0,110
1069,0,189,0,0,920,0,NA,NA,NA
1071,0,NA,0,0,NA,0,NA,0,0
1073,0,0,0,0,245,0,0,0,0
1075,0,NA,0,0,0,0,0,0,0
1077,0,11,0,0,NA,0,NA,NA,NA
1079,0,NA,0,0,317,0,94,NA,NA
1081,0,NA,0,0,NA,0,NA,0,0
1083,0,158,0,0,630,0,345,NA,16
1085,0,NA,0,0,NA,0,NA,NA,NA
1087,0,NA,0,0,NA,0,0,0,0
1089,NA,NA,0,0,482,0,0,0,0
1091,0,60,0,0,NA,0,NA,0,0
1093,0,NA,0,0,0,0,0,0,0
1095,0,122,0,0,0,0,0,0,0
1097,0,NA,0,0,NA,0,NA,0,0
1099,0,0,0,0,0,0,0,0,0
1101,0,NA,0,0,NA,0,0,NA,NA
1103,0,120,0,0,0,0,0,0,0
1105,0,NA,0,0,545,0,0,0,0
1107,0,NA,0,0,NA,0,NA,0,0
1109,0,NA,0,0,818,0,NA,NA,NA
1111,0,NA,0,0,0,0,0,0,0
1113,0,NA,0,0,0,0,0,0,0
1115,0,0,0,0,413,0,0,0,0
1117,0,NA,0,0,738,0,0,0,0
1119,0,480,0,0,NA,0,NA,0,0
1121,0,NA,0,0,319,0,2,NA,NA
1123,0,NA,0,0,NA,0,0,0,0
1125,0,NA,0,0,667,0,301,0,0
1127,0,0,0,0,0,0,0,0,0
1129,0,0,0,0,0,0,0,0,0
1131,0,NA,0,0,0,0,0,0,0
1133,0,0,0,0,0,0,0,0,0
4001,0,0,0,0,0,0,0,0,0
4003,0,0,0,0,0,0,0,0,0
4005,0,0,0,0,0,0,0,0,0
4007,0,0,0,0,0,0,0,0,0
4009,0,0,0,0,0,0,0,0,0
4011,9,NA,0,0,NA,0,0,0,0
4012,480,NA,NA,0,0,0,0,NA,0
4013,499,NA,45,0,54,165,0,NA,NA
4015,94,NA,0,0,0,0,0,0,0
4017,NA,NA,0,0,NA,0,0,NA,NA
4019,412,NA,22,0,0,76,0,NA,0
4021,446,NA,62,0,392,121,0,NA,45
4023,NA,NA,0,0,0,0,0,NA,0
4025,NA,NA,NA,0,NA,0,0,NA,0
4027,322,NA,145,0,473,93,0,NA,NA
5001,0,0,0,0,0,0,0,0,0
5003,0,0,0,0,0,0,0,0,0
5005,0,0,0,0,0,0,0,0,0
5007,0,0,0,0,0,0,0,0,0
5009,0,0,0,0,0,0,0,0,0
5011,0,NA,0,0,0,0,0,0,0
5013,0,15,0,0,0,0,0,0,0
5015,0,NA,0,0,0,0,0,0,0
