"fips","coef","mean","serr"
27077,"intercept",-35.5580965,1.56305720822814
53019,"intercept",-16.99082176,6.67458161666734
53065,"intercept",-11.48290032,4.05303491409896
53047,"intercept",-8.86989656,2.17296859530928
53051,"intercept",-24.45511763,12.5111381579719
16021,"intercept",-23.7604567,3.94051797388333
30053,"intercept",-13.27741995,4.7094657311213
30029,"intercept",-20.0400836,3.30697306883637
30035,"intercept",-5.87227307,2.34751835887068
30101,"intercept",-14.7248457,2.31437132588
30051,"intercept",-17.10378105,5.58660915222912
30041,"intercept",-19.1138369,5.34713294108703
30091,"intercept",-18.3784275,2.94718574278858
38023,"intercept",-23.4617664,4.30272821645938
38013,"intercept",-27.7348058,1.18851418802701
38075,"intercept",-31.1672555,1.60703784245949
38009,"intercept",-31.6037547,1.78831551759425
38079,"intercept",-30.5325094,3.83112923634759
38095,"intercept",-30.253176,1.60827205385258
38019,"intercept",-33.8134616,3.35109879654265
38067,"intercept",-26.4128854,4.79538678324572
27069,"intercept",-32.677229,3.10935282765173
27135,"intercept",-29.8855058,4.13626041776505
30005,"intercept",-20.6302068,2.0304475432376
30071,"intercept",-17.0177866,3.6131272045441
30105,"intercept",-17.4972275,1.01011114120741
30019,"intercept",-12.69315089,4.05326492054971
53073,"intercept",-11.408898842019,8.70420286106802
16017,"intercept",-25.9716417,2.29569344879536
38101,"intercept",-32.160724,1.87829230160118
27071,"intercept",-30.7586762,7.49474754385361
53057,"intercept",-26.6328697,0.620589757520255
38105,"intercept",-28.6705099,2.20107766640469
38049,"intercept",-28.3467691,1.26826646363371
27137,"intercept",-23.2574129481,21.7604388730989
53055,"intercept",-18.39879996,17.8196570804432
30085,"intercept",-23.8898692,2.24189672752968
38061,"intercept",-24.2722775028,21.3977432954656
27089,"intercept",-30.857683,2.80336668606294
38071,"intercept",-33.7053791,2.42916007149923
38099,"intercept",-29.7650718,1.21820773526974
27007,"intercept",-16.8087929,3.32751051012233
38069,"intercept",-28.9937258,3.28285587142154
53007,"intercept",-22.5977399,6.85536528677014
30073,"intercept",-12.47108896,2.03847332507167
53009,"intercept",-14.9288927,4.93622180564906
38005,"intercept",-26.7384263,2.3308798958821
30015,"intercept",-6.50464285,2.08166641767269
53061,"intercept",-26.7583889,5.73088770163188
53029,"intercept",-29.0683886,3.63383925762275
30089,"intercept",-15.0512654,1.50031791086306
27075,"intercept",-22.4694933087,21.9753091869393
38063,"intercept",-27.6837492,1.17559086372693
38035,"intercept",-29.5949956,2.66780046488884
27119,"intercept",-26.6762484,2.0171984716362
27113,"intercept",-28.6881378,2.07560686899176
53017,"intercept",-21.0202375,4.68124571022535
38053,"intercept",-26.7217639,4.36561947739243
53031,"intercept",-23.1684846,27.2111904014802
30083,"intercept",-20.9153025,3.61858916172382
30099,"intercept",-24.9841655,1.89972599177976
30055,"intercept",-21.3610874,3.66678655277135
16079,"intercept",-21.364152427,22.5272714155966
53063,"intercept",-16.495879,2.03959632796297
30047,"intercept",-26.2248422,2.02504737189469
27029,"intercept",-23.8854307,2.59605959417422
16055,"intercept",-26.575398,3.57616807907092
30033,"intercept",-27.7418569,3.95158836665864
27125,"intercept",-29.1909748,4.39495239707981
53025,"intercept",-26.844002,3.12943230504318
53043,"intercept",-9.39544517,2.61406698670879
30049,"intercept",-30.5205642,2.11337307351689
53035,"intercept",-28.0036418,13.5611533631477
27061,"intercept",-26.8791917,3.73536089904674
38083,"intercept",-34.856643,4.55798924282284
38103,"intercept",-31.9150937,3.64080345502039
38055,"intercept",-28.6978787,5.25704240648865
38027,"intercept",-27.6657355,2.90245106471631
38025,"intercept",-30.5597884,2.4912378175174
30027,"intercept",-5.553037613,4.11989887043069
30021,"intercept",-26.3068462,2.86969580913771
53033,"intercept",5.008757581,9.33875638906793
30013,"intercept",-21.2519114,3.18810895687882
38039,"intercept",-29.9700465,1.45579084818576
38091,"intercept",-30.9337172,3.73143380322793
38097,"intercept",-25.303898,3.4811418146996
53045,"intercept",-19.95495905,20.4359646848014
30063,"intercept",-6.7942793919,3.9010820801198
30069,"intercept",-19.2766742,2.64885489084758
30077,"intercept",-30.2495989,3.27196395907692
53037,"intercept",-21.9237049,4.40532432199355
38031,"intercept",-33.8028014,4.20638561363894
38057,"intercept",-31.5960172,2.12222314828466
53027,"intercept",-10.14565419,9.26572900066369
27107,"intercept",-26.3726819,1.60372290390669
27087,"intercept",-29.3514138,2.5857608285826
30061,"intercept",-30.5837513,8.31915325146975
27021,"intercept",-7.40767967,9.45971789881459
23003,"intercept",-17.7937448215,21.6686428365913
30045,"intercept",-8.37653849,1.97198430191567
27057,"intercept",-20.5407665,5.124254261514
16009,"intercept",-21.5777927,2.58997934967993
30109,"intercept",-19.961732,7.49445343620072
38033,"intercept",-28.1485771,1.11293770863822
38007,"intercept",-30.7748182,0.780173102688704
38093,"intercept",-32.6883313,2.88489505961227
38043,"intercept",-32.4204764,1.74695200161853
38015,"intercept",-22.7517067,2.8062956722065
53053,"intercept",-14.8065137,22.5775449785055
38065,"intercept",-26.1971909,2.90577653007418
53001,"intercept",-20.046874,0.768193563390657
53075,"intercept",-15.8898094,2.18499157515885
38003,"intercept",-35.1143044,3.54238291564897
38017,"intercept",-30.1821111,2.76719892948124
30079,"intercept",-24.3283225,2.26921443480224
27005,"intercept",-21.4220766,1.99619192533564
27027,"intercept",-21.7662017,6.91419285302601
53067,"intercept",-9.784287,14.5408084416165
16057,"intercept",-16.8276552,3.59105108433496
30059,"intercept",-17.4548379,4.0772001568101
53077,"intercept",0.346542201,3.01523770906402
27001,"intercept",-17.9853975,6.7841972044216
38089,"intercept",-29.2150196,0.906795683275481
38059,"intercept",-28.7946275,2.06189560668008
55007,"intercept",-21.0162537,1.5512303851763
16035,"intercept",-11.26365147,3.77623970706966
30017,"intercept",-33.9713284,2.10152647763706
30087,"intercept",-33.1933874,1.97736140059672
30039,"intercept",-32.6028984,1.97455656458968
27159,"intercept",-22.7950671,4.78212639147395
27035,"intercept",-19.35119611,7.40090342044081
53049,"intercept",-2.93661691404,20.3095289554309
53041,"intercept",-32.7742089,5.3206189624831
30007,"intercept",-20.3964953,2.58808757143287
27017,"intercept",-24.3783823,6.67648213550538
30037,"intercept",-11.25261098,2.44552089911991
55031,"intercept",-7.58387781,9.12417344586547
30065,"intercept",-17.5719727,2.48208717076334
30107,"intercept",-10.60438482,1.92132670307971
53021,"intercept",-13.2755388,4.7605318884569
53005,"intercept",-5.64879675,6.45764998603114
38037,"intercept",-27.0690207,4.67186416230744
27111,"intercept",-21.9236762,1.23627153254281
53023,"intercept",-2.4597024037,1.56322143239345
30025,"intercept",-24.146168,2.49157516786332
16049,"intercept",-17.54071,0.805688649516648
30081,"intercept",-21.8799773,3.30744256164083
55003,"intercept",-17.7783056,4.4636784101207
38047,"intercept",-30.9373936,2.8316436983974
38029,"intercept",-32.6077156,4.29763786793403
38045,"intercept",-39.6524826,1.80589849333385
38087,"intercept",-30.2440199,2.86776435693746
38041,"intercept",-32.2683348,2.15230037209509
38073,"intercept",-37.7991845,5.15120203513865
38077,"intercept",-32.2546773,1.24830787956212
27167,"intercept",-30.5068566,2.65329348971028
16069,"intercept",-17.6063184,3.89834887807346
53013,"intercept",-14.5095196,2.32586754861267
53071,"intercept",-12.1592974,0.859520080150209
55051,"intercept",-12.55824167,4.42459754066629
23025,"intercept",-13.0065910376,21.5253391701206
23021,"intercept",-15.359871498,21.9201231935454
30043,"intercept",-27.9550384,3.29478251091323
30111,"intercept",-31.5498578,1.24830073080716
30103,"intercept",-36.9195446,3.49358951346598
16061,"intercept",-10.38001865,3.10663786400629
53003,"intercept",-10.45405686,2.81722797412715
38085,"intercept",-30.5914928,4.46284017459646
27115,"intercept",-24.830619,6.07223014616269
23019,"intercept",-13.6098795157,22.6844303289316
53059,"intercept",-11.63801049016,10.5498481825844
53015,"intercept",-9.55454835,14.7413663212131
53069,"intercept",-2.1955276021,14.3953294698442
27153,"intercept",-19.0740821,3.26048388295366
27097,"intercept",-23.6715539,2.7567644631143
38051,"intercept",-34.4947766,3.51912988775341
38021,"intercept",-37.021813,1.98733953435638
38081,"intercept",-33.9888563,2.72047464566351
38011,"intercept",-28.3023481,3.43960754002921
38001,"intercept",-32.1823336,3.10832882792564
30023,"intercept",-32.4611996,2.19166252446424
27095,"intercept",-12.96275322,7.29705758418616
41007,"intercept",14.8466785,17.2328437227778
30097,"intercept",-17.1507766,1.39800790812628
30031,"intercept",-17.5243106,2.68571109051762
30067,"intercept",-22.6504058,2.07481618300987
41009,"intercept",-23.4395186,7.77382967271823
30093,"intercept",-38.7504618,4.3687394510215
55129,"intercept",-17.570827,6.05733355202696
55113,"intercept",-21.7388898,2.70052055269563
55013,"intercept",-14.64073273,4.97153637261679
27065,"intercept",-12.64376808,3.47964735310944
30011,"intercept",-23.4052396,4.98077186513741
30095,"intercept",-6.38373251,0.417808882236694
27051,"intercept",-26.2272608,4.51252005577561
27041,"intercept",-20.234776,1.93969669928812
53011,"intercept",-38.7466907,4.28343366056111
53039,"intercept",-7.33476814,3.81914981745463
30003,"intercept",-33.7210906,1.95224854618917
27155,"intercept",-31.3408417,6.12380659999524
41059,"intercept",-14.88467554,3.5450486587275
41063,"intercept",-17.3684192,1.55189475022862
55099,"intercept",-18.8946427,2.54998022244518
46021,"intercept",-29.3719188,4.19868953706215
46063,"intercept",-25.1006284,5.62425401437129
46089,"intercept",-26.8898778,4.04614562896319
46105,"intercept",-27.3878693,5.52244986029633
46031,"intercept",-25.5849566,5.82683331364829
46013,"intercept",-32.158808,5.50680243801494
30001,"intercept",-28.3616367,1.93960342565998
46091,"intercept",-31.4571876,2.0874000685236
46109,"intercept",-29.3971766,1.42153616745682
41049,"intercept",-12.48319211,1.83321862839634
41061,"intercept",-19.4977807,1.32270021685232
30057,"intercept",-24.6251334,1.44396338283746
27009,"intercept",-22.6883055,2.4482840399349
41021,"intercept",3.389224644,2.79342395507598
30075,"intercept",-16.8499946,3.1143023820589
27145,"intercept",-26.3721647,2.55919432556418
41057,"intercept",-4.6223038025,18.9422293540983
41067,"intercept",-15.16751833,3.80844586338791
27121,"intercept",-21.2575767,1.47710899228263
27149,"intercept",-27.7006051,5.20470315166205
27059,"intercept",-25.8208932,14.1615278818941
27025,"intercept",-19.6490229,4.42212989028049
41055,"intercept",-11.82900961,1.70804294734685
55095,"intercept",-10.66733565,3.62139257258657
41051,"intercept",-23.2989316,3.64438388750704
41027,"intercept",-10.97466015,15.2737948723114
41065,"intercept",-15.2839914,1.28162035676909
16059,"intercept",-20.4264968,2.73448298253098
23029,"intercept",-13.129442074,22.574315480208
23007,"intercept",-14.9593715056,21.0305322075641
55005,"intercept",-12.4363697,2.92519625304764
55107,"intercept",-15.4383098,2.12047629187132
30009,"intercept",-41.567074,1.13835162620734
46129,"intercept",-23.6493649,4.34714043665189
46045,"intercept",-36.5528159,3.05153772753013
46037,"intercept",-35.7106144,5.04259163673676
27011,"intercept",-36.421816,5.47143325233881
27141,"intercept",-28.0985798,7.4179177653426
46137,"intercept",-29.6484892,5.20437878976451
46041,"intercept",-28.8900934,3.01140976877474
41005,"intercept",-12.93501855,2.99149542554292
27171,"intercept",-17.9770444,3.09090789715535
41071,"intercept",-15.4859444,3.06954983263078
27003,"intercept",-29.4213694,8.67049998835544
27067,"intercept",-29.6784365,8.00715689582714
27151,"intercept",-34.3964084,4.45405286873505
55119,"intercept",-10.95328786,0.793566733295073
23017,"intercept",-13.354334509,22.0212243908962
46051,"intercept",-29.1078949,7.24786869991829
27093,"intercept",-19.2576777,1.53390231192708
33007,"intercept",-13.3993378161,21.2768462541903
27163,"intercept",-10.56640721,9.29691534042684
55017,"intercept",-17.5070964,3.15532360191785
41047,"intercept",-16.8363739,3.1948534208927
27073,"intercept",-33.0783323,7.76990760313969
16003,"intercept",-25.9839545,4.502119112485
46107,"intercept",-18.9182094,5.15133887544989
46049,"intercept",-34.7235058,1.38466386704176
27053,"intercept",-11.12416709,19.1454329960883
46115,"intercept",-31.3116519,1.2145019365115
