"fips","coef","mean","serr"
27077,"intercept",-23.5622738666667,4.43929811446763
53019,"intercept",-7.26376292,8.5071286327283
53065,"intercept",-9.34048665333333,4.5801609518079
53047,"intercept",1.09220202253333,3.81383909789234
53051,"intercept",-2.50021092653333,10.0298869879754
16021,"intercept",1.11023286453333,10.7545424264075
30053,"intercept",-1.0836257236,11.1259279922585
30029,"intercept",5.98675297134667,4.87977592367347
30035,"intercept",-7.77527181204,5.12050800590634
30101,"intercept",-18.4745217333333,8.00510906434695
30051,"intercept",-22.42425836,7.38591918420432
30041,"intercept",-25.5335558666667,8.79625689840187
30091,"intercept",-41.8286841333333,6.86115700697928
38023,"intercept",-29.4507672,4.40656015193798
38013,"intercept",-32.1698265333333,5.67168848963875
38075,"intercept",-32.617266,1.38369657581274
38009,"intercept",-42.3732056,4.40996231838566
38079,"intercept",-43.2945365333333,4.59444732736128
38095,"intercept",-43.8679737333333,3.69864823261349
38019,"intercept",-37.892388,4.29789175096737
38067,"intercept",-43.3740241333333,2.72625902412808
27069,"intercept",-40.8098501333333,2.6460272866057
27135,"intercept",-44.2957946666667,1.30595761720744
30005,"intercept",-28.5262954666667,6.24757191955559
30071,"intercept",-16.140476,3.67783862349768
30105,"intercept",-23.7988309333333,1.93198470739011
30019,"intercept",-32.0190392,5.02182349608232
53073,"intercept",22.8323021333333,7.13950219878324
16017,"intercept",-3.10972563812,10.4510443550863
38101,"intercept",-45.2588224,6.92183013399275
27071,"intercept",-37.8495064,6.4662501634508
53057,"intercept",25.0508032,3.30107774661984
38105,"intercept",-50.5706261333333,9.00273611983758
38049,"intercept",-46.1251504,7.28821890949383
27137,"intercept",-27.9315628933333,10.7610234874334
53055,"intercept",17.8436211954667,10.9863349984099
30085,"intercept",-36.4162609333333,2.25053992991355
38061,"intercept",-33.7403562266667,10.7376603774289
27089,"intercept",-31.1826584,1.59396196369666
38071,"intercept",-44.6371754666667,3.20270257101863
38099,"intercept",-39.7206108,5.45074460287256
27007,"intercept",-33.7195321333333,2.33722009602086
38069,"intercept",-38.2979074666667,8.10879594523376
53007,"intercept",-17.0710677866667,5.45349182082726
30073,"intercept",4.18784005333333,6.39299648578932
53009,"intercept",9.9405155684,9.38829762237881
38005,"intercept",-40.9512922666667,7.82709448452701
30015,"intercept",-5.3861270328,4.12708656251158
53061,"intercept",16.7252300133333,7.5233418626928
53029,"intercept",-35.3298222666667,6.6327920921007
30089,"intercept",4.42539181333333,8.35562581169845
27075,"intercept",-21.0541680733333,10.729512585829
38063,"intercept",-49.7110921333333,4.42371835502641
38035,"intercept",-35.051612,1.8141604208539
27119,"intercept",-31.3057530666667,3.22620418963652
27113,"intercept",-31.5049082666667,2.24276172291054
53017,"intercept",-10.9762820250667,10.1036551003345
38053,"intercept",-42.5565813333333,1.44865114094771
53031,"intercept",4.18209440373333,10.563636605556
30083,"intercept",-51.2780069333333,3.9333327111854
30099,"intercept",-10.9066168625067,7.69681262594686
30055,"intercept",-39.3124342666667,6.07422093644214
16079,"intercept",-1.61100769333333,10.6565302369684
53063,"intercept",5.08278654706667,5.70223576286972
30047,"intercept",-11.7427443866667,6.39616558201916
27029,"intercept",-33.2742001333333,5.24533986731507
16055,"intercept",-3.86796380494667,10.624172232091
30033,"intercept",-34.2027512,2.97432928300767
27125,"intercept",-34.466548,3.17884409625056
53025,"intercept",-30.5767488,0.578447317420179
53043,"intercept",-6.61959073934667,7.47847859023493
30049,"intercept",2.81812723333333,3.5066239860009
53035,"intercept",2.54679477826667,8.93812044338094
27061,"intercept",-33.7134196,3.74815404720839
38083,"intercept",-39.8936413333333,8.17835638548534
38103,"intercept",-39.6262912,4.04524174815514
38055,"intercept",-49.4200322666667,4.87835179429392
