"fips","coef","mean","serr"
27077,"intercept",-22.2944649,2.35765156821679
53019,"intercept",-27.8663405,6.41988758381629
53065,"intercept",-20.9463034,3.66238188512352
53047,"intercept",-33.5600455,4.21601180136738
53051,"intercept",-27.6277283,4.93493400667723
16021,"intercept",-20.4614083,2.37126754036931
30053,"intercept",-34.1016646,10.5447313759041
30029,"intercept",-22.1475598,2.28807719990753
30035,"intercept",-12.16535539,3.20035191201433
30101,"intercept",-15.8346934,2.74775053939822
30051,"intercept",-18.467712,3.43435495852965
30041,"intercept",-20.2167686,2.09234127165984
30091,"intercept",-12.4722699,2.26009262507799
38023,"intercept",-20.8401372,3.74392174802191
38013,"intercept",-19.78089738,5.69590784345799
38075,"intercept",-21.6194555,1.58135748870293
38009,"intercept",-24.7839494,1.74201423807766
38079,"intercept",-24.2017448,3.01180413591689
38095,"intercept",-24.3589825,3.08617050081875
38019,"intercept",-22.761173,4.77900842776026
38067,"intercept",-21.8801928,2.12177292281341
27069,"intercept",-25.8234649,2.23940391209793
27135,"intercept",-19.286001,2.70161847320338
30005,"intercept",-18.4380995,2.53126713663864
30071,"intercept",-23.4784853,4.74742237967351
30105,"intercept",-17.038419,1.15488074748864
30019,"intercept",-14.84335992,5.60955184075453
53073,"intercept",-31.460875,1.21352277763825
16017,"intercept",-23.854737,2.03026059823061
38101,"intercept",-24.7565496,1.95705224896655
27071,"intercept",-24.4667001,2.43237746069999
53057,"intercept",-26.3867404,5.2168517129935
38105,"intercept",-18.6630428,5.73657481412962
38049,"intercept",-23.0147798,3.65080181547943
27137,"intercept",-24.7448907665,10.7897209902503
53055,"intercept",-25.03320823,9.87488827766325
30085,"intercept",-17.4481767,3.15291084612152
38061,"intercept",-23.2635477412,10.5611026501071
27089,"intercept",-17.9725712,2.99726940690157
38071,"intercept",-25.1784966,5.73565249675152
38099,"intercept",-23.3099694,0.355595186356902
27007,"intercept",-25.984267,3.41347162579259
38069,"intercept",-27.5181398,3.36786179168086
53007,"intercept",-25.8683784,5.13816890428316
