,fips,mean
1,8001,78
2,8003,11.1
3,8005,294.95
4,8007,39.4
5,8009,147.2
6,8011,9.5
7,8013,1000000
8,8015,37.1
9,8017,195.25
10,8019,1000000
11,8021,10
12,8023,65.4
13,8025,16.8
14,8027,45.15
15,8029,21.4
16,8031,181.15
17,8033,1000000
18,8035,405.5
19,8037,6.1
20,8039,146.9
21,8041,78.7
22,8043,23.35
23,8045,33.2
24,8047,1000000
25,8049,1.7
26,8051,6.15
27,8053,1000000
28,8055,1000000
29,8057,21.1
30,8059,403.7
31,8061,150.6
32,8063,194.2
33,8065,8.55
34,8067,31.8
35,8069,1000000
36,8071,1000000
37,8073,71.8
38,8075,13.5
39,8077,1000000
40,8079,1000000
41,8081,1000000
42,8083,1000000
43,8085,7.6
44,8087,40.5
45,8089,10.8
46,8091,1000000
47,8093,1000000
48,8095,164.5
49,8097,1000000
50,8099,14.3
51,8101,16.4
52,8103,96.65
53,8105,27.4
54,8107,1000000
55,8109,17.6
56,8111,1000000
57,8113,1000000
58,8115,29.15
59,8117,15.35
60,8119,1000000
61,8121,133.35
62,8123,17.2
63,8125,165.85
