FIPS,Alfalfa,Otherhay,Barley,Barley.Winter,Maize,Sorghum,Soybean,Wheat,Wheat.Winter
1001,0,0,0,0,0,0,0,0,0
1003,0,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,0,0,0
1007,0,0,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,0,0,0
1011,0,0,0,0,NA,0,0,0,0
1013,0,0,0,0,0,0,0,0,0
1015,0,NA,0,0,NA,0,0,0,0
1017,0,6,0,0,0,0,0,0,0
1019,0,NA,0,0,NA,0,NA,0,0
1021,0,NA,0,0,NA,0,0,NA,NA
1023,0,0,0,0,0,0,0,0,0
1025,0,NA,0,0,NA,0,0,0,0
1027,0,0,0,0,0,0,0,0,0
1029,0,117,0,0,0,0,0,0,0
1031,0,NA,0,0,904,0,NA,NA,NA
1033,0,NA,0,0,2005,0,0,0,0
1035,NA,NA,0,0,0,0,0,0,0
1037,0,0,0,0,0,0,0,0,0
1039,0,NA,0,0,NA,NA,NA,0,0
1041,0,NA,0,0,842,0,NA,0,0
1043,0,0,0,0,NA,0,0,0,0
1045,0,0,0,0,NA,0,0,0,0
1047,0,NA,0,0,0,0,261,0,0
1049,0,200,0,0,NA,0,NA,0,0
1051,NA,NA,0,0,691,0,0,0,0
1053,0,NA,0,0,24,0,0,NA,NA
1055,0,NA,0,0,0,0,0,0,0
1057,0,0,0,0,0,0,0,0,0
1059,0,130,0,0,NA,0,NA,0,0
1061,0,132,0,0,719,0,46,0,78
1063,0,NA,0,0,NA,0,NA,0,0
1065,0,0,0,0,NA,0,NA,0,0
1067,0,889,0,0,1298,NA,240,0,120
1069,0,189,0,0,813,0,NA,NA,NA
1071,0,NA,0,0,NA,0,NA,0,0
1073,0,0,0,0,150,0,0,0,0
1075,0,NA,0,0,0,0,0,0,0
1077,0,11,0,0,NA,0,NA,NA,NA
1079,0,NA,0,0,2065,0,1725,NA,NA
1081,0,NA,0,0,NA,0,NA,0,0
1083,0,158,0,0,4938,0,3304,0,1136
1085,0,NA,0,0,NA,0,NA,NA,NA
1087,0,NA,0,0,NA,0,0,0,0
1089,NA,NA,0,0,3103,0,0,0,0
1091,0,60,0,0,NA,0,NA,0,0
1093,0,NA,0,0,0,0,0,0,0
1095,0,122,0,0,0,0,0,0,0
1097,0,NA,0,0,NA,0,NA,0,0
1099,0,0,0,0,0,0,0,0,0
1101,0,NA,0,0,NA,0,0,NA,NA
1103,0,120,0,0,0,0,0,0,0
1105,0,NA,0,0,315,0,0,0,0
1107,0,NA,0,0,NA,0,NA,0,0
1109,0,1131,0,0,646,0,NA,NA,NA
1111,0,NA,0,0,0,0,0,0,0
1113,0,NA,0,0,0,0,0,0,0
1115,0,0,0,0,22,0,0,0,0
1117,0,NA,0,0,522,0,0,0,0
1119,0,480,0,0,NA,0,NA,0,0
1121,0,NA,0,0,2081,0,1009,NA,NA
1123,0,NA,0,0,NA,0,0,0,0
1125,0,NA,0,0,450,0,240,0,0
1127,0,0,0,0,0,0,0,0,0
1129,0,0,0,0,0,0,0,0,0
1131,0,NA,0,0,0,0,0,0,0
1133,0,0,0,0,0,0,0,0,0
4001,0,0,0,0,0,0,0,0,0
4003,0,0,0,0,0,0,0,0,0
4005,0,0,0,0,0,0,0,0,0
4007,0,0,0,0,0,0,0,0,0
4009,0,0,0,0,0,0,0,0,0
4011,1048,1725,0,0,NA,0,0,0,0
4012,64008,2750,NA,0,0,0,0,9190,0
4013,75145,8856,16604,0,1374,681,0,NA,NA
4015,11085,1433,0,0,0,0,0,0,0
4017,NA,NA,0,0,NA,0,0,NA,NA
4019,5048,277,1768,0,0,2527,0,3559,0
4021,58571,3604,21436,0,2983,4005,0,16436,1433
4023,NA,NA,0,0,0,0,0,NA,0
4025,NA,NA,NA,0,NA,0,0,NA,0
4027,33473,11254,885,0,295,236,0,NA,NA
5001,0,0,0,0,0,0,0,0,0
5003,0,0,0,0,0,0,0,0,0
5005,0,0,0,0,0,0,0,0,0
5007,0,0,0,0,0,0,0,0,0
5009,0,0,0,0,0,0,0,0,0
5011,0,NA,0,0,0,0,0,0,0
5013,0,15,0,0,0,0,0,0,0
