Alfalfa,Otherhay,Barley,Barley.Winter,Maize,Sorghum,Soybean,Wheat,Wheat.Winter
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
20041,1769,0,0,0,441,0,341,911
10018,8851,742,0,933,0,0,0,925
4711,5234,0,0,0,0,0,0,0
809,652,0,0,16751,544,0,0,5715
0,0,0,0,0,0,0,0,0
46001,22650,0,0,0,0,0,0,0
15640,4809,3548,0,0,0,0,0,0
2725,318,0,0,222,475,0,0,0
0,0,0,0,0,0,0,0,0
19856,9577,75,0,4279,0,0,0,0
0,0,0,0,0,0,0,0,0
4806,530,0,0,0,0,0,0,0
506,375,0,0,0,0,0,0,0
2979,4450,0,0,0,0,0,0,0
3087,3753,0,0,0,0,0,0,415
3023,654,0,0,726,0,0,0,0
2941,2754,0,0,0,0,0,0,0
16469,3754,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
4233,2768,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
135,0,0,0,556,1316,0,0,893
4269,4865,0,0,70666,0,1741,0,19031
0,0,0,0,0,0,0,0,0
14546,14734,0,0,0,0,0,0,0
13146,8941,1520,0,8419,0,0,0,0
6953,2198,0,0,26,0,0,0,0
446,528,0,0,1676,0,0,0,1439
22480,3409,0,0,52824,0,0,0,2175
26240,10142,0,0,3844,0,156,0,0
0,0,0,0,0,0,0,0,0
5949,6143,0,0,0,0,0,0,0
26757,8062,0,0,0,0,0,602,1044
18240,12207,140,0,10083,0,0,0,0
19081,4099,0,0,42927,0,0,0,0
25066,2499,0,0,5583,76,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
613,125,0,0,64191,0,0,0,1675
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5139,1527,0,0,3808,0,0,0,410
4995,11817,0,0,0,0,0,0,0
30100,13571,14590,0,0,0,0,0,0
3686,30139,0,0,0,0,0,0,0
22680,21214,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2531,428,0,0,29360,0,0,0,2032
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5914,1945,0,0,26192,0,1589,0,0
63047,14049,4551,0,78273,0,0,315,17135
8470,2795,0,0,178203,0,0,0,6930
