"fips","known","total","BARLEY","CORN","COTTON","RICE","SOYBEANS","WHEAT"
1001,11000,17900,0,0,6300,0,2000,0
1003,36900,72900,0,5400,12300,0,15000,0
1005,1900,5500,0,1900,0,0,0,0
1007,4500,4500,0,0,0,0,0,0
1009,22000,22000,0,0,0,0,2000,0
1011,5000,5000,0,0,0,0,0,0
1013,1800,1800,0,1800,0,0,0,0
1015,16300,18700,0,1300,2400,0,3500,0
1017,0,0,0,0,0,0,0,0
1019,26100,40000,0,2600,13900,0,15000,0
1021,11500,11500,0,0,0,0,0,0
1023,0,0,0,0,0,0,0,0
1025,5000,5000,0,0,0,0,0,0
1027,7000,7000,0,0,0,0,0,0
1029,0,0,0,0,0,0,0,0
1031,20900,36100,0,7300,15200,0,2600,0
1033,51200,56200,0,21200,5000,0,18000,0
1035,10900,15600,0,1000,4700,0,1400,0
1037,0,0,0,0,0,0,0,0
1039,13800,35800,0,2800,13600,0,1000,0
1041,9700,9700,0,2200,0,0,0,0
1043,47300,47300,0,3300,0,0,6000,0
1045,0,21900,0,0,9700,0,0,0
1047,23800,34100,0,5300,6700,0,0,0
1049,52200,52200,0,10200,0,0,12500,0
1051,6700,16900,0,3200,10200,0,3500,0
1053,9000,43800,0,2500,22600,0,3500,0
1055,10000,10000,0,0,0,0,0,0
1057,12900,12900,0,2500,0,0,2900,0
1059,23900,23900,0,2900,0,0,3500,0
1061,23100,71500,0,0,23200,0,2600,0
1063,10000,10000,0,0,0,0,0,0
1065,7500,7500,0,0,0,0,0,0
1067,11500,48400,0,3000,18600,0,0,0
1069,13300,72800,0,3300,24000,0,4000,0
1071,76000,79400,0,23000,3400,0,26000,0
1073,8000,8000,0,0,0,0,0,0
1075,6000,6000,0,0,0,0,0,0
1077,66700,83600,0,20700,16900,0,16000,0
1079,72700,85200,0,29700,12500,0,22000,0
1081,2000,2000,0,0,0,0,0,0
1083,98500,114800,0,21500,16300,0,56000,0
1085,12500,12500,0,0,0,0,0,0
1087,7900,7900,0,0,0,0,1400,0
1089,75100,104200,0,22100,29100,0,35000,0
1091,4500,4500,0,0,0,0,4500,0
1093,8000,8000,0,0,0,0,0,0
1095,30000,30000,0,3700,0,0,5300,0
1097,8000,21800,0,0,7000,0,0,0
1099,9700,36100,0,1200,17500,0,0,0
1101,16500,16500,0,0,0,0,0,0
1103,33900,33900,0,6900,0,0,7000,0
1105,1600,1600,0,1600,0,0,0,0
1107,18400,18400,0,4400,0,0,3500,0
1109,21800,30300,0,2900,3200,0,1400,0
1111,8000,8000,0,0,0,0,0,0
1113,4200,4200,0,1200,0,0,0,0
1115,0,0,0,0,0,0,0,0
1117,10000,13700,0,1000,3700,0,2500,0
1119,12500,12500,0,0,0,0,0,0
1121,17800,22400,0,8800,4600,0,0,0
1123,2500,2500,0,0,0,0,0,0
1125,16800,18300,0,3300,1500,0,3500,0
1127,14000,14000,0,0,0,0,0,0
1129,4800,4800,0,800,0,0,0,0
1131,9000,9000,0,0,0,0,0,0
1133,9500,9500,0,0,0,0,0,0
4001,1100,1100,0,0,0,0,0,0
4003,16000,16000,0,0,0,0,0,0
4005,0,0,0,0,0,0,0,0
4007,0,0,0,0,0,0,0,0
4009,5000,24800,1600,0,19800,0,0,0
4011,0,0,0,0,0,0,0,0
4012,69700,82200,0,0,12500,0,0,3700
4013,111000,142000,15000,0,31000,0,0,11000
4015,9000,9000,0,0,0,0,0,0
4017,0,0,0,0,0,0,0,0
4019,6100,15400,0,0,9300,0,0,3700
4021,90200,186100,20000,0,95900,0,0,6200
4023,0,0,0,0,0,0,0,0
4025,0,0,0,0,0,0,0,0
4027,69500,84700,3500,0,15200,0,0,39000
5001,190500,318500,0,6500,0,128000,173100,10900
5003,59100,79000,0,15200,0,19900,40100,3800
5005,0,0,0,0,0,0,0,0
5007,0,0,0,0,0,0,0,0
5009,0,0,0,0,0,0,0,0
5011,0,0,0,0,0,0,0,0
5013,0,0,0,0,0,0,0,0
5015,0,0,0,0,0,0,0,0
5017,156800,211600,0,25800,0,54800,127100,3900
5019,0,0,0,0,0,0,0,0
5021,130400,251600,0,23600,31000,90200,103500,3300
5023,0,0,0,0,0,0,0,0
5025,0,0,0,0,0,0,0,0
5027,0,0,0,0,0,0,0,0
5029,25000,25000,0,3900,0,0,18400,2700
5031,126900,288300,0,20200,70600,90800,105500,1200
5033,14700,14700,0,1800,0,0,12900,0
5035,232000,305300,0,4000,20700,52600,211500,12100
5037,162500,260600,0,5000,0,98100,148800,4600
5039,0,0,0,0,0,0,0,0
5041,155300,208800,0,11000,0,53500,140000,4300
5043,36000,51600,0,3800,0,15600,32200,0
5045,0,2800,0,0,0,2800,0,0
5047,0,0,0,0,0,0,0,0
5049,0,0,0,0,0,0,0,0
5051,0,0,0,0,0,0,0,0
5053,0,0,0,0,0,0,0,0
5055,87500,182500,0,11100,0,95000,76400,0
5057,0,0,0,0,0,0,0,0
5059,0,0,0,0,0,0,0,0
5061,0,0,0,0,0,0,0,0
5063,40200,56500,0,6500,0,16300,32000,1700
5065,0,0,0,0,0,0,0,0
5067,148700,266700,0,7900,0,118000,129000,11800
5069,152900,236200,0,26100,0,83300,115800,11000
5071,1600,1600,0,1600,0,0,0,0
5073,21900,21900,0,11600,0,0,0,10300
5075,74200,188200,0,1800,0,114000,65100,6100
5077,161400,253300,0,21400,53100,38800,130000,5300
5079,85500,120400,0,8100,0,34900,77400,0
5081,14500,14500,0,0,0,0,14500,0
5083,8500,8500,0,3200,0,0,5300,0
5085,141400,235600,0,20600,6200,88000,115500,5300
5087,0,0,0,0,0,0,0,0
5089,0,0,0,0,0,0,0,0
5091,46600,46600,0,27600,0,0,19000,0
5093,285200,481400,0,19300,142200,54000,255500,9200
5095,121000,195200,0,14200,6000,68200,99800,7000
5097,0,0,0,0,0,0,0,0
5099,0,0,0,0,0,0,0,0
5101,0,0,0,0,0,0,0,0
5103,0,0,0,0,0,0,0,0
5105,3800,3800,0,0,0,0,3800,0
5107,255600,302100,0,22500,0,46500,211500,19000
5109,0,0,0,0,0,0,0,0
5111,186400,355600,0,10100,24700,144500,170800,5500
5113,0,0,0,0,0,0,0,0
5115,10700,10700,0,1300,0,0,9400,0
5117,120800,194200,0,6400,0,73400,112100,2300
5119,33000,38600,0,5500,0,5600,24300,3200
5121,36500,77200,0,4900,0,40700,31600,0
5123,153000,234800,0,4500,25800,56000,143100,5400
5125,0,0,0,0,0,0,0,0
5127,0,0,0,0,0,0,0,0
5129,0,0,0,0,0,0,0,0
5131,4400,4400,0,900,0,0,3500,0
5133,0,0,0,0,0,0,0,0
5135,0,0,0,0,0,0,0,0
5137,0,0,0,0,0,0,0,0
5139,0,0,0,0,0,0,0,0
5141,0,0,0,0,0,0,0,0
5143,0,0,0,0,0,0,0,0
5145,42200,63700,0,2100,0,21500,40100,0
5147,164600,237900,0,11900,5900,67400,143600,9100
5149,0,0,0,0,0,0,0,0
6001,0,0,0,0,0,0,0,0
6003,0,0,0,0,0,0,0,0
6005,0,0,0,0,0,0,0,0
6007,0,93800,0,0,0,93800,0,0
6009,0,0,0,0,0,0,0,0
6011,19300,186300,0,7000,0,153000,0,12300
6013,0,0,0,0,0,0,0,0
6015,0,0,0,0,0,0,0,0
6017,0,0,0,0,0,0,0,0
6019,126500,299400,24500,0,71900,0,0,102000
6021,22800,108400,0,15000,0,85600,0,7800
6023,0,0,0,0,0,0,0,0
6025,59000,84600,0,0,0,0,0,59000
6027,0,0,0,0,0,0,0,0
6029,55800,122700,0,0,52900,0,0,55800
6031,101000,233700,0,0,98700,0,0,101000
6033,0,0,0,0,0,0,0,0
6035,0,0,0,0,0,0,0,0
6037,0,0,0,0,0,0,0,0
6039,29900,33900,0,0,4000,0,0,29900
6041,0,0,0,0,0,0,0,0
6043,0,0,0,0,0,0,0,0
6045,0,0,0,0,0,0,0,0
6047,42700,100100,4700,0,39400,0,0,38000
6049,0,0,0,0,0,0,0,0
6051,0,0,0,0,0,0,0,0
6053,0,0,0,0,0,0,0,0
6055,0,0,0,0,0,0,0,0
6057,0,0,0,0,0,0,0,0
6059,0,0,0,0,0,0,0,0
6061,0,12800,0,0,0,12800,0,0
6063,0,0,0,0,0,0,0,0
6065,22400,22400,0,0,0,0,0,22400
6067,32400,34400,0,32400,0,0,0,0
