fips,naics,year,MGwithdrawal,MG_min_of_min_withdrawal,MG_max_of_maxwithdrawl,fix_revenue2015dollar,hours,materials_2015dollar,labor_2015dollar,ln_fix_revenue,ln_MGwithdrawal,ln_hours,ln_materials
36001,311,2009,0,.,.,452008,867.136,265202.4,29952.17,6.1137,.,6.765196,12.48825
36001,311,2010,0,.,.,493788.2,849.424,279636.1,30003.57,6.202106,.,6.744558,12.54124
36001,311,2011,0,.,.,528778.2,832.208,289766.8,29658.96,6.270569,.,6.724082,12.57683
36001,311,2012,0,.,.,562190.4,814,301129.4,29511.57,6.331841,.,6.701961,12.6153
36001,311,2013,0,.,.,592691.4,794.8,312715.7,29426.56,6.384674,.,6.678091,12.65305
36001,311,2014,0,.,.,621230.8,775.6,323402.8,29292.42,6.431703,.,6.653637,12.68665
36001,312,2009,0,.,.,135774.1,314.8792,62508.2,16122.11,4.910993,.,5.752189,11.04305
36001,312,2010,0,.,.,91699.16,214.1575,42326.25,10952,4.518513,.,5.366712,10.65316
36001,312,2011,0,.,.,45887.38,107.7904,21333.33,5589.581,3.82619,.,4.680189,9.968026
36001,312,2012,0,.,.,7532.876,12.71394,3779.856,1075.266,2.019277,.,2.542699,8.237441
36001,312,2013,.,.,.,.,.,.,.,.,.,.,.
36001,312,2014,.,.,.,.,.,.,.,.,.,.,.
36001,322,2009,346.75,288.35,518.3,114371.7,176.757,57345.43,15449.45,4.739454,5.848604,5.174776,10.95685
36001,322,2010,357.7,288.35,518.3,179239.5,284.9036,89910.09,25010.41,5.188723,5.879694,5.652151,11.40657
36001,322,2011,328.5,288.35,518.3,241627.7,400.2579,121155.3,34262.07,5.487398,5.794537,5.992109,11.70483
36001,322,2012,361.35,288.35,518.3,296953.9,501.1968,149005.9,42388.11,5.693577,5.889847,6.216999,11.91174
36001,322,2013,306.6,288.35,518.3,345842,587.7204,173767.5,49490.73,5.845982,5.725544,6.376251,12.06547
36001,322,2014,288.35,288.35,518.3,392647.5,674.244,197476.8,56292.12,5.972912,5.664175,6.513592,12.19338
36001,324,2009,0,.,.,30092.74,57.72371,14527.86,3965.631,3.404284,.,4.055668,9.583823
36001,324,2010,0,.,.,36296.74,65.02561,17837.77,4964.724,3.591728,.,4.174781,9.789073
36001,324,2011,0,.,.,41803.67,72.37273,20804.22,5869.881,3.732984,.,4.281829,9.942911
36001,324,2012,0,.,.,47179.59,79.6294,23673.84,6734.56,3.853961,.,4.377383,10.07213
36001,324,2013,0,.,.,52375.97,86.79562,26428.49,7555.625,3.958448,.,4.463556,10.1822
36001,324,2014,0,.,.,57323.55,93.96185,29053.6,8338.644,4.048712,.,4.542889,10.2769
36001,325,2009,0,.,.,828138.4,1368.448,550975.4,96201.75,6.71918,.,7.221433,13.21945
36001,325,2010,0,.,.,785857.4,1425.632,636702.4,88774.95,6.666775,.,7.262371,13.36406
36001,325,2011,0,.,.,791083.9,1489.144,711092.7,79991.13,6.673404,.,7.305957,13.47456
36001,325,2012,0,.,.,857588.5,1540,784433.1,73155.48,6.754124,.,7.339538,13.57272
