FIPS,year_cal,month_num,wateruse_perconnection,tot_maxwithdraw_fips,ps_w_total,ps_gw_total,ps_sw_total,cnty_avg_p,state_yr_avg_p,predict_accounts,name_county,median_age,college_more,average_household_size,median_household_income,median_year_structure_built,owner_occupied_housing_units,total_pop,unemployment,housing_density,precip_monthly_avg_dailytot,precip_monthly_total,rainydays_month,temp_monthly_dailymax,temp_monthly_dailymean,annual_avg_dailymax,annual_avg_dailymean,precip_annual_total,precip_annual_avg_monthly_total
36001,2009,1,13463.78,.,3.313381,0.7773765,2.536005,0.0024863,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,2.3414241,72.58414,10,-3.621974,-7.3908113,13.177932,8.6429728,1107.458,92.28817
36001,2009,2,12950.24,.,3.187002,0.7477257,2.439276,0.0024193,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,0.78071137,21.85992,4,1.205375,-2.5894259,13.177932,8.6429728,1107.458,92.28817
36001,2009,3,13777.2,.,3.390512,0.7954727,2.59504,0.0025535,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,2.1070314,65.31797,9,7.0194237,1.7953696,13.177932,8.6429728,1107.458,92.28817
36001,2009,4,13596,.,3.34592,0.7850105,2.560909,0.0026002,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,1.4023755,42.07127,7,14.918717,8.9975911,13.177932,8.6429728,1107.458,92.28817
36001,2009,5,15517.43,.,3.818776,0.8959506,2.922825,0.0026633,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,3.6094508,111.893,12,19.465715,13.957178,13.177932,8.6429728,1107.458,92.28817
36001,2009,6,16644.01,.,4.096024,0.9609978,3.135026,0.0027265,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,4.3970646,131.9119,14,22.712594,18.281629,13.177932,8.6429728,1107.458,92.28817
36001,2009,7,18257.47,.,4.493089,1.054156,3.438932,0.0027778,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,6.1891478,191.8636,16,24.241436,19.739557,13.177932,8.6429728,1107.458,92.28817
36001,2009,8,17308.73,.,4.259608,0.9993774,3.26023,0.0028052,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,4.8962113,151.7825,11,26.143044,21.521608,13.177932,8.6429728,1107.458,92.28817
36001,2009,9,15937.93,.,3.92226,0.9202299,3.00203,0.0026986,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,1.6672243,50.01673,5,21.011523,15.898366,13.177932,8.6429728,1107.458,92.28817
36001,2009,10,13666.88,.,3.363364,0.7891032,2.574261,0.0024675,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,3.6453372,113.0055,10,13.405423,9.080074,13.177932,8.6429728,1107.458,92.28817
36001,2009,11,13429.46,.,3.304936,0.775395,2.529541,0.0024217,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,2.1501325,64.50397,7,10.54146,6.4100494,13.177932,8.6429728,1107.458,92.28817
36001,2009,12,13308.2,.,3.275093,0.7683934,2.5067,0.0026354,0.0031822,.,.,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,2.9241153,90.64758,8,0.46518712,-2.5881389,13.177932,8.6429728,1107.458,92.28817
36001,2009,13,177857.3,62.26,43.76997,10.26919,33.50077,0.0023582,0.0031822,89825.01,Albany,38.34375,0.6420909,2.280625,60769.82,1956.219,0.5803609,304157.1,0.061242,263.0158,.,.,.,.,.,13.177932,8.6429728,1107.458,92.28817
36001,2010,1,13392.8,.,3.296423,0.8260082,2.470415,0.0024904,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,1.6970731,52.60926,8,-1.1211097,-4.28582,13.967543,9.56938,1061.54,88.46162
36001,2010,2,12881.98,.,3.170691,0.7945025,2.376188,0.002414,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,3.9499583,110.5988,8,-0.12076307,-2.5112954,13.967543,9.56938,1061.54,88.46162
36001,2010,3,13704.57,.,3.37316,0.8452365,2.527923,0.002392,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,2.8335739,87.84079,9,9.1248935,4.5211879,13.967543,9.56938,1061.54,88.46162
36001,2010,4,13524.33,.,3.328795,0.8341199,2.494675,0.0024462,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,1.2896347,38.68904,6,16.342671,10.437127,13.967543,9.56938,1061.54,88.46162
36001,2010,5,15435.63,.,3.799231,0.9520003,2.847231,0.0026152,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,1.7754778,55.03981,11,21.372051,15.514119,13.967543,9.56938,1061.54,88.46162
36001,2010,6,16556.27,.,4.07506,1.021117,3.053943,0.0027309,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,4.0821664,122.465,15,23.963875,19.275486,13.967543,9.56938,1061.54,88.46162
36001,2010,7,18161.22,.,4.470093,1.120103,3.34999,0.0029685,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,2.7573079,85.47655,7,27.583548,22.648596,13.967543,9.56938,1061.54,88.46162
36001,2010,8,17217.48,.,4.237807,1.061897,3.175909,0.0029479,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,2.1758239,67.45054,10,25.933805,20.875429,13.967543,9.56938,1061.54,88.46162
36001,2010,9,15853.91,.,3.902186,0.9777983,2.924387,0.0028675,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,0.97005584,29.10168,4,22.489555,17.484592,13.967543,9.56938,1061.54,88.46162
36001,2010,10,13594.84,.,3.34615,0.8384686,2.507682,0.0024772,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,7.8260086,242.6063,12,14.230839,9.8652145,13.967543,9.56938,1061.54,88.46162
36001,2010,11,13358.67,.,3.288021,0.8239028,2.464118,0.0025848,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,2.5273293,75.81988,7,7.5546509,3.7075541,13.967543,9.56938,1061.54,88.46162
36001,2010,12,13238.04,.,3.258331,0.8164632,2.441868,0.0026424,0.0033339,.,.,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,3.0271564,93.84185,5,-0.63977169,-3.4613964,13.967543,9.56938,1061.54,88.46162
36001,2010,13,176919.8,67.39,43.54595,10.91162,32.63433,0.0022876,0.0033339,89838.88,Albany,38.5,0.6477689,2.27,60526.17,1956.75,0.5748628,304204,0.063295,263.4619,.,.,.,.,.,13.967543,9.56938,1061.54,88.46162
36001,2011,1,13421.8,.,3.311634,0.5009482,2.810686,0.0025591,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,1.8510232,57.38172,9,-3.0181995,-6.3428583,13.874198,9.3357777,1453.421,121.1184
36001,2011,2,12909.86,.,3.185322,0.481841,2.70348,0.0025188,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,3.1011778,86.83298,8,-1.2526917,-6.100955,13.874198,9.3357777,1453.421,121.1184
36001,2011,3,13734.24,.,3.388725,0.5126095,2.876115,0.0026197,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,3.717475,115.2417,9,4.2092943,0.07307661,13.874198,9.3357777,1453.421,121.1184
36001,2011,4,13553.61,.,3.344156,0.5058677,2.838288,0.0026465,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,4.0087018,120.2611,17,14.225617,8.9766703,13.874198,9.3357777,1453.421,121.1184
36001,2011,5,15469.04,.,3.816762,0.5773584,3.239403,0.0027289,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,3.8784675,120.2325,13,20.520986,15.847933,13.874198,9.3357777,1453.421,121.1184
36001,2011,6,16592.12,.,4.093863,0.6192754,3.474588,0.0028105,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,4.2582495,127.7475,14,24.365637,19.39811,13.874198,9.3357777,1453.421,121.1184
36001,2011,7,18200.54,.,4.490719,0.6793074,3.811412,0.0020186,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,3.096553,95.99314,10,27.844771,22.785694,13.874198,9.3357777,1453.421,121.1184
36001,2011,8,17254.76,.,4.257361,0.6440076,3.613353,0.0028441,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,8.9052942,276.0641,13,25.590386,20.712272,13.874198,9.3357777,1453.421,121.1184
36001,2011,9,15888.24,.,3.920192,0.5930042,3.327187,0.002746,0.0030062,.,.,38.2625,0.6537653,2.303125,60264.04,1957.406,0.5798053,304945.7,0.0655284,263.6414,6.560972,196.8292,13,23.078885,18.330284,13.874198,9.3357777,1453.421,121.1184
