"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54","x55","x56","x57","x58","x59","x60"
2.0458694430969935e7,2.179534597178318e7,1.294430624613321e7,1.4263151650028167e7,9.186807231964074e6,1.3553816484382957e7,1.2851071590996495e7,1.9718637400995027e7,1.776895666986053e7,1.676656690564604e7,1.7865560070409108e7,1.9857102237499494e7,1.571396170073073e7,1.2199651049565658e7,1.2713791490137246e7,2.0449341282796074e7,1.3848587377830759e7,2.779367454986445e7,1.8428199172019895e7,2.2611152469733987e7,2.041829470142781e7,1.949792402610913e7,2.8418031367401e7,2.5169288555067345e7,1.65322659094608e7,2.0900958073461358e7,2.060029158293032e7,1.3985569021885999e7,1.979306210110267e7,2.353196462639628e7,1.1708949310897062e7,1.6463902166497115e7,2.69912788084679e7,2.7688892138654552e7,2.490741371568228e7,2.2269878705127645e7,2.0774385466369368e7,2.0305622665857513e7,1.5424639368790455e7,1.711986366983996e7,2.0902096434069656e7,2.5759415454766583e7,2.7992545937175505e7,2.7462901599637553e7,1.893636062519561e7,2.706904342609485e7,2.108291062230283e7,2.5211023274126146e7,2.2794343793997254e7,2.185722726825565e7,1.845997477454473e7,1.5453439638101522e7,1.2859666249071183e7,1.4565309136908678e7,2.5143347469187193e7,1.7515688780065965e7,1.95828181765115e7,1.8710166802436356e7,1.74629606156063e7,3.147356852485458e7
1.5298522782720407e6,1.2972723570127608e6,1.310840889279061e6,1.3924759463497095e6,1.257957520707726e6,1.4703289828143865e6,1.3327854404992412e6,1.5885475953424256e6,1.3399140529198581e6,1.4080143528356012e6,1.5107242566038608e6,1.4715572964923067e6,1.6249547318685667e6,1.3640727970787736e6,1.5112329750752626e6,1.6908045684420364e6,1.4181667501195157e6,1.6659231688961005e6,1.704596356235979e6,1.5816190393903805e6,1.6065369574995434e6,1.7825687459782637e6,1.659287282799725e6,1.7779234007638593e6,1.6359069653744295e6,1.8611466389480329e6,1.7836958607289465e6,1.6089621534158762e6,1.7668239735618178e6,1.811032215880254e6,1.701450661686317e6,1.6057795964720822e6,1.9287018374582406e6,1.9965823143790204e6,1.7748725906210968e6,1.8124310535695585e6,1.9500854166845223e6,1.7946284384335768e6,1.8544679062770258e6,1.7582126018478193e6,1.9436033207588592e6,1.9920904007902525e6,2.014075387824539e6,2.007131918913725e6,1.8610580169875128e6,2.303076165251449e6,1.7655563919772313e6,2.0818503862666115e6,2.0345763884727475e6,2.18399741591439e6,1.8116176211081631e6,1.8345144568762085e6,1.772059283009965e6,1.8334404561266645e6,2.16342919321372e6,1.9538059176691477e6,1.9050980893606076e6,2.0275939809348264e6,2.1757214103444563e6,2.0904256788227e6
7.694913759777255e6,9.049259067583501e6,5.007384907478291e6,4.994564304739398e6,2.9396579020863194e6,4.79236005275816e6,4.126059319073413e6,8.170616337007871e6,6.189089325392122e6,6.986142298311152e6,7.680886164712302e6,7.839529851727114e6,4.811568876657081e6,3.425316095640483e6,4.216842352598157e6,6.91614131555752e6,4.0847573105477886e6,9.958948877239393e6,6.530076879918832e6,1.0865412758148283e7,8.403650351690043e6,7.397255688911134e6,1.1835917107590927e7,1.0773481916283611e7,6.031835457936336e6,7.78290643743604e6,8.2899862589650955e6,3.3689020863318485e6,7.565305485478395e6,9.514516079979073e6,3.494799010029689e6,5.195983342076193e6,1.0586222291825369e7,1.126229798773736e7,9.132495042115116e6,8.703684799687011e6,7.825113070769557e6,7.832478041857187e6,4.378129073368063e6,5.551248202109964e6,7.5800197277115425e6,9.273348725805094e6,9.289701202920074e6,1.0420151331066856e7,5.267519408349788e6,1.00551973581061e7,5.949798191512627e6,9.081222012350736e6,7.874977525667544e6,6.969941454018296e6,6.76418375977136e6,4.6973177148805065e6,4.345128336158986e6,4.250055596551794e6,9.674142696674902e6,6.850948028684898e6,8.012155395680896e6,5.958676508470154e6,6.474744038433248e6,1.2229570679181594e7
179357.80558613825,210507.43471459567,183602.5516568002,198941.91743498266,146909.224725988,201053.1200245224,169040.47699599282,257349.45000475144,153472.28208000446,170122.0441734464,204758.08555554427,231011.286841616,257497.9903550351,176072.82470982106,211795.20981498095,253078.6397282356,179208.08124052532,191470.35646551911,229864.98978165668,214362.23918018895,226505.1792960507,280132.2121309612,269228.6588449907,186878.37949725037,226112.820370397,225239.0650999547,175899.26565353712,171221.92893897332,271574.4465249222,227811.36606220715,181056.46679539082,178326.97524239542,257553.18411035652,231581.31025985093,226649.93079327178,213931.01323443055,249871.4532330863,234907.93765446698,185118.32587166905,159727.48520105128,242345.75605372048,244211.80101696667,246276.76997255004,253965.17065785377,241421.73442330424,198878.532276319,228061.3312649613,266671.1760946721,223730.22615784092,180038.05291925417,204956.14926083366,164945.54172650306,155734.62602386437,160470.43285940948,222189.7601797918,171824.67945388393,169150.14988507525,173522.4825538943,197281.2897946122,197675.46681961007
7.853131204030563e7,6.063280391852817e7,4.41802783335436e7,5.306042039044037e7,5.0253739926343106e7,5.779441537907348e7,5.3965366693685964e7,5.861270586381727e7,7.155061876456606e7,5.689642105318542e7,5.5254499144902825e7,6.968010101001161e7,6.113553447795409e7,5.835656701907824e7,4.725350128852783e7,6.844958209342642e7,6.3320839976268105e7,6.857943744913043e7,5.671421990991732e7,6.073029823297879e7,4.8628293322941214e7,5.507618688392173e7,8.404717472192156e7,6.131416433581957e7,5.286318064654214e7,6.773590540680234e7,5.744018097828967e7,5.790257636467326e7,5.165009441350889e7,5.747262573985812e7,3.2971275929623052e7,5.226546593897629e7,5.757435919706496e7,3.9609241549474485e7,5.441692871794374e7,4.476420610580343e7,6.124995233753182e7,5.116672141239373e7,4.4146741440715775e7,5.7805128396408126e7,4.804106651820957e7,6.322597062961238e7,6.31216651976735e7,4.617965807629954e7,4.599597144955008e7,3.670733116766454e7,5.2273691305059224e7,5.7831213444339566e7,5.259234500590094e7,4.528766578075566e7,4.215976277061626e7,3.7716665996349655e7,3.91272766189625e7,3.455099719648055e7,5.697793029697868e7,3.7176480554941244e7,3.856350886724046e7,4.650204717298702e7,3.9343493272720695e7,4.531914780867806e7
1.535706309919124e7,1.2047659568365896e7,1.2213749433332456e7,1.188330512447297e7,1.1134507884178e7,1.3180556007057426e7,1.4438257449947381e7,1.4589106308230037e7,1.4017572133041479e7,1.37081938847268e7,1.3763352006246148e7,1.3618070479017053e7,1.3257306451233856e7,1.246541311191884e7,1.3463371236591754e7,1.4109062956083128e7,1.2749531557810122e7,1.3945588202537134e7,1.4010373422726577e7,1.2519875165224565e7,1.2867086773521526e7,1.1895648059411397e7,1.3778553823272e7,1.113146110423597e7,1.1343730894896606e7,1.1958192957170384e7,1.298724663879302e7,1.3556209439921236e7,1.2351791477076165e7,1.2451398465589885e7,9.767978269644335e6,1.2365621122674847e7,1.3128593342988225e7,1.152786675888164e7,1.2218568176740393e7,1.17838861014607e7,1.3035765791742982e7,1.2321326237606619e7,1.0955859724124407e7,1.4141188219350727e7,1.2668939228306273e7,1.3819059865666239e7,1.3865926259487133e7,1.300562207908789e7,1.3183483287293263e7,1.316609547470575e7,1.4279666534998938e7,1.4129418863088176e7,1.3822448129358958e7,1.1709693392890047e7,1.1923961062458279e7,9.940704469606014e6,1.0071263107235068e7,1.2804336234797172e7,1.2700311032786284e7,1.3132252054702237e7,1.1452667520413302e7,1.2529102488925181e7,1.2574804717193399e7,1.3378815485238653e7
1.0998785943533821e7,9.036192387465635e6,8.385259045791237e6,7.992967479707155e6,7.653642177700268e6,9.079901429556353e6,1.043626590067133e7,1.0107671052109621e7,9.827542207059251e6,9.521137693920078e6,1.104332835940258e7,8.955685996602215e6,9.850337336536672e6,8.865046695498433e6,1.0439924937409725e7,9.33620533466179e6,1.0911684044056071e7,1.064545025828074e7,1.2245318558961114e7,1.0568480133275747e7,1.042561090607927e7,1.0705614661875386e7,1.1774125881562814e7,1.0797856990128484e7,1.0484177528115902e7,1.1140187344928714e7,1.0710199428515956e7,1.0483754518420149e7,1.2004674464592295e7,1.1279938974437093e7,1.0513961506907158e7,1.0643798470437445e7,1.2971167171440298e7,1.252794607735101e7,1.0838110901060358e7,1.114685436353017e7,1.1257625424794318e7,1.0245511999209546e7,1.0421981298049618e7,1.0969241648030672e7,1.1829072474832566e7,1.185817491110151e7,1.2257970668968227e7,1.1221296254153261e7,1.2727395295198744e7,1.3507190204159677e7,1.2754329555809049e7,1.2446217579670021e7,1.2555058856208267e7,1.1605789531266546e7,1.1110937551652607e7,9.854460998022774e6,1.1226217029556809e7,1.243066660726128e7,1.2472296478584707e7,1.1801227846663902e7,1.1289301819775604e7,1.1627176420293309e7,1.2191300362792857e7,1.4827117619606014e7
1.511865124720483e6,1.185913131786819e6,1.4217742539223204e6,1.1019482930756886e6,1.1642946802354017e6,1.2975328189044516e6,2.045582012053499e6,865278.9342922528,1.0542482156008424e6,944067.6240162597,1.6358661146158525e6,794934.2106665729,1.2424081577348518e6,1.3586443043165582e6,1.6465166705561748e6,1.0266468147492681e6,1.2687961984705026e6,1.131193101383676e6,1.9239204808156018e6,1.3753058564135905e6,1.3512158874595023e6,1.1070305298425893e6,1.065271335221271e6,939752.5142228617,1.0627084362291892e6,1.1489029928295943e6,1.1026000445234638e6,1.2353901617519965e6,1.5522772627425487e6,1.3105748212329147e6,1.291974231529765e6,1.3694003933345836e6,2.2161918216733155e6,1.7076280282611833e6,1.2841780010220371e6,1.2582370711259774e6,1.1085129759637285e6,1.3339303015163513e6,1.1557159196241943e6,1.4645068635975323e6,1.1286272822586992e6,1.2467879892786357e6,1.1598558279251033e6,1.342293117164403e6,1.7004623241009875e6,1.4721011491306883e6,1.5143896515206872e6,1.2703651590172371e6,1.4890485521129451e6,1.346079071159581e6,1.2586647845698465e6,737001.9501318623,1.1075680573336654e6,1.3473702344778127e6,1.279436822177756e6,1.495417065135734e6,1.5441643729249702e6,1.299698481890747e6,1.426394764616138e6,2.3875560016089487e6
2.2302484134712648e7,2.1665827840087146e7,1.9994503780266277e7,2.1921558441374384e7,1.958382756405304e7,2.0884459914480552e7,2.2005390745638452e7,2.195884370022134e7,2.429746996311876e7,2.1646297180594876e7,2.179257379091687e7,2.2483952669707548e7,2.3010096869266424e7,2.301672176680382e7,2.090152261206543e7,2.362898313238025e7,2.282026941327415e7,2.348290475823851e7,1.9437446250704337e7,1.822055522369253e7,1.719333979683611e7,1.8875859397059035e7,2.197324153908649e7,1.7103555926683694e7,1.698960829436317e7,1.7783660342391264e7,1.8932172157800913e7,1.9726859614041697e7,1.9532982970719736e7,2.060326672792307e7,1.8080699052168615e7,2.092887559698694e7,2.0028915951324124e7,1.8405074143906765e7,2.093661088700701e7,1.940073424405589e7,2.1606291640822116e7,2.020942963710943e7,2.0821211200517032e7,2.214564938703513e7,2.2662588209140677e7,2.3851166580900744e7,2.388373736822768e7,2.175847776444906e7,2.466983418737496e7,1.866880036266113e7,2.4694847224096607e7,2.4258900734018374e7,2.3481202999685053e7,1.937876954878102e7,1.9598573518269453e7,1.741887111055838e7,1.8516425801392943e7,2.133985275137571e7,2.3441576197002094e7,2.2155183931612954e7,2.160703836758754e7,2.332353421898263e7,2.2759551544127505e7,2.2400251044720374e7
-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195,-228.195
