"year","sw","gw","swcost","gwcost","revenue","opcost","barley","corn","sorghum","soybean","wheat","hay","precip"
1951,6.330657653941545e6,1.392076651930871e6,1.7980350804030255e6,2.7834244283106126e7,2.373655958140711e9,1.0040852909968117e9,6.426407778600892e6,2.6718098955761713e8,6.250665666721562e6,57719.40800474189,7.871833809801847e7,3.637060534529188e6,33407.81834090759
1952,6.3693674237170685e6,1.416657035423546e6,1.7516976265040892e6,2.83466905382054e7,2.2561417795891857e9,1.0040852909968117e9,6.488014566831114e6,2.406851976903558e8,6.239902090212026e6,49494.34714804584,8.742173341244453e7,3.417833138554005e6,28190.785371799153
1953,6.365916424718492e6,1.4052528569256894e6,1.807921450243019e6,2.7891488887926776e7,2.0765064741660213e9,1.0040852909968117e9,6.075530259901789e6,2.220205519758837e8,6.255389979300857e6,58679.324788274316,7.037736328961608e7,3.5393199718086286e6,28287.09050697645
1954,6.369494668899194e6,1.4452157969252844e6,1.8332317115965553e6,2.8716593891275242e7,2.2264945257213826e9,1.0040852909968117e9,6.227743789240063e6,2.50794534142195e8,6.2286045719744e6,41432.20034747722,7.24553732815206e7,3.435849913630462e6,23647.721634735524
1955,6.449990606927251e6,1.3338863433122158e6,1.8795427288536336e6,2.6584613832119815e7,1.9792390094868667e9,1.0040852909968117e9,6.35297817590691e6,2.1414762563620502e8,6.260792127446618e6,60320.20995533759,6.313664881865908e7,3.406529467679289e6,27061.089439409607
1956,6.341509734483022e6,1.4545091547149923e6,1.8142143857795384e6,2.877291420749016e7,2.0897803299871593e9,1.0040852909968117e9,6.294849847905159e6,2.264211019839291e8,6.246298776474368e6,57053.14206702974,7.061407200197916e7,3.443706358229321e6,24002.716507716774
1957,6.994062628155549e6,707933.4475654049,2.3101174855601564e6,1.3787126040595314e7,2.3057363187339454e9,1.0040852909968117e9,6.798800795350229e6,2.620910006387237e8,6.272278388163464e6,65004.1095065845,6.507393589402293e7,3.9078411578550283e6,43814.640618112164
1958,7.5600249611613415e6,162107.27159858734,2.32837917511413e6,966298.3566414114,2.1458115411200023e9,1.0040852909968117e9,6.544881060422e6,2.2135190958737335e8,6.269971755400674e6,68048.8887223854,8.22734064428362e7,3.573566132179771e6,28543.674190772857
1959,7.318891155274148e6,439658.4842837533,2.4942234126643226e6,6.978268825471947e6,2.3642504296367903e9,1.0040852909968117e9,6.908402151209369e6,2.7170669171941036e8,6.272301299280137e6,64126.87700672819,7.418269737712625e7,3.558104750414682e6,31429.863071659864
1960,7.549642320106983e6,213051.79007569142,2.3642310892583188e6,2.0436548693316276e6,2.0335677798794188e9,1.0040852909968117e9,6.676972963674961e6,2.0777139203556433e8,6.263499054914737e6,61742.56078176427,7.527402129937607e7,3.5566235601160503e6,27892.336903852927
1961,7.515203393581901e6,215671.89433203405,2.2138628371660877e6,2.1518684079613998e6,2.14600840144969e9,1.0040852909968117e9,7.483349760453757e6,2.184527342061619e8,6.265801225897352e6,69902.5097699499,8.107996055030462e7,3.7242954113530093e6,34534.09604008478
1962,7.60600371080219e6,140729.25869794944,2.3771889449603297e6,484890.91779901995,2.156446357051075e9,1.0040852909968117e9,6.156573453048675e6,2.2531842968194166e8,6.252658676662881e6,60568.321447977156,8.319373552428968e7,3.4631947053681985e6,25969.43964676504
1963,7.524386868101352e6,242994.29077985653,2.4532465709655127e6,2.6584749451760473e6,2.2264545814793334e9,1.0040852909968117e9,6.1012986061449945e6,2.4935171023219326e8,6.253795889433784e6,65660.40601089888,7.25342271935616e7,3.492702096666126e6,26681.45588275079
1964,7.175935822329128e6,631498.6953219012,2.431005883960165e6,1.1044417641487338e7,2.252120649458461e9,1.0040852909968117e9,6.551165888315128e6,2.6340243762569368e8,6.250506508648951e6,61075.58901504413,6.19518304532258e7,3.570135517948129e6,27832.702099466213
1965,7.487881972023973e6,198407.2122051852,2.196916625693642e6,1.8167082195032483e6,2.0121211917427187e9,1.0040852909968117e9,6.961468695432033e6,2.0839555654078376e8,6.286573521239225e6,73726.0008389868,6.487320626162596e7,3.815812604060086e6,40222.681660485774
1966,7.615997738104374e6,155326.74670739795,2.5710437532265265e6,800679.1134416297,2.216784917802106e9,1.0040852909968117e9,6.781014900790897e6,2.3741421141695952e8,6.2627994426914025e6,63297.929490082286,8.194210708974849e7,3.4748434104989683e6,25328.87103236733
