"collection","colid","area","lat","lon","elev","MAXCAP","fips","height","normcap"
"reservoir",1,"NA",48.8733,-122.688,"NA",6907488,53073,2.1336,5600
"reservoir",2,"145.03944000000001",48.7583,-122.422,"NA",94977960,53073,4.2672,25000
"reservoir",3,"556.84784999999999",48.6583,-121.687,"NA",218552920.3,53073,13.4112,159104
"reservoir",4,"556.84784999999999",48.6483,-121.69,"NA",389903028,53073,89.916,298000
"reservoir",5,"2587.4000099999998",48.7317,-121.067,"NA",2014766232,53073,125.8824,1434800
"reservoir",6,"2913.73875",48.7133,-121.13,"NA",112986768,53073,101.1936,89200
"reservoir",7,"3001.7984099999999",48.6983,-121.207,"NA",13296914.4,53073,47.244,8485
"reservoir",8,"769.22703000000001",48.5483,-121.74,"NA",199170015.6,53057,84.7344,132300
"reservoir",9,"NA",48.9317,-119.418,"NA",49339200,53047,4.572,17000
"reservoir",10,"797.71691999999996",48.095,-123.555,"NA",9991188,53009,30.48,7600
"reservoir",11,"NA",48.8116,-119.533,"NA",17305724.4,53047,3.9624,13400
"reservoir",12,"634.54755",48.0017,-123.598,"NA",48229068,53009,60.96,38650
"reservoir",13,"NA",48.9866,-117.347,"NA",150484560,53051,96.012,96200
"reservoir",14,"NA",48.5583,-119.745,"NA",21314534.4,53047,12.192,15700
"reservoir",15,"NA",48.4683,-120.25,"NA",7049338.2,53047,8.8392,5000
"reservoir",16,"313.38878999999997",48.5416,-119.747,"NA",20475768,53047,19.2024,13000
"reservoir",17,"132.60748799999999",48.84,-117.288,"NA",38495677.32,53051,8.8392,29704
"reservoir",18,"NA",48.78,-117.41,"NA",123348000,53051,30.48,1e+05
"reservoir",19,"NA",48.3616,-119.697,"NA",8325990,53047,16.1544,5900
"reservoir",20,"176.11931999999999",47.975,-121.687,"NA",59207040,53061,47.244,35600
"reservoir",21,"NA",47.945,-121.83,"NA",16281936,53061,12.8016,13200
"reservoir",22,"NA",47.665,-122.397,"NA",564933840,53033,7.62,458000
"reservoir",23,"106.18959",47.385,-123.605,"NA",93744480,53027,53.34,70000
"reservoir",24,"33.669870000000003",48.2217,-118.893,"NA",7894272,53047,3.048,5250
"reservoir",25,"243.45905999999999",47.4216,-123.222,"NA",589603440,53045,71.628,453300
