FIPS,county,ST,year,population
8001,Adams,CO,2010,441603
8003,Alamosa,CO,2010,15445
8005,Arapahoe,CO,2010,572003
8007,Archuleta,CO,2010,12084
8009,Baca,CO,2010,3788
8011,Bent,CO,2010,6499
8013,Boulder,CO,2010,294567
8014,Broomfield,CO,2010,55889
8015,Chaffee,CO,2010,17809
8017,Cheyenne,CO,2010,1836
8019,Clear Creek,CO,2010,9088
8021,Conejos,CO,2010,8256
8023,Costilla,CO,2010,3524
8025,Crowley,CO,2010,5823
8027,Custer,CO,2010,4255
8029,Delta,CO,2010,30952
8031,Denver,CO,2010,600158
8033,Dolores,CO,2010,2064
8035,Douglas,CO,2010,285465
8037,Eagle,CO,2010,52197
8039,Elbert,CO,2010,23086
8041,El Paso,CO,2010,622263
8043,Fremont,CO,2010,46824
8045,Garfield,CO,2010,56389
8047,Gilpin,CO,2010,5441
8049,Grand,CO,2010,14843
8051,Gunnison,CO,2010,15324
8053,Hinsdale,CO,2010,843
8055,Huerfano,CO,2010,6711
8057,Jackson,CO,2010,1394
8059,Jefferson,CO,2010,534543
8061,Kiowa,CO,2010,1398
8063,Kit Carson,CO,2010,8270
8065,Lake,CO,2010,7310
8067,La Plata,CO,2010,51334
8069,Larimer,CO,2010,299630
8071,Las Animas,CO,2010,15507
8073,Lincoln,CO,2010,5467
8075,Logan,CO,2010,22709
8077,Mesa,CO,2010,146723
8079,Mineral,CO,2010,712
8081,Moffat,CO,2010,13795
8083,Montezuma,CO,2010,25535
8085,Montrose,CO,2010,41276
8087,Morgan,CO,2010,28159
8089,Otero,CO,2010,18831
8091,Ouray,CO,2010,4436
8093,Park,CO,2010,16206
8095,Phillips,CO,2010,4442
8097,Pitkin,CO,2010,17148
8099,Prowers,CO,2010,12551
8101,Pueblo,CO,2010,159063
8103,Rio Blanco,CO,2010,6666
8105,Rio Grande,CO,2010,11982
8107,Routt,CO,2010,23509
8109,Saguache,CO,2010,6108
8111,San Juan,CO,2010,699
8113,San Miguel,CO,2010,7359
8115,Sedgwick,CO,2010,2379
8117,Summit,CO,2010,27994
8119,Teller,CO,2010,23350
8121,Washington,CO,2010,4814
8123,Weld,CO,2010,252825
8125,Yuma,CO,2010,10043
