FIPS,county,ST,year,population
1001,Autauga,AL,1990,34200
1001,Autauga,AL,1991,35072
1001,Autauga,AL,1992,36103
1001,Autauga,AL,1993,37013
1001,Autauga,AL,1994,38317
1001,Autauga,AL,1995,39381
1001,Autauga,AL,1996,40061
1001,Autauga,AL,1997,41306
1001,Autauga,AL,1998,42095
1001,Autauga,AL,1999,43140
1001,Autauga,AL,2000,43671
1001,Autauga,AL,2001,44876
1001,Autauga,AL,2002,45604
1001,Autauga,AL,2003,46491
1001,Autauga,AL,2004,47468
1001,Autauga,AL,2005,48612
1001,Autauga,AL,2006,49730
1001,Autauga,AL,2007,49960
1001,Autauga,AL,2008,50364
1001,Autauga,AL,2009,50756
1001,Autauga,AL,2010,54571
1001,Autauga,AL,2011,55267
1001,Autauga,AL,2012,55514
1001,Autauga,AL,2013,55246
1003,Baldwin,AL,1990,98300
1003,Baldwin,AL,1991,102246
1003,Baldwin,AL,1992,106349
1003,Baldwin,AL,1993,110815
1003,Baldwin,AL,1994,115685
1003,Baldwin,AL,1995,120198
1003,Baldwin,AL,1996,123023
1003,Baldwin,AL,1997,128842
1003,Baldwin,AL,1998,132828
1003,Baldwin,AL,1999,135820
1003,Baldwin,AL,2000,140415
1003,Baldwin,AL,2001,145799
1003,Baldwin,AL,2002,147932
1003,Baldwin,AL,2003,151831
1003,Baldwin,AL,2004,156701
1003,Baldwin,AL,2005,162586
1003,Baldwin,AL,2006,169162
1003,Baldwin,AL,2007,171769
1003,Baldwin,AL,2008,174439
1003,Baldwin,AL,2009,179878
1003,Baldwin,AL,2010,182265
1003,Baldwin,AL,2011,186717
1003,Baldwin,AL,2012,190790
1003,Baldwin,AL,2013,195540
1005,Barbour,AL,1990,25400
1005,Barbour,AL,1991,25296
1005,Barbour,AL,1992,25258
1005,Barbour,AL,1993,25582
1005,Barbour,AL,1994,25544
1005,Barbour,AL,1995,26469
1005,Barbour,AL,1996,26475
1005,Barbour,AL,1997,26782
1005,Barbour,AL,1998,26895
1005,Barbour,AL,1999,26726
1005,Barbour,AL,2000,29038
1005,Barbour,AL,2001,28947
1005,Barbour,AL,2002,28826
1005,Barbour,AL,2003,28816
1005,Barbour,AL,2004,28557
1005,Barbour,AL,2005,28414
1005,Barbour,AL,2006,28171
1005,Barbour,AL,2007,27941
1005,Barbour,AL,2008,29309
1005,Barbour,AL,2009,29737
1005,Barbour,AL,2010,27457
1005,Barbour,AL,2011,27119
1005,Barbour,AL,2012,27201
1005,Barbour,AL,2013,27076
1007,Bibb,AL,1990,16600
1007,Bibb,AL,1991,16947
1007,Bibb,AL,1992,17175
1007,Bibb,AL,1993,17459
1007,Bibb,AL,1994,17603
1007,Bibb,AL,1995,17942
1007,Bibb,AL,1996,18142
1007,Bibb,AL,1997,18588
1007,Bibb,AL,1998,18926
1007,Bibb,AL,1999,19601
1007,Bibb,AL,2000,20826
1007,Bibb,AL,2001,21108
1007,Bibb,AL,2002,21838
1007,Bibb,AL,2003,21206
1007,Bibb,AL,2004,21317
1007,Bibb,AL,2005,21516
1007,Bibb,AL,2006,21482
1007,Bibb,AL,2007,21535
1007,Bibb,AL,2008,21629
1007,Bibb,AL,2009,21587
1007,Bibb,AL,2010,22915
1007,Bibb,AL,2011,22766
1007,Bibb,AL,2012,22597
1007,Bibb,AL,2013,22512
1009,Blount,AL,1990,39200
1009,Blount,AL,1991,39908
1009,Blount,AL,1992,40306
1009,Blount,AL,1993,41037
1009,Blount,AL,1994,41437
1009,Blount,AL,1995,42721
1009,Blount,AL,1996,43392
1009,Blount,AL,1997,45081
1009,Blount,AL,1998,46266
1009,Blount,AL,1999,47411
1009,Blount,AL,2000,51024
1009,Blount,AL,2001,52239
1009,Blount,AL,2002,52968
1009,Blount,AL,2003,54136
1009,Blount,AL,2004,54988
1009,Blount,AL,2005,55725
1009,Blount,AL,2006,56436
1009,Blount,AL,2007,56614
1009,Blount,AL,2008,57441
1009,Blount,AL,2009,58345
1009,Blount,AL,2010,57322
1009,Blount,AL,2011,57677
1009,Blount,AL,2012,57826
1009,Blount,AL,2013,57872
1011,Bullock,AL,1990,11000
1011,Bullock,AL,1991,11114
1011,Bullock,AL,1992,10990
1011,Bullock,AL,1993,11079
1011,Bullock,AL,1994,11222
1011,Bullock,AL,1995,11149
1011,Bullock,AL,1996,11188
1011,Bullock,AL,1997,11270
1011,Bullock,AL,1998,11311
1011,Bullock,AL,1999,11343
1011,Bullock,AL,2000,11714
1011,Bullock,AL,2001,11502
1011,Bullock,AL,2002,11367
1011,Bullock,AL,2003,11339
1011,Bullock,AL,2004,11229
1011,Bullock,AL,2005,11055
1011,Bullock,AL,2006,10906
1011,Bullock,AL,2007,10781
1011,Bullock,AL,2008,10796
1011,Bullock,AL,2009,10985
1011,Bullock,AL,2010,10914
1011,Bullock,AL,2011,10542
1011,Bullock,AL,2012,10474
1011,Bullock,AL,2013,10639
1013,Butler,AL,1990,21900
1013,Butler,AL,1991,21736
1013,Butler,AL,1992,21707
1013,Butler,AL,1993,21833
1013,Butler,AL,1994,21931
1013,Butler,AL,1995,21798
1013,Butler,AL,1996,21530
1013,Butler,AL,1997,21692
1013,Butler,AL,1998,21695
1013,Butler,AL,1999,21522
1013,Butler,AL,2000,21399
1013,Butler,AL,2001,21147
1013,Butler,AL,2002,20911
1013,Butler,AL,2003,20693
1013,Butler,AL,2004,20764
1013,Butler,AL,2005,20766
1013,Butler,AL,2006,20520
1013,Butler,AL,2007,20157
1013,Butler,AL,2008,20090
1013,Butler,AL,2009,19964
1013,Butler,AL,2010,20947
1013,Butler,AL,2011,20650
1013,Butler,AL,2012,20307
1013,Butler,AL,2013,20265
1015,Calhoun,AL,1990,116000
1015,Calhoun,AL,1991,115595
1015,Calhoun,AL,1992,116406
1015,Calhoun,AL,1993,116969
1015,Calhoun,AL,1994,116875
1015,Calhoun,AL,1995,117263
1015,Calhoun,AL,1996,113511
1015,Calhoun,AL,1997,117092
1015,Calhoun,AL,1998,117018
1015,Calhoun,AL,1999,116541
1015,Calhoun,AL,2000,112249
1015,Calhoun,AL,2001,111338
1015,Calhoun,AL,2002,111616
1015,Calhoun,AL,2003,112012
1015,Calhoun,AL,2004,112425
1015,Calhoun,AL,2005,112141
1015,Calhoun,AL,2006,112903
1015,Calhoun,AL,2007,113103
1015,Calhoun,AL,2008,113419
1015,Calhoun,AL,2009,114081
1015,Calhoun,AL,2010,118572
1015,Calhoun,AL,2011,117797
1015,Calhoun,AL,2012,117296
1015,Calhoun,AL,2013,116736
1017,Chambers,AL,1990,36900
1017,Chambers,AL,1991,36826
1017,Chambers,AL,1992,36855
1017,Chambers,AL,1993,37084
1017,Chambers,AL,1994,37238
1017,Chambers,AL,1995,37262
1017,Chambers,AL,1996,36748
1017,Chambers,AL,1997,36825
1017,Chambers,AL,1998,36713
1017,Chambers,AL,1999,36369
1017,Chambers,AL,2000,36583
1017,Chambers,AL,2001,36457
1017,Chambers,AL,2002,36251
1017,Chambers,AL,2003,35751
1017,Chambers,AL,2004,35567
1017,Chambers,AL,2005,35460
1017,Chambers,AL,2006,35176
1017,Chambers,AL,2007,34764
1017,Chambers,AL,2008,34424
1017,Chambers,AL,2009,34320
1017,Chambers,AL,2010,34215
1017,Chambers,AL,2011,33939
1017,Chambers,AL,2012,34064
1017,Chambers,AL,2013,34162
1019,Cherokee,AL,1990,19500
1019,Cherokee,AL,1991,19706
1019,Cherokee,AL,1992,19860
1019,Cherokee,AL,1993,20163
1019,Cherokee,AL,1994,20475
1019,Cherokee,AL,1995,21038
1019,Cherokee,AL,1996,21170
1019,Cherokee,AL,1997,21590
1019,Cherokee,AL,1998,21833
1019,Cherokee,AL,1999,21894
1019,Cherokee,AL,2000,23988
1019,Cherokee,AL,2001,24147
1019,Cherokee,AL,2002,24315
1019,Cherokee,AL,2003,24429
1019,Cherokee,AL,2004,24525
1019,Cherokee,AL,2005,24522
1019,Cherokee,AL,2006,24863
1019,Cherokee,AL,2007,24560
1019,Cherokee,AL,2008,24545
1019,Cherokee,AL,2009,24448
1019,Cherokee,AL,2010,25989
1019,Cherokee,AL,2011,26057
1019,Cherokee,AL,2012,26021
1019,Cherokee,AL,2013,26203
1021,Chilton,AL,1990,32500
1021,Chilton,AL,1991,33043
1021,Chilton,AL,1992,33220
1021,Chilton,AL,1993,33679
1021,Chilton,AL,1994,34197
1021,Chilton,AL,1995,34912
1021,Chilton,AL,1996,35323
1021,Chilton,AL,1997,36349
1021,Chilton,AL,1998,36918
1021,Chilton,AL,1999,37604
1021,Chilton,AL,2000,39593
1021,Chilton,AL,2001,39995
1021,Chilton,AL,2002,40516
1021,Chilton,AL,2003,40878
1021,Chilton,AL,2004,41466
1021,Chilton,AL,2005,41744
1021,Chilton,AL,2006,41953
1021,Chilton,AL,2007,42299
1021,Chilton,AL,2008,42444
1021,Chilton,AL,2009,42971
1021,Chilton,AL,2010,43643
1021,Chilton,AL,2011,43895
1021,Chilton,AL,2012,43819
1021,Chilton,AL,2013,43951
1023,Choctaw,AL,1990,16000
1023,Choctaw,AL,1991,16000
1023,Choctaw,AL,1992,16135
1023,Choctaw,AL,1993,16121
1023,Choctaw,AL,1994,16082
1023,Choctaw,AL,1995,16079
1023,Choctaw,AL,1996,15714
1023,Choctaw,AL,1997,15894
1023,Choctaw,AL,1998,15917
1023,Choctaw,AL,1999,15518
1023,Choctaw,AL,2000,15922
1023,Choctaw,AL,2001,15720
1023,Choctaw,AL,2002,15418
1023,Choctaw,AL,2003,15284
1023,Choctaw,AL,2004,15238
1023,Choctaw,AL,2005,14807
1023,Choctaw,AL,2006,14656
1023,Choctaw,AL,2007,14173
1023,Choctaw,AL,2008,14055
1023,Choctaw,AL,2009,13990
1023,Choctaw,AL,2010,13859
1023,Choctaw,AL,2011,13609
1023,Choctaw,AL,2012,13633
1023,Choctaw,AL,2013,13426
1025,Clarke,AL,1990,27200
1025,Clarke,AL,1991,27514
1025,Clarke,AL,1992,27728
1025,Clarke,AL,1993,27875
1025,Clarke,AL,1994,28131
1025,Clarke,AL,1995,27993
1025,Clarke,AL,1996,27982
1025,Clarke,AL,1997,28489
1025,Clarke,AL,1998,28499
1025,Clarke,AL,1999,28756
1025,Clarke,AL,2000,27867
1025,Clarke,AL,2001,27776
1025,Clarke,AL,2002,27557
1025,Clarke,AL,2003,27487
1025,Clarke,AL,2004,27422
1025,Clarke,AL,2005,27269
1025,Clarke,AL,2006,27248
1025,Clarke,AL,2007,26496
1025,Clarke,AL,2008,26304
1025,Clarke,AL,2009,26042
1025,Clarke,AL,2010,25833
1025,Clarke,AL,2011,25695
1025,Clarke,AL,2012,25161
1025,Clarke,AL,2013,25207
1027,Clay,AL,1990,13300
1027,Clay,AL,1991,13269
1027,Clay,AL,1992,13334
1027,Clay,AL,1993,13456
1027,Clay,AL,1994,13489
1027,Clay,AL,1995,13551
1027,Clay,AL,1996,13544
1027,Clay,AL,1997,13832
1027,Clay,AL,1998,13970
1027,Clay,AL,1999,14012
1027,Clay,AL,2000,14254
1027,Clay,AL,2001,14286
1027,Clay,AL,2002,14163
1027,Clay,AL,2003,14182
1027,Clay,AL,2004,14092
1027,Clay,AL,2005,13964
1027,Clay,AL,2006,13829
1027,Clay,AL,2007,13788
1027,Clay,AL,2008,13809
1027,Clay,AL,2009,13640
1027,Clay,AL,2010,13932
1027,Clay,AL,2011,13862
1027,Clay,AL,2012,13435
1027,Clay,AL,2013,13486
1029,Cleburne,AL,1990,12700
1029,Cleburne,AL,1991,12749
1029,Cleburne,AL,1992,12984
1029,Cleburne,AL,1993,13192
1029,Cleburne,AL,1994,13238
1029,Cleburne,AL,1995,13272
1029,Cleburne,AL,1996,13445
1029,Cleburne,AL,1997,14092
1029,Cleburne,AL,1998,14308
1029,Cleburne,AL,1999,14456
1029,Cleburne,AL,2000,14123
1029,Cleburne,AL,2001,14298
1029,Cleburne,AL,2002,14578
1029,Cleburne,AL,2003,14675
1029,Cleburne,AL,2004,14458
1029,Cleburne,AL,2005,14460
1029,Cleburne,AL,2006,14700
1029,Cleburne,AL,2007,14700
1029,Cleburne,AL,2008,14799
1029,Cleburne,AL,2009,14759
1029,Cleburne,AL,2010,14972
1029,Cleburne,AL,2011,14835
1029,Cleburne,AL,2012,14832
1029,Cleburne,AL,2013,14994
1031,Coffee,AL,1990,40200
1031,Coffee,AL,1991,40401
1031,Coffee,AL,1992,41169
1031,Coffee,AL,1993,41410
1031,Coffee,AL,1994,42005
1031,Coffee,AL,1995,42359
1031,Coffee,AL,1996,41910
1031,Coffee,AL,1997,41980
1031,Coffee,AL,1998,42436
1031,Coffee,AL,1999,42128
1031,Coffee,AL,2000,43615
1031,Coffee,AL,2001,43349
1031,Coffee,AL,2002,43878
1031,Coffee,AL,2003,44625
1031,Coffee,AL,2004,45041
1031,Coffee,AL,2005,45567
1031,Coffee,AL,2006,46027
1031,Coffee,AL,2007,46793
1031,Coffee,AL,2008,47753
1031,Coffee,AL,2009,48635
1031,Coffee,AL,2010,49948
1031,Coffee,AL,2011,50526
1031,Coffee,AL,2012,51252
1031,Coffee,AL,2013,50938
1033,Colbert,AL,1990,51700
1033,Colbert,AL,1991,52316
1033,Colbert,AL,1992,52429
1033,Colbert,AL,1993,52633
1033,Colbert,AL,1994,52535
1033,Colbert,AL,1995,52586
1033,Colbert,AL,1996,52490
1033,Colbert,AL,1997,53047
1033,Colbert,AL,1998,52946
1033,Colbert,AL,1999,52552
1033,Colbert,AL,2000,54984
1033,Colbert,AL,2001,55106
1033,Colbert,AL,2002,54850
1033,Colbert,AL,2003,54531
1033,Colbert,AL,2004,54824
1033,Colbert,AL,2005,54660
1033,Colbert,AL,2006,54766
1033,Colbert,AL,2007,54588
1033,Colbert,AL,2008,54663
1033,Colbert,AL,2009,54639
1033,Colbert,AL,2010,54428
1033,Colbert,AL,2011,54512
1033,Colbert,AL,2012,54446
1033,Colbert,AL,2013,54520
1035,Conecuh,AL,1990,14100
1035,Conecuh,AL,1991,14229
1035,Conecuh,AL,1992,14109
1035,Conecuh,AL,1993,14095
1035,Conecuh,AL,1994,14102
1035,Conecuh,AL,1995,14022
1035,Conecuh,AL,1996,14112
1035,Conecuh,AL,1997,14083
1035,Conecuh,AL,1998,13976
1035,Conecuh,AL,1999,13728
1035,Conecuh,AL,2000,14089
1035,Conecuh,AL,2001,13839
1035,Conecuh,AL,2002,13687
1035,Conecuh,AL,2003,13588
1035,Conecuh,AL,2004,13453
1035,Conecuh,AL,2005,13257
1035,Conecuh,AL,2006,13403
1035,Conecuh,AL,2007,13160
1035,Conecuh,AL,2008,13066
1035,Conecuh,AL,2009,12931
1035,Conecuh,AL,2010,13228
1035,Conecuh,AL,2011,13105
1035,Conecuh,AL,2012,12981
1035,Conecuh,AL,2013,12887
1037,Coosa,AL,1990,11100
1037,Coosa,AL,1991,11140
1037,Coosa,AL,1992,11085
1037,Coosa,AL,1993,11286
1037,Coosa,AL,1994,11510
1037,Coosa,AL,1995,11680
1037,Coosa,AL,1996,11444
1037,Coosa,AL,1997,11554
1037,Coosa,AL,1998,11658
1037,Coosa,AL,1999,11712
1037,Coosa,AL,2000,12202
1037,Coosa,AL,2001,12143
1037,Coosa,AL,2002,11871
1037,Coosa,AL,2003,11500
1037,Coosa,AL,2004,11368
1037,Coosa,AL,2005,11162
1037,Coosa,AL,2006,11044
1037,Coosa,AL,2007,10864
1037,Coosa,AL,2008,10814
1037,Coosa,AL,2009,10556
1037,Coosa,AL,2010,11539
1037,Coosa,AL,2011,10713
1037,Coosa,AL,2012,10966
1037,Coosa,AL,2013,10898
1039,Covington,AL,1990,36500
1039,Covington,AL,1991,36537
1039,Covington,AL,1992,36783
1039,Covington,AL,1993,37104
1039,Covington,AL,1994,36997
1039,Covington,AL,1995,37459
1039,Covington,AL,1996,37263
1039,Covington,AL,1997,37362
1039,Covington,AL,1998,37402
1039,Covington,AL,1999,37587
1039,Covington,AL,2000,37631
1039,Covington,AL,2001,37107
1039,Covington,AL,2002,36956
1039,Covington,AL,2003,36940
1039,Covington,AL,2004,36875
1039,Covington,AL,2005,37003
1039,Covington,AL,2006,37234
1039,Covington,AL,2007,37007
1039,Covington,AL,2008,36856
1039,Covington,AL,2009,36678
1039,Covington,AL,2010,37765
1039,Covington,AL,2011,38058
1039,Covington,AL,2012,37955
1039,Covington,AL,2013,37886
1041,Crenshaw,AL,1990,13600
1041,Crenshaw,AL,1991,13541
1041,Crenshaw,AL,1992,13460
1041,Crenshaw,AL,1993,13598
1041,Crenshaw,AL,1994,13550
