"collection","colid","area","lat","lon","elev","MAXCAP"
"usgs","01021200",115.772553,44.901489,-67.247619,17,23429952.6
"usgs","01030000",8681.64648,45.566333,-68.403664,60,42885632.64
"usgs","01033500",823.61682,45.282578,-69.003439,102,31557352.32
"usgs","01034500",13511.97783,45.236175,-68.651383,43,11915416.8
"usgs","01038000",24.7603044,44.222778,-69.593758,37,14308368
"usgs","01041000",3278.92734,45.58485,-69.716964,314,881913530.4
"usgs","01042500",NA,45.339708,-69.962058,179,255774412.8
"usgs","01042500",NA,45.339708,-69.962058,179,0
"usgs","01043500",1346.7948,45.230458,-70.199836,320,367206996
"usgs","01045000",NA,45.349056,-69.990189,179,367206996
"usgs","01045000",NA,45.349056,-69.990189,179,0
"usgs","01053500",2706.53955,44.782558,-71.128686,376,129515400
"usgs","01064000",1129.23564,43.817528,-70.449936,72,307999956
"usgs","01065000",854.6967,43.795075,-71.059234,123,58220256
"usgs","01065500",854.6967,43.807708,-70.797578,89,58220256
"usgs","01066500",406.62843,43.689436,-70.670556,84,7357708.2
"usgs","01072500",287.48889,43.328108,-70.927139,58,18502200
"usgs","01077000",150.21942,43.705351,-71.629799,174,54273120
"usgs","01081000",1113.6957,43.441744,-71.587575,138,41050214.4
"usgs","01127500",19.165926,41.558709,-72.121467,39,10484580
"usgs","01128500",214.96917,45.087268,-71.292299,479,140616720
"usgs","01150500",422.16837,43.64896,-72.182033,227,22572684
"usgs","01153000",409.21842,43.333407,-72.514813,144,62290740
"usgs","01166500",NA,42.597586,-72.438142,118,20969160
"usgs","01166500",NA,42.597586,-72.438142,118,0
"usgs","01166500",NA,42.597586,-72.438142,118,0
"usgs","01175500",481.73814,42.26787,-72.332582,123,1560352200
"usgs","01185500",42.734835,42.079259,-73.072884,231,30343608
"usgs","01186000",334.2382095,41.962873,-73.017606,157,14555064
"usgs","01186000",334.2382095,41.962873,-73.017606,157,21807926.4
"usgs","01186500",18.2594295,41.967317,-73.033996,157,14555064
"usgs","01199050",NA,41.942316,-73.390953,214,11462729.64
"usgs","01205500",3991.17459,41.383985,-73.167612,20,55069948.08
"usgs","01206900",248.898039,41.673708,-73.069553,117,51806160
