"coef","mean","serr","state"
"intercept",2.456493973207081,5.922748840279886,"AL"
"time",0.0029705603152055515,1.5374814182245758e-6,"AL"
"wreq",0.4328094993357826,0.004093779698429028,"AL"
"gdds",-0.0033260475171349837,3.5716183403165332e-9,"AL"
"kdds",0.0005188295375685527,1.2268508541356502e-9,"AL"
"intercept",-6.696619271568704,2.3834013547277872,"AZ"
"time",0.0077587845508131125,6.453115344371983e-7,"AZ"
"wreq",-0.23635149116465912,0.007413732228670287,"AZ"
"gdds",-0.001739492644944048,7.750366394043017e-9,"AZ"
"kdds",-8.410963025197262e-5,2.5683616785565947e-9,"AZ"
"intercept",-0.45602264999071773,4.897572295112194,"AR"
"time",0.004080828323888998,1.2615203910937906e-6,"AR"
"wreq",0.21998082044148312,0.0035909655857121565,"AR"
"gdds",-0.0029283332595656385,3.1577985362735e-9,"AR"
"kdds",0.0004153946852209965,1.0785224334057402e-9,"AR"
"intercept",-15.756888333369591,0.12569744521590298,"CA"
"time",0.010474319129384731,4.948409000071228e-8,"CA"
"wreq",-0.5337008156672118,0.0028029577864642765,"CA"
"gdds",-0.00029917991395877526,1.3929167742277644e-9,"CA"
"kdds",-0.00034428890611883247,9.55174097650608e-10,"CA"
"intercept",-39.932831239032964,0.07695846234397903,"CO"
"time",0.02130010060471916,3.162039310244529e-8,"CO"
"wreq",-0.47088236464158867,0.0017890045409462284,"CO"
"gdds",0.00022823103962463858,2.0830674070478637e-9,"CO"
"kdds",-0.0009627823661009571,1.1577421240437964e-9,"CO"
"intercept",-7.560400217126649,50.74232182448669,"CT"
"time",0.006817224886127221,1.2901664320099631e-5,"CT"
"wreq",-0.04851190632056101,0.03349084036989322,"CT"
"gdds",-0.0015764156680165803,2.9499342631420126e-8,"CT"
"kdds",0.00010861151781651895,1.0161349088056226e-8,"CT"
"intercept",-19.65948023419252,3.2455897804744196,"DE"
"time",0.013529686291567384,7.551410980484126e-7,"DE"
"wreq",-0.08935082000547948,0.04294782212666695,"DE"
"gdds",-0.002065459999048126,8.808273735683026e-9,"DE"
"kdds",0.0003299323636193929,9.94719126773729e-9,"DE"
"intercept",-4.20624422899,419.75769398338457,"DC"
"time",0.0055742139366,9.7893186633251e-5,"DC"
"wreq",-0.12804154055,0.2764637698592973,"DC"
"gdds",-0.002176618497,2.236888477216999e-7,"DC"
"kdds",0.0002842559847205,8.136262264731805e-8,"DC"
"intercept",3.326730908542834,6.116356918062218,"FL"
"time",0.0023036191306873,1.553411548463353e-6,"FL"
"wreq",0.07241664744915545,0.004156659540835103,"FL"
"gdds",-0.003462015174461744,3.5552328147548544e-9,"FL"
"kdds",0.0007888472275691083,1.2748675007811772e-9,"FL"
"intercept",-0.1986112105322213,1.6172688234943795,"GA"
"time",0.00415423412033708,4.076405775271804e-7,"GA"
"wreq",0.19894585691667394,0.0016763253521340554,"GA"
"gdds",-0.0032040017600969187,1.4292483108098025e-9,"GA"
"kdds",0.000538111528242045,5.026561969899669e-10,"GA"
"intercept",-26.834966597361532,0.04665847546975957,"ID"
"time",0.01597439062140474,1.1480694349913857e-8,"ID"
"wreq",-0.5570008377851696,0.001260988397248196,"ID"
"gdds",0.00032484478702525635,1.4341838276219478e-9,"ID"
"kdds",-0.0006841735274807153,1.0437855828214474e-9,"ID"
"intercept",-3.950435661369051,3.3213339548246954,"IL"
"time",0.0050670768606163865,8.465410584975401e-7,"IL"
"wreq",-0.18763701266619023,0.0019522314841252644,"IL"
"gdds",-0.0015348529658024562,1.7922841008803681e-9,"IL"
"kdds",-8.132642526877858e-5,7.199139289970067e-10,"IL"
"intercept",-4.160584611961976,3.7510056685204156,"IN"
"time",0.005115171931416173,9.670699895994936e-7,"IN"
"wreq",-0.0724298986489294,0.002469892298128764,"IN"
"gdds",-0.0016144596783894127,2.148700583468603e-9,"IN"
"kdds",-5.59868613947417e-5,8.071836055120122e-10,"IN"
"intercept",-15.099512262279081,3.191886279093266,"IA"
"time",0.01016356756315848,8.185979855268093e-7,"IA"
"wreq",-0.13006032757358355,0.0027162635280110923,"IA"
"gdds",-0.0005546673841852972,2.387162047508569e-9,"IA"
"kdds",-0.0007083607489806696,8.198118652741964e-10,"IA"
"intercept",-4.072774937536511,2.1915818394030904,"KS"
"time",0.00471240603185036,5.683557778266813e-7,"KS"
"wreq",-0.3343206671172659,0.002164165541757498,"KS"
"gdds",-0.001136335206412255,1.4118643213760143e-9,"KS"
"kdds",-0.000460204751722518,7.012165699457583e-10,"KS"
"intercept",-5.456862392246928,2.226468078378341,"KY"
"time",0.006768198412331118,5.528220803189283e-7,"KY"
"wreq",0.17557714519759016,0.002207125352376514,"KY"
"gdds",-0.0023673307002741663,1.6566247672628734e-9,"KY"
"kdds",0.0001933692259735682,6.480424854088204e-10,"KY"
"intercept",4.993836947048882,6.2941388290414295,"LA"
"time",0.0017283391395168394,1.6003052937853448e-6,"LA"
"wreq",0.2913018775197633,0.004287688278030559,"LA"
"gdds",-0.003732042893965436,3.729683731887704e-9,"LA"
"kdds",0.0008781556362545945,1.2815322369945468e-9,"LA"
"intercept",-13.055719085271162,24.868473226466982,"ME"
"time",0.00909484051667007,6.544608826093441e-6,"ME"
"wreq",-0.07159313405738425,0.016811154149367288,"ME"
"gdds",-0.000696297607476471,1.4768893929234883e-8,"ME"
"kdds",-0.00035669697654273566,4.997986182652569e-9,"ME"
"intercept",-21.683363236315287,0.1199759196779751,"MD"
"time",0.014704794866776028,5.001244942205902e-8,"MD"
"wreq",0.08229777469620203,0.006305782707989716,"MD"
"gdds",-0.0020527849686207715,4.630642621992356e-9,"MD"
"kdds",0.0003886061475868297,1.6664703501338898e-9,"MD"
"intercept",-8.976996280954106,29.286447546274577,"MA"
"time",0.0073914573763325265,7.428483113281692e-6,"MA"
"wreq",-0.22375228420459908,0.01951322974227338,"MA"
"gdds",-0.001312296848036279,1.663991798250108e-8,"MA"
"kdds",0.00011409701654618573,5.758722195268106e-9,"MA"
"intercept",-17.383729656862524,0.09575682603952539,"MI"
"time",0.011511393085673016,2.929745182697055e-8,"MI"
"wreq",-0.5938318391210425,0.0015891214842955008,"MI"
"gdds",-0.00039312006061198413,1.2939955756018272e-9,"MI"
"kdds",-0.0004887746929696514,7.259572909907154e-10,"MI"
"intercept",-22.97339574711306,0.09680524808090955,"MN"
"time",0.013802245877609375,2.7212788850659786e-8,"MN"
"wreq",0.2869676536756287,0.0009391604055419777,"MN"
"gdds",0.0002784233725525125,1.3246660887741387e-9,"MN"
"kdds",-0.0011644589089856833,6.553126984904005e-10,"MN"
"intercept",3.037684316606393,4.882597164692948,"MS"
"time",0.002733287644287302,1.2661837002265203e-6,"MS"
"wreq",0.414094790467227,0.003355377875867898,"MS"
"gdds",-0.0034036457365085836,2.9076740208807148e-9,"MS"
"kdds",0.0005920357528612403,9.923287728790492e-10,"MS"
"intercept",-3.791741797648111,1.5868757000783706,"MO"
"time",0.005099674492765866,4.063698456437268e-7,"MO"
"wreq",0.005003260512683807,0.0022668323090861554,"MO"
"gdds",-0.0018225893538775407,1.990122925932076e-9,"MO"
"kdds",-7.516461225756099e-5,6.992237619226348e-10,"MO"
"intercept",-22.925804045512322,0.062086456999997895,"MT"
"time",0.013414679537867367,1.6292906082743825e-8,"MT"
"wreq",-0.9757352645825657,0.0013550821285895135,"MT"
"gdds",0.0006848405602763488,1.4708295516756335e-9,"MT"
"kdds",-0.0010823298399826715,1.0859111911262018e-9,"MT"
"intercept",-17.579897040894124,0.5551289295978695,"NE"
"time",0.011039227114951543,1.480824955778822e-7,"NE"
"wreq",-0.2916662630368406,0.001263654957961147,"NE"
"gdds",-0.00014751487844214643,1.4586616052884648e-9,"NE"
"kdds",-0.0008203973332052477,7.638519148886273e-10,"NE"
"intercept",-20.277705162905477,14.869824456012122,"NV"
"time",0.012641267473358996,3.7298784504668545e-6,"NV"
"wreq",-0.7634165001117164,0.01265734092199923,"NV"
"gdds",-0.0003759352566707021,8.5871359757513e-9,"NV"
"kdds",-0.0006022800770221585,4.648628687896049e-9,"NV"
"intercept",-11.466526112178075,40.20418566099092,"NH"
"time",0.00855681173353896,1.025420802396128e-5,"NH"
"wreq",0.025924014841600958,0.026550564432161215,"NH"
"gdds",-0.0009232436847202455,2.3249466307436926e-8,"NH"
"kdds",-0.0003488743329602783,7.978206791714408e-9,"NH"
"intercept",-10.158327753990235,1.5340488115452593,"NJ"
"time",0.008577011781871018,3.7694425116810486e-7,"NJ"
"wreq",-0.04333428669325246,0.00984298851632994,"NJ"
"gdds",-0.0019401472347287058,6.346348973713522e-9,"NJ"
"kdds",0.00021521946567642537,2.437128398415451e-9,"NJ"
"intercept",-16.202136365567053,6.554256740465388,"NM"
"time",0.01069699699517331,1.6656806043200808e-6,"NM"
"wreq",-0.4347567524610478,0.005717583864491581,"NM"
