"coef","mean","serr","state"
"intercept",-41.02907298330235,0.0961137332033634,"AL"
"time",0.023347997938654403,2.1406682072881735e-8,"AL"
"wreq",-0.15825010639447945,0.0008721907853050826,"AL"
"gdds",0.00026341327633311405,1.8621614783136375e-9,"AL"
"kdds",-0.006554740403531544,2.171421938497945e-8,"AL"
"intercept",-35.97482689684221,0.2629029381585733,"AZ"
"time",0.019739009968466108,4.2236349633744766e-7,"AZ"
"wreq",-0.5715082356821668,0.00611327981135857,"AZ"
"gdds",0.00037692238187451917,3.29699717099066e-8,"AZ"
"kdds",0.0016304981852942142,3.352693639744207e-7,"AZ"
"intercept",-50.29557387446345,0.33440796790128907,"AR"
"time",0.026627540758581078,9.004047621735482e-8,"AR"
"wreq",0.10070007371689649,0.001010502606489265,"AR"
"gdds",0.000776470615161506,4.074839544955258e-9,"AR"
"kdds",-0.004558161022155863,4.2033531133713035e-8,"AR"
"intercept",-25.513982773746175,0.33980501508754785,"CA"
"time",0.01568473675406388,1.1124320805132578e-7,"CA"
"wreq",-0.6533282925250576,0.0013233215209552899,"CA"
"gdds",0.00021470346538069216,5.814738148104795e-9,"CA"
"kdds",-0.0014172897692027234,7.352107542926645e-8,"CA"
"intercept",-22.57807265426903,0.37114016875030015,"CO"
"time",0.014266639528892785,1.0438616464596906e-7,"CO"
"wreq",-0.4360247566903154,0.001456056432298537,"CO"
"gdds",0.0001174465035509592,1.839304481563723e-9,"CO"
"kdds",-0.0030098009711907437,1.727989353387998e-7,"CO"
"intercept",-22.399744286917063,17.44099110642628,"CT"
"time",0.0156297054472774,1.8379321592315533e-5,"CT"
"wreq",-0.4598028302348576,0.011218663700763926,"CT"
"gdds",-0.0009421165376287103,2.2068017166438033e-5,"CT"
"kdds",-0.009477816107180933,2.6398399039905994e-5,"CT"
"intercept",-27.88393444766228,3.796240734348648,"DE"
"time",0.016276212377328743,1.0732155542257549e-6,"DE"
"wreq",-0.5584087937318023,0.019347109804913446,"DE"
