"coef","mean","serr","state"
"intercept",-18.22333611600598,0.20315556128923484,"AL"
"time",0.012381541060653234,5.3715072006135e-8,"AL"
"wreq",0.11030531532566103,0.00023602683241491382,"AL"
"gdds",-0.0013278042135476372,3.3976298130103357e-10,"AL"
"kdds",0.0012884601383742892,3.541135615017039e-9,"AL"
"intercept",-21.25650049605822,2.486979220931887,"AZ"
"time",0.013866119942759308,6.110195533053348e-7,"AZ"
"wreq",-0.32954973529953696,0.0011039288357395415,"AZ"
"gdds",-0.0008933365427804827,1.6434133915429996e-9,"AZ"
"kdds",-0.0007648091351160389,1.3275820755212741e-8,"AZ"
"intercept",-21.886512280209562,0.1579062898816725,"AR"
"time",0.01398887578186977,3.9246175347142754e-8,"AR"
"wreq",0.10135549166709568,0.00020118648520914674,"AR"
"gdds",-0.0011221312654232107,3.0939811917607195e-10,"AR"
"kdds",0.001501594214391799,3.049457931684712e-9,"AR"
"intercept",-29.919218459999644,0.12905645525084514,"CA"
"time",0.017999884626946815,3.4720254173352755e-8,"CA"
"wreq",-0.28673683085181506,0.0003554457974828261,"CA"
"gdds",-0.00035419361709197815,4.0381660605884374e-10,"CA"
"kdds",-0.0009329693527775997,5.2670124904467074e-9,"CA"
"intercept",-25.808548971752547,0.0666497463546598,"CO"
"time",0.01629743709476039,1.496290296171412e-8,"CO"
"wreq",-0.2373691580942936,0.0002793370932572568,"CO"
"gdds",-0.0004573637527458842,4.3815492193668854e-10,"CO"
"kdds",-0.002086960374435666,4.771996860682053e-9,"CO"
"intercept",-23.814668527875135,13.661671476420885,"CT"
"time",0.014503304230888123,3.494495684920154e-6,"CT"
"wreq",0.31446971071985536,0.0022569140019731227,"CT"
"gdds",-0.0006444923199793754,4.2805772665756155e-9,"CT"
"kdds",0.0012606604271924754,3.710623930393567e-8,"CT"
"intercept",-34.25301740767528,0.8684063415641692,"DE"
"time",0.019797464171241837,2.0373088927883547e-7,"DE"
"wreq",0.3194865885988754,0.005429385358247024,"DE"
"gdds",-0.0007133971908912463,1.2056357890371289e-8,"DE"
"kdds",0.0010179567335231179,6.100968331988365e-8,"DE"
"intercept",-22.24683791,108.05963488219795,"DC"
"time",0.013983570107,2.947749328499766e-5,"DC"
"wreq",0.261152957865,0.01558266620535404,"DC"
"gdds",-0.000784190343,3.520970319596925e-8,"DC"
"kdds",0.00116233719359,3.21974218900439e-7,"DC"
