"ST","ERS","ABBR"
"AL","Southern Seaboard","ss"
"AZ","Fruitful Rim","fr"
"AR","Eastern Uplands","eu"
"CA","Fruitful Rim","fr"
"CO","Basin and Range","br"
"CT","Northern Crescent","nc"
"DE","Southern Seaboard","ss"
"DC","Southern Seaboard","ss"
"FL","Fruitful Rim","fr"
"GA","Southern Seaboard","ss"
"ID","Fruitful Rim","fr"
"IL","Heartland","hl"
"IN","Heartland","hl"
"IA","Heartland","hl"
"KS","Prairie Gateway","pg"
"KY","Eastern Uplands","eu"
"LA","Mississippi Portal","mp"
"ME","Northern Crescent","nc"
"MD","Southern Seaboard","ss"
"MA","Northern Crescent","nc"
"MI","Northern Crescent","nc"
"MN","Heartland","hl"
"MS","Mississippi Portal","mp"
"MO","Heartland","hl"
"MT","Basin and Range","br"
"NE","Prairie Gateway","pg"
"NV","Basin and Range","br"
"NH","Northern Crescent","nc"
"NJ","Northern Crescent","nc"
"NM","Prairie Gateway","pg"
"NY","Northern Crescent","nc"
"NC","Southern Seaboard","ss"
"ND","Northern Great Plains","np"
"OH","Heartland","hl"
"OK","Prairie Gateway","pg"
"OR","Fruitful Rim","fr"
"PA","Northern Crescent","nc"
"RI","Northern Crescent","nc"
"SC","Southern Seaboard","ss"
"SD","Northern Great Plains","np"
"TN","Eastern Uplands","eu"
"TX","Prairie Gateway","pg"
"UT","Basin and Range","br"
"VT","Northern Crescent","nc"
"VA","Southern Seaboard","ss"
"WA","Fruitful Rim","fr"
"WV","Eastern Uplands","eu"
"WI","Northern Crescent","nc"
"WY","Basin and Range","br"
