"state","barley","corn","sorghum","soybeans","wheat","hay"
"AL",12.0,178318.0,3074.0,204373.0,124367.0,307687.0
"AR",0.0,575921.0,119930.0,2.929143e6,369267.0,536677.0
"AZ",40693.0,4652.0,7449.0,0.0,30618.0,279316.0
"CA",45331.0,174144.0,9109.0,0.0,268614.0,1.34256e6
"CO",26832.0,909445.0,52218.0,4938.0,1.205279e6,975628.0
"CT",0.0,863.0,0.0,0.0,0.0,15965.0
"DC",0.0,0.0,0.0,0.0,0.0,0.0
"DE",0.0,0.0,0.0,0.0,0.0,0.0
"FL",0.0,30263.0,772.0,10449.0,12872.0,146680.0
"GA",0.0,262211.0,19466.0,159618.0,173113.0,263329.0
"IA",1128.0,8.765775e6,188.0,5.443107e6,8189.0,640637.0
"ID",543807.0,126203.0,0.0,0.0,878663.0,1.044979e6
"IL",420.0,9.401099e6,18612.0,5.272693e6,388125.0,266142.0
"IN",153.0,3.858398e6,4243.0,3.425665e6,186398.0,202420.0
"KS",3098.0,3.665131e6,1.849123e6,3.110845e6,8.130169e6,1.202213e6
"KY",3226.0,923296.0,1585.0,872454.0,236954.0,665743.0
"LA",0.0,487231.0,67082.0,841261.0,199796.0,209060.0
"MA",64.0,235.0,0.0,0.0,0.0,30130.0
"MD",29006.0,289410.0,11080.0,341214.0,143341.0,14220.0
"ME",121.0,1099.0,0.0,0.0,0.0,30172.0
"MI",8004.0,2.134478e6,304.0,1.30593e6,253494.0,376830.0
"MN",73737.0,6.547135e6,121.0,4.689868e6,684987.0,671963.0
"MO",740.0,2.385463e6,41884.0,3.762561e6,450134.0,994521.0
"WY",37487.0,42561.0,0.0,0.0,102869.0,659448.0
"MS",0.0,734588.0,38825.0,1.779342e6,291745.0,257513.0
"MT",589522.0,44310.0,0.0,0.0,4.048206e6,1.644082e6
"NC",11933.0,648204.0,33753.0,1.299877e6,534012.0,329096.0
"ND",635177.0,2.814106e6,0.0,3.202375e6,3.99626e6,1.036952e6
"NE",168.0,8.529456e6,31472.0,4.672602e6,804124.0,2.154568e6
"NH",6.0,18.0,0.0,0.0,0.0,10.0
"NJ",1100.0,58559.0,723.0,60940.0,19211.0,70634.0
"NM",0.0,10980.0,4265.0,0.0,15417.0,222317.0
"NV",1381.0,1784.0,0.0,0.0,11445.0,284289.0
"NY",5714.0,366053.0,0.0,82852.0,15545.0,483157.0
"OH",2540.0,2.158837e6,3.0,3.065568e6,439344.0,558732.0
"OK",2018.0,219732.0,128837.0,182948.0,3.370236e6,1.106516e6
"OR",48616.0,50789.0,0.0,0.0,586358.0,816539.0
"PA",29850.0,753456.0,1361.0,270226.0,80894.0,684641.0
"RI",0.0,0.0,0.0,0.0,0.0,0.0
"SC",319.0,280949.0,6163.0,253672.0,97913.0,128109.0
"SD",17464.0,3.969968e6,132485.0,3.450397e6,1.054716e6,1.35844e6
"TN",1532.0,793929.0,3634.0,947741.0,160892.0,786788.0
"TX",4812.0,1.21403e6,1.648085e6,74303.0,2.307796e6,2.55318e6
"UT",6924.0,21520.0,0.0,0.0,15577.0,510980.0
"VA",22238.0,217519.0,1756.0,378396.0,127719.0,419592.0
"VT",0.0,6855.0,0.0,804.0,0.0,29540.0
"WA",155264.0,84239.0,0.0,0.0,819116.0,558333.0
"WI",17208.0,2.275141e6,224.0,1.146904e6,115353.0,731683.0
"WV",813.0,18341.0,427.0,9141.0,3285.0,465535.0
