"coef","mean","serr","state"
"intercept",2.3017765441458913,6.402408858164883e-25,"AZ"
"gdds",0.0037941931822131876,1.277290989782053e-29,"AZ"
"kdds",-0.002743355051899125,3.333655114406635e-30,"AZ"
"wreq",-0.8732342174667328,1.9787452556141292e-25,"AZ"
"intercept",4.325443747591419,0.0002019961252423751,"CA"
"gdds",-9.241067101208032e-5,1.1251321262961588e-8,"CA"
"kdds",-0.00015923889287174125,5.2503280092448586e-9,"CA"
"wreq",-0.2075016229309709,0.006007691425212991,"CA"
"intercept",-2.06859014768318,3.0881487983618603e-24,"CO"
"gdds",0.0007317040887059356,1.7676267430854034e-30,"CO"
"kdds",-0.04501598426319225,8.181930597297793e-29,"CO"
"wreq",7.721324702293401,4.33734972020113e-24,"CO"
"intercept",4.4781955941848,0.0007507452814561003,"DE"
"gdds",-0.0007001304129613149,5.59020965031718e-7,"DE"
"kdds",0.00013708920396911941,3.1846633551154154e-8,"DE"
"wreq",-0.06731972881077249,0.08266696570961436,"DE"
"intercept",4.8416589831182835,7.560385907931159e-24,"GA"
"gdds",-0.00166906453260127,7.889855404609948e-28,"GA"
"kdds",-0.00010487650769425837,4.2509097928819185e-30,"GA"
"wreq",-0.294837933675774,3.8552424246997735e-23,"GA"
"intercept",4.771414285230073,0.0021377747832494734,"ID"
"gdds",0.0006560408447510926,7.754940156831085e-9,"ID"
"kdds",-0.0009280831609292674,8.307807770807358e-9,"ID"
"wreq",-0.28890409235853826,0.004278815594155669,"ID"
"intercept",2.3915864708518098,1.68413464043556e-26,"IL"
"gdds",-0.004290264078439029,1.1105453380391325e-31,"IL"
"kdds",0.0045165376023009515,5.0708855494926e-32,"IL"
"wreq",-1.2067304017862952,1.4372186444390573e-26,"IL"
"intercept",3.020925014646291,3.962132042911537e-26,"IN"
"gdds",0.0052300972169887945,2.159702736816446e-31,"IN"
"kdds",-0.0002650990506481547,3.4995193997103654e-32,"IN"
"wreq",0.8278528751863061,8.726848524199488e-27,"IN"
"intercept",4.12164710416267,0.0009418521569150305,"KS"
"gdds",-0.0018571558751662295,2.298766732044699e-8,"KS"
"kdds",0.0005505479154394655,1.7284630303878873e-8,"KS"
"wreq",-1.0487727857857685,0.00872385128269277,"KS"
"intercept",2.8377209680998203,3.5722326806280744e-24,"KY"
"gdds",0.001192009829721091,7.863785327705917e-30,"KY"
"kdds",-0.00020033016156162606,3.370131523223112e-31,"KY"
"wreq",0.3035702402305351,9.5040618049681e-24,"KY"
"intercept",4.446932817160308,0.0001464841699855966,"MD"
"gdds",-0.0018051504495863637,7.678073698036731e-8,"MD"
"kdds",0.00036168138652694113,5.043601574926943e-9,"MD"
"wreq",0.3876146222750516,0.013372697606144908,"MD"
"intercept",4.361871748523653,0.0013912779494248836,"MI"
"gdds",0.0005459206266182523,2.2568398367543023e-8,"MI"
"kdds",-0.0010598563417831446,7.036035209152566e-9,"MI"
"wreq",-0.38759516869082594,0.00485746406903348,"MI"
"intercept",4.560124124161126,0.00014143672619994585,"MN"
"gdds",0.0012884552128198939,7.413180609869042e-9,"MN"
"kdds",-0.00012240745951463015,5.143142391696338e-10,"MN"
"wreq",-0.8325333269547956,0.0005618450769177256,"MN"
"intercept",1.5533340546256957,5.289370239687356e-26,"MO"
"gdds",-1.4406497715345736e-5,1.326004273895426e-31,"MO"
"kdds",0.003574550125739549,9.489389526533259e-33,"MO"
"wreq",4.09809324571152,3.3904883841896043e-26,"MO"
