"coef","mean","serr","state"
"intercept",8.48532363931116,0.0011077691370868694,"AR"
"gdds",0.0001937969882950898,2.1288176230523637e-9,"AR"
"kdds",-0.0020514598135468972,1.3846288632936909e-8,"AR"
"wreq",0.395623287674816,0.0012573915524872626,"AR"
"intercept",-31.067313195040335,2.5778633468570813e-18,"CA"
"gdds",-0.042924512720933276,1.3138835090853695e-24,"CA"
"kdds",-0.049290276838966765,3.591683819644403e-24,"CA"
"wreq",25.574390444671145,7.965704110356201e-19,"CA"
"intercept",8.511963905126036,0.0008111494835786897,"LA"
"gdds",0.00015465516034345102,7.275799751542162e-9,"LA"
"kdds",-0.0017577527592832964,4.035663021533715e-8,"LA"
"wreq",0.22922898566890484,0.0011598993107265927,"LA"
"intercept",8.756073238378633,0.0020232117771998496,"MS"
"gdds",-3.610721306016061e-5,7.213007339558925e-9,"MS"
"kdds",-0.0011792094627852696,3.650045342369296e-8,"MS"
"wreq",0.162275216897281,0.0024079185913406776,"MS"
"intercept",8.663316317041154,0.0076238428127103,"MO"
"gdds",0.0002405851549934679,1.0727671421993491e-8,"MO"
"kdds",-0.0012111205305612063,1.790093856444325e-7,"MO"
"wreq",0.1518719899451884,0.008913954445994085,"MO"
"intercept",8.545931705121749,0.001326547429576499,"TX"
"gdds",0.0007475700394679939,1.3332414138565734e-8,"TX"
"kdds",-0.0018501240449125076,6.04964603889921e-8,"TX"
"wreq",0.2778087569780778,0.0017193029305725186,"TX"
