"coef","mean","serr","state"
"gddoffset",2515.917088897989,0.0,"AL"
"kddoffset",0.5085876476257363,0.0,"AL"
"intercept",1.4201984345492162,0.0004946002188820595,"AL"
"gdds",-7.590607977011879e-5,9.375373292889236e-10,"AL"
"kdds",-0.000711108197605081,3.87326801469304e-5,"AL"
"wreq",-0.7916453869221806,0.0008714796490663578,"AL"
"gddoffset",526.1718372708646,0.0,"AZ"
"kddoffset",0.00013032748752607646,0.0,"AZ"
"intercept",1.7676218229874967,0.020497273840695378,"AZ"
"gdds",0.0004251871685542108,2.743929127686831e-8,"AZ"
"kdds",-4.49116914882176,35.46974135938629,"AZ"
"wreq",0.023232778372514314,0.01893186860571134,"AZ"
"gddoffset",1544.5173161189878,0.0,"CO"
"kddoffset",2.8773754096437263,0.0,"CO"
"intercept",1.095089720484601,0.0019327393235685651,"CO"
"gdds",-0.0002203651887606296,1.1146039801837416e-9,"CO"
"kdds",-0.003705254826504043,2.6725049332727487e-6,"CO"
"wreq",-0.5658700511741087,0.0026066635089865764,"CO"
"gddoffset",1261.8650635360732,0.0,"ID"
"kddoffset",0.2907813427409538,0.0,"ID"
"intercept",1.4757089590397758,0.0010973230122759828,"ID"
"gdds",-0.00012767154755373317,6.870484140261449e-10,"ID"
"kdds",-0.01740901339222306,1.0325989816739197e-5,"ID"
"wreq",-0.10392729827727207,0.001219040685506043,"ID"
"gddoffset",3379.8843693524423,0.0,"IL"
"kddoffset",17.5565272097667,0.0,"IL"
"intercept",1.3840498502983294,0.0002481924736232567,"IL"
"gdds",-4.8538106700248126e-5,3.2970912071367577e-10,"IL"
"kdds",-0.0007400805555709788,4.042911838265315e-8,"IL"
"wreq",-0.4071871566730073,0.0005649639552365045,"IL"
"gddoffset",2851.8726205734347,0.0,"IN"
"kddoffset",4.80686925288243,0.0,"IN"
"intercept",1.5273943673386199,0.00019515977486926668,"IN"
"gdds",-8.339537797892414e-5,2.527966023557798e-10,"IN"
"kdds",-0.0010643957970391108,2.576707324664825e-7,"IN"
"wreq",-0.4364453004140824,0.0005317092146356223,"IN"
"gddoffset",2355.076291011313,0.0,"KS"
"kddoffset",4.432935862606771,0.0,"KS"
"intercept",1.0476400603186737,0.00018255036854831528,"KS"
"gdds",-0.0001983265140098434,3.0284997153525416e-10,"KS"
"kdds",-0.0013901165217819185,6.955636691636214e-7,"KS"
"wreq",-0.6627357277910098,0.0003169563890781556,"KS"
"gddoffset",1813.4387380831165,0.0,"KY"
"kddoffset",0.0924237099670108,0.0,"KY"
"intercept",1.1775254778162316,0.00024371763563343945,"KY"
"gdds",0.00010914587977002846,2.671674804335289e-10,"KY"
"kdds",-0.04630018323606412,0.0001975840771321212,"KY"
"wreq",-0.6443578863115248,0.0004699214959773948,"KY"
"gddoffset",1138.4615909890406,0.0,"MD"
"kddoffset",0.2838063113848885,0.0,"MD"
"intercept",1.3683156890192547,0.001125262211354576,"MD"
"gdds",0.000294207930080077,3.100560261755657e-9,"MD"
"kdds",-0.05541218959044297,0.0001497953930907983,"MD"
"wreq",-0.5888194805609611,0.002540595593513829,"MD"
"gddoffset",1635.4520994382729,0.0,"MN"
"kddoffset",0.97732774418434,0.0,"MN"
"intercept",0.9911242675373355,0.0002914515783766051,"MN"
"gdds",-9.570762026304063e-5,5.769864711967818e-10,"MN"
"kdds",-0.005951545557452101,8.366297257134642e-6,"MN"
"wreq",-0.44211653239528076,0.0009986670653510798,"MN"
"gddoffset",2309.160833730438,0.0,"MO"
"kddoffset",1.9846221307681884,0.0,"MO"
"intercept",1.0368402739776652,8.937381534938714e-5,"MO"
"gdds",2.4236438749213972e-5,1.8031459354519097e-10,"MO"
"kdds",-0.003312645731992983,6.612620267408885e-7,"MO"
"wreq",-0.5077763882902998,0.00019240703382020834,"MO"
"gddoffset",1520.8437027843554,0.0,"MT"
"kddoffset",1.2200527990859609,0.0,"MT"
"intercept",0.8506069001555804,0.001080866117528544,"MT"
"gdds",6.1026779494264405e-5,1.019918023087829e-9,"MT"
"kdds",-0.0172680414783561,5.525449976601645e-6,"MT"
"wreq",-0.5408661437235286,0.0020600007347247435,"MT"
"gddoffset",1831.895732723485,0.0,"NE"
"kddoffset",1.5835829531071821,0.0,"NE"
"intercept",0.7144547601224976,0.00018244053293341424,"NE"
"gdds",-0.00015943390839822614,2.501600456076572e-10,"NE"
"kdds",-0.025054861544457414,2.052835532907143e-6,"NE"
"wreq",-0.31978452424961623,0.0003294602007423915,"NE"
"gddoffset",1957.7154728092637,0.0,"NV"
"kddoffset",2.6680464001841724,0.0,"NV"
"intercept",0.9498898478473125,0.03697565773513114,"NV"
"gdds",-0.00013626998496046514,5.6829497327295235e-9,"NV"
"kdds",0.000717906882733496,1.966345325075401e-5,"NV"
"wreq",0.019542349179363486,0.028319128487627264,"NV"
"gddoffset",1797.237831411428,0.0,"NJ"
"kddoffset",0.831634579420856,0.0,"NJ"
"intercept",-1.1605205546191562,6.070639425628656e-25,"NJ"
"gdds",0.0013799854968271734,1.929525093684612e-31,"NJ"
"kdds",-0.40564538543193984,1.2370558294397223e-26,"NJ"
"wreq",0.7954689149962073,9.115523290950298e-26,"NJ"
"gddoffset",1315.6905682259367,0.0,"NM"
"kddoffset",0.1638874761618956,0.0,"NM"
"intercept",1.4008514235592877,0.009713774786171086,"NM"
"gdds",-5.328488877231245e-5,5.289831116082812e-9,"NM"
"kdds",-0.012911569896497496,0.0003364300488993741,"NM"
