"year","population","ST"
1990,4040500,"AL"
1991,4090017,"AL"
1992,4137511,"AL"
1993,4180648,"AL"
1994,4218792,"AL"
1995,4252982,"AL"
1996,4273084,"AL"
1997,4319154,"AL"
1998,4351999,"AL"
1999,4369862,"AL"
2000,4447100,"AL"
2001,4464356,"AL"
2002,4486508,"AL"
2003,4500752,"AL"
2004,4530182,"AL"
2005,4557808,"AL"
2006,4599030,"AL"
2007,4627851,"AL"
2008,4661900,"AL"
2009,4708708,"AL"
2010,4779736,"AL"
2011,4802740,"AL"
2012,4822023,"AL"
2013,4833722,"AL"
1990,3665300,"AZ"
1991,3745673,"AZ"
1992,3832368,"AZ"
1993,3944939,"AZ"
1994,4075052,"AZ"
1995,4217940,"AZ"
1996,4428068,"AZ"
1997,4554966,"AZ"
1998,4668631,"AZ"
1999,4778332,"AZ"
2000,5130632,"AZ"
2001,5307331,"AZ"
2002,5456453,"AZ"
2003,5580811,"AZ"
2004,5743834,"AZ"
2005,5939292,"AZ"
2006,6166318,"AZ"
2007,6338755,"AZ"
2008,6500180,"AZ"
2009,6595778,"AZ"
2010,6392017,"AZ"
2011,6482505,"AZ"
2012,6553255,"AZ"
2013,6626624,"AZ"
1990,2350900,"AR"
1991,2370753,"AR"
1992,2394253,"AR"
1993,2425889,"AR"
1994,2452671,"AR"
1995,2483769,"AR"
1996,2509793,"AR"
1997,2522819,"AR"
1998,2538303,"AR"
1999,2551373,"AR"
2000,2673400,"AR"
2001,2692090,"AR"
2002,2710079,"AR"
2003,2725714,"AR"
2004,2752629,"AR"
2005,2779154,"AR"
2006,2810872,"AR"
2007,2834797,"AR"
2008,2855390,"AR"
2009,2889450,"AR"
2010,2915918,"AR"
2011,2937979,"AR"
2012,2949131,"AR"
2013,2959373,"AR"
1990,29760000,"CA"
1991,30407270,"CA"
1992,30895356,"CA"
1993,31216945,"CA"
1994,31430697,"CA"
1995,31589153,"CA"
1996,31878234,"CA"
1997,32268301,"CA"
1998,32666550,"CA"
1999,33145121,"CA"
2000,33871648,"CA"
2001,34501130,"CA"
2002,35116033,"CA"
2003,35484453,"CA"
2004,35893799,"CA"
2005,36132147,"CA"
2006,36457549,"CA"
2007,36553215,"CA"
2008,36756666,"CA"
2009,36961664,"CA"
2010,37253956,"CA"
2011,37691912,"CA"
2012,38041430,"CA"
2013,38332521,"CA"
1990,3294500,"CO"
1991,3369722,"CO"
1992,3464675,"CO"
1993,3563557,"CO"
1994,3655647,"CO"
1995,3746585,"CO"
1996,3822676,"CO"
1997,3892644,"CO"
1998,3970971,"CO"
1999,4056133,"CO"
2000,4301261,"CO"
2001,4417714,"CO"
2002,4465719,"CO"
2003,4508519,"CO"
2004,4558502,"CO"
2005,4621699,"CO"
2006,4708261,"CO"
2007,4807824,"CO"
2008,4884598,"CO"
2009,4968758,"CO"
2010,4973307,"CO"
2011,5059444,"CO"
2012,5129284,"CO"
2013,5208896,"CO"
1990,3287100,"CT"
1991,3290431,"CT"
1992,3279116,"CT"
1993,3277983,"CT"
1994,3275251,"CT"
1995,3274662,"CT"
1996,3274238,"CT"
1997,3269858,"CT"
1998,3274069,"CT"
1999,3282031,"CT"
2000,3405565,"CT"
2001,3425074,"CT"
2002,3460503,"CT"
2003,3483372,"CT"
2004,3503604,"CT"
2005,3510297,"CT"
2006,3504809,"CT"
2007,3502309,"CT"
2008,3501252,"CT"
2009,3518288,"CT"
2010,3574097,"CT"
2011,3580709,"CT"
2012,3590347,"CT"
2013,3596080,"CT"
1990,666100,"DE"
1991,680796,"DE"
1992,690884,"DE"
1993,698479,"DE"
1994,706351,"DE"
1995,717197,"DE"
1996,724842,"DE"
1997,731581,"DE"
1998,743603,"DE"
1999,753538,"DE"
2000,783600,"DE"
2001,796165,"DE"
2002,807385,"DE"
2003,817491,"DE"
2004,830364,"DE"
2005,843524,"DE"
2006,853476,"DE"
2007,864764,"DE"
2008,873092,"DE"
2009,885122,"DE"
2010,897934,"DE"
2011,907135,"DE"
2012,917092,"DE"
2013,925749,"DE"
1990,606900,"DC"
1991,594232,"DC"
1992,585221,"DC"
1993,579080,"DC"
1994,570175,"DC"
1995,554256,"DC"
1996,543213,"DC"
1997,528964,"DC"
1998,523124,"DC"
1999,519000,"DC"
2000,572059,"DC"
2001,571822,"DC"
2002,570898,"DC"
2003,563384,"DC"
2004,553523,"DC"
2005,550521,"DC"
2006,581530,"DC"
2007,588292,"DC"
2008,591833,"DC"
2009,599657,"DC"
2010,601723,"DC"
2011,617996,"DC"
2012,632323,"DC"
2013,646449,"DC"
1990,12938200,"FL"
1991,13273120,"FL"
1992,13482716,"FL"
1993,13725747,"FL"
1994,13952714,"FL"
1995,14165570,"FL"
1996,14399985,"FL"
1997,14653945,"FL"
1998,14915980,"FL"
1999,15111244,"FL"
2000,15982378,"FL"
2001,16396515,"FL"
2002,16713149,"FL"
2003,17019068,"FL"
2004,17397161,"FL"
2005,17789864,"FL"
2006,18089888,"FL"
2007,18251243,"FL"
2008,18328340,"FL"
2009,18537969,"FL"
2010,18801310,"FL"
2011,19057542,"FL"
2012,19317568,"FL"
2013,19552860,"FL"
1990,6477700,"GA"
1991,6628029,"GA"
1992,6773364,"GA"
1993,6902358,"GA"
1994,7055336,"GA"
1995,7200882,"GA"
1996,7353225,"GA"
1997,7486242,"GA"
1998,7642207,"GA"
1999,7788240,"GA"
2000,8186453,"GA"
2001,8383915,"GA"
2002,8560310,"GA"
2003,8684715,"GA"
2004,8829383,"GA"
2005,9072576,"GA"
2006,9363941,"GA"
2007,9544750,"GA"
2008,9685744,"GA"
2009,9829211,"GA"
2010,9687653,"GA"
2011,9815210,"GA"
2012,9919945,"GA"
2013,9992167,"GA"
1990,1006600,"ID"
1991,1037758,"ID"
1992,1065885,"ID"
1993,1100358,"ID"
1994,1133034,"ID"
1995,1163261,"ID"
1996,1189251,"ID"
1997,1210232,"ID"
1998,1228684,"ID"
1999,1251700,"ID"
2000,1293953,"ID"
2001,1321006,"ID"
2002,1341131,"ID"
2003,1366332,"ID"
2004,1393262,"ID"
2005,1429096,"ID"
2006,1466465,"ID"
2007,1499402,"ID"
2008,1523816,"ID"
2009,1545801,"ID"
2010,1567582,"ID"
2011,1584985,"ID"
2012,1595728,"ID"
2013,1612136,"ID"
1990,11430500,"IL"
1991,11524532,"IL"
1992,11612906,"IL"
1993,11685844,"IL"
1994,11751774,"IL"
1995,11829940,"IL"
1996,11846544,"IL"
1997,11895849,"IL"
1998,12045326,"IL"
1999,12128370,"IL"
2000,12419293,"IL"
2001,12482301,"IL"
2002,12600620,"IL"
2003,12653544,"IL"
2004,12713634,"IL"
2005,12763371,"IL"
2006,12831970,"IL"
2007,12852548,"IL"
2008,12901563,"IL"
2009,12910409,"IL"
2010,12830632,"IL"
2011,12869257,"IL"
2012,12875255,"IL"
2013,12882135,"IL"
1990,5544000,"IN"
1991,5606537,"IN"
1992,5658323,"IN"
1993,5705540,"IN"
1994,5752073,"IN"
1995,5803471,"IN"
1996,5840528,"IN"
1997,5864108,"IN"
1998,5899195,"IN"
1999,5942901,"IN"
2000,6080485,"IN"
2001,6114745,"IN"
2002,6159068,"IN"
2003,6195643,"IN"
2004,6237569,"IN"
2005,6271973,"IN"
2006,6313520,"IN"
