node,outnode
junction.20274-dn,usgs.12035002
junction.18530-dn,junction.18530-up
junction.8984-dn,usgs.11467000
usgs.01617800,junction.10610-dn
usgs.01617800,junction.11124-up
reservoir.1413,usgs.01595800
reservoir.1413,usgs.01601000
usgs.05422000,junction.14695-dn
junction.21548-dn,junction.22010-up
junction.154-dn,junction.277-up
junction.15298-dn,junction.15298-up
junction.802-dn,junction.802-up
reservoir.2208,usgs.07189000
reservoir.2208,usgs.07151500
reservoir.2208,junction.6641-up
reservoir.2208,usgs.07249400
reservoir.2208,junction.6726-up
junction.12904-dn,usgs.01303000
junction.20801-dn,junction.20847-up
junction.1600-up,usgs.02343300
junction.21037-dn,usgs.12041200
junction.1336-dn,junction.1336-up
usgs.01461300,junction.12102-up
junction.4841-dn,usgs.11136100
junction.10023-up,usgs.03276500
junction.21603-dn,junction.21535-dn
junction.6216-up,usgs.09419800
junction.11921-dn,junction.11921-up
junction.14651-dn,reservoir.1089
junction.14651-dn,junction.15110-up
usgs.07153500,junction.7062-up
usgs.05501000,usgs.05495500
usgs.05501000,usgs.05490500
junction.4563-dn,junction.4520-dn
junction.9093-dn,usgs.01659500
junction.21625-dn,junction.21580-dn
junction.9071-up,usgs.07001910
junction.15072-dn,usgs.01104500
junction.22048-dn,reservoir.13
junction.22048-dn,junction.21664-dn
usgs.07063000,usgs.07062500
junction.1442-up,junction.1842-up
junction.7112-up,usgs.07156900
usgs.06810000,junction.15542-up
usgs.06810000,usgs.06601000
usgs.06810000,reservoir.943
usgs.04067500,usgs.04066500
junction.4186-dn,junction.4186-up
junction.21912-dn,reservoir.1
junction.19576-dn,junction.22048-dn
junction.19576-dn,usgs.12419000
junction.6755-up,junction.6879-up
junction.6755-up,junction.7948-dn
junction.1230-dn,junction.1222-dn
junction.644-dn,usgs.08189500
junction.3541-dn,usgs.11047300
junction.3661-dn,usgs.11048500
junction.8261-dn,junction.8198-dn
junction.9516-dn,usgs.01652500
junction.362-dn,junction.361-dn
junction.701-dn,junction.667-dn
junction.579-dn,canal.02307498
usgs.02197000,junction.3869-up
junction.8022-dn,reservoir.1508
usgs.02343300,junction.2552-up
junction.11464-up,usgs.06813000
junction.11464-up,junction.12644-dn
junction.11464-up,junction.11330-dn
junction.11464-up,usgs.06810000
junction.11464-up,junction.13775-dn
junction.88-dn,junction.84-dn
reservoir.1607,usgs.03159540
junction.9149-dn,canal.10296750
junction.14096-dn,junction.14418-dn
usgs.07189000,reservoir.2031
junction.4082-dn,junction.4210-dn
junction.1435-dn,junction.1767-up
junction.16765-up,junction.17844-up
junction.11246-up,usgs.06817500
junction.11246-up,junction.11464-up
junction.21657-dn,usgs.12201500
usgs.06813000,usgs.06811840
junction.19121-dn,junction.19046-up
junction.14794-dn,usgs.13176000
junction.6874-up,junction.6561-dn
junction.1008-dn,junction.1053-dn
junction.15542-up,junction.19515-up
junction.15542-up,usgs.06483500
junction.15542-up,junction.15483-up
junction.9296-dn,usgs.11467510
usgs.01426500,usgs.01425000
usgs.03343000,junction.9668-up
junction.4120-up,canal.09428500
junction.762-dn,usgs.08164800
usgs.05050000,junction.19121-dn
junction.16147-dn,reservoir.728
junction.8303-dn,usgs.11181390
usgs.03213700,junction.7662-dn
usgs.06453600,junction.15937-up
junction.12943-dn,usgs.01301500
junction.12168-dn,usgs.09234500
junction.12168-dn,junction.7061-dn
junction.12168-dn,junction.13122-up
usgs.05490500,usgs.05476000
junction.7061-dn,usgs.09371000
usgs.09229500,usgs.09228500
usgs.07249985,usgs.07249500
junction.16849-dn,usgs.05383000
junction.9553-dn,junction.9447-dn
junction.9553-dn,usgs.05545750
