Dam,Height (m),Installed Capacity (MW),Physical Removal Complete,Removal Cost ($M),Removal Cost Inflated to 2008 using USACE Index ($M),Estimated 2008 Construction Cost (INEEL) ($M),Ratio Removal to Est. Construct Cost,
Lewiston,14,10,1973,0.6,2.9,47,6%,
Fort Edwards,10,2.85,1973,0.4,2,17,12%,
Willow Falls,18,1,1991,0.6,1,20,5%,
Newport No 11,6,1.8,2000,0.6,0.8,12,7%,
Mounds,18,0.4,1998,0.17,0.2,7,3%,
Edwards,7,3.5,1999,3,4.2,19,22%,
East Machias,5,1.5,2000,0.5,0.7,10,7%,
Orienta,13,0.8,2001,0.5,0.7,6,11%,
Smelt Hill,6,1.1,2002,0.3,0.4,8,5%,
Sennebec,5,0.4,2002,0.3,0.4,4,9%,
Stronach,5,0.8,2003,0.8,1.1,6,19%,
Embrey,7,6,2005,10,11.5,31,37%,
Cove,8,7.5,2006,3.2,3.5,37,9%,
Madison Electric Works,5,0.547,2006,0.5,0.5,5,11%,
Sturgeon,15,0.8,2005,2,2.3,6,37%,
Underway,,,,,,,,
Marmot & Little Sandy,14,22,2009,17.06,22.5,92,24%,
Elwha and Glines Canyon,65,28.1,2012,227,227,126,181%,
Condit,38,14.7,2009,17.5,27.8,65,43%,
Powerdale,3,6,2012,6.3,6.5,31,21%,
Hoover,221.4,,,,,690,,http://www.whatitcosts.com/hoover-dam-cost-build/
