"FIPS","year_cal","month_num","calculated"
36001,2009,1,3.3677736655859923e8
36001,2009,2,3.104463661141777e8
36001,2009,3,3.3618123046705115e8
36001,2009,4,3.3362410045381796e8
36001,2009,5,3.868912111056261e8
36001,2009,6,4.125960097988622e8
36001,2009,7,4.620492157744381e8
36001,2009,8,4.451139255948917e8
36001,2009,9,3.940374591298406e8
36001,2009,10,3.6367827187278014e8
36001,2009,11,3.2422597785593957e8
36001,2009,12,3.300323326603572e8
36001,2010,1,3.7145436527066064e8
36001,2010,2,3.430749935308496e8
36001,2010,3,3.75153191406032e8
36001,2010,4,3.717187994058063e8
36001,2010,5,4.266307028799899e8
36001,2010,6,4.553345557067353e8
36001,2010,7,5.015930073663227e8
36001,2010,8,4.8504080883346015e8
36001,2010,9,4.2913764557508093e8
36001,2010,10,4.000868970921053e8
36001,2010,11,3.515280042465792e8
36001,2010,12,3.6343150942049325e8
36001,2011,1,2.401199871925659e8
36001,2011,2,2.2052417284046924e8
36001,2011,3,2.39309902290443e8
36001,2011,4,2.377085167135394e8
36001,2011,5,2.74810530431571e8
36001,2011,6,2.9432859341559666e8
36001,2011,7,4.377814874534699e8
36001,2011,8,3.189606423321028e8
36001,2011,9,2.826019706427377e8
36001,2011,10,2.564466096601085e8
36001,2011,11,2.2801423701556534e8
36001,2011,12,2.3740457961153802e8
36001,2012,1,4.77288670476135e8
36001,2012,2,4.375885369433905e8
36001,2012,3,4.773962420248715e8
36001,2012,4,4.7404283435665977e8
36001,2012,5,5.522551387098088e8
36001,2012,6,5.860545094507201e8
36001,2012,7,7.712936341346103e8
36001,2012,8,6.352126103296103e8
36001,2012,9,5.58722257291215e8
36001,2012,10,5.083820568747216e8
36001,2012,11,4.5050867294653916e8
36001,2012,12,4.7015338771854764e8
36001,2013,1,4.061254064862836e8
36001,2013,2,3.7805341525645775e8
36001,2013,3,4.078764650385948e8
36001,2013,4,4.068947006722731e8
36001,2013,5,4.6910465007230335e8
36001,2013,6,5.0225242872167104e8
36001,2013,7,5.603401323416198e8
36001,2013,8,5.456781652217064e8
36001,2013,9,4.8113201297303545e8
36001,2013,10,4.367150906090805e8
36001,2013,11,3.902588044547019e8
36001,2013,12,4.038450205563003e8
36001,2014,1,3.9766720810132253e8
36001,2014,2,3.6550019811206007e8
36001,2014,3,3.982630613048093e8
36001,2014,4,3.9944277475337416e8
36001,2014,5,4.639067092813564e8
36001,2014,6,4.977103183120626e8
36001,2014,7,5.564236915661547e8
36001,2014,8,5.406350923184536e8
36001,2014,9,4.7735281586064184e8
36001,2014,10,4.3534840777881527e8
36001,2014,11,3.8722664945486265e8
36001,2014,12,4.015964039818743e8
36003,2009,1,5.650937630344794e7
36003,2009,2,5.168042466575731e7
36003,2009,3,5.665636720502611e7
36003,2009,4,5.633472198977775e7
36003,2009,5,6.565429206868707e7
36003,2009,6,7.075795558672938e7
36003,2009,7,7.962697972226812e7
