"fips","naics","year","MGwithdrawal","MG_min_of_min_withdrawal","MG_max_of_maxwithdrawl","fix_revenue2015dollar","hours","materials_2015dollar","labor_2015dollar","ln_fix_revenue","ln_MGwithdrawal","ln_hours","ln_materials","coef","y1","y2","m","b","y_hat","fix_revenue","diff"
36001,322,2009,"346.75","288.35","518.3","114371.7","176.757","57345.43","15449.45","4.739454","5.848604","5.174776","10.95685",60.092331997188,77.97858961722032,80.11056478806334,0.009271472802100549,75.30516043473463,78.520043628863,114.37173766027057,0.6865336247849855
36001,322,2010,"357.7","288.35","518.3","179239.5","284.9036","89910.09","25010.41","5.188723","5.879694","5.652151","11.40657",94.52916261563165,122.66541393016267,126.01915010446425,0.014584632199615458,118.45993523540355,123.676858173206,179.23951785975657,0.6900088755537448
36001,322,2011,"328.5","288.35","518.3","241627.7","400.2579","121155.3","34262.07","5.487398","5.794537","5.992109","11.70483",128.8450312405805,167.19527236515486,171.76647801422612,0.0198791287195967,161.46312559885916,167.99341938324667,241.62767298446224,0.695257365633155
36001,322,2012,"361.35","288.35","518.3","296953.9","501.1968","149005.9","42388.11","5.693577","5.889847","6.216999","11.91174",159.03479010856532,206.37089992308668,212.01318759179554,0.02453701965083219,199.29565030676923,208.16210235759743,296.9539273495186,0.7009912420272116
36001,322,2013,"306.6","288.35","518.3","345842","587.7204","173767.5","49490.73","5.845982","5.725544","6.376251","12.06547",185.38343207409764,240.56211651453899,247.13920981632887,0.028602275719895147,232.3146503107072,241.08410804642705,345.84199191984976,0.6970932208321864
36001,322,2014,"288.35","288.35","518.3","392647.5","674.244","197476.8","56292.12","5.972912","5.664175","6.513592","12.19338",211.00809380378215,273.81386286368485,281.3000761938254,0.032555830963864205,264.4263890052546,273.81386286368485,392.6473968094594,0.6973530579563703
36001,327,2009,"678.9","678.9","2770.35","496918.6","1641.832","233200.9","65099.79","6.208426","6.520474","7.403568","12.35966",442.2756578603694,596.974945216368,636.868297239591,0.019074494739641387,584.0252707376255,596.974945216368,496.91848571539333,1.201353868646942
36001,327,2010,"788.4","678.9","2770.35","457633.7","1559.888","209863.2","64022","6.126069","6.670006","7.352369","12.25421",407.38528913605654,549.8806148194839,586.6268486665161,0.01756974053744162,537.9525179686148,551.8045014083337,457.63366226406873,1.2057777801536058
36001,327,2011,"1189.9","678.9","2770.35","412380.5","1473.696","183025.8","62052.92","6.021946","7.081625","7.295529","12.11738",367.5765307826104,496.1475392707433,529.3030152219322,0.01585286569183529,485.38502875255637,504.24835363927116,412.3803074864908,1.2227750561435087
36001,327,2012,"678.9","678.9","2770.35","375247.3","1396","162135.6","60792.21","5.927585","6.520474","7.241366","11.99619",335.07167561526137,452.27312794394953,482.49665951473054,0.014450994081035172,442.46234806233474,452.27312794394953,375.2471967002533,1.2052671730022926
36001,327,2013,"865.05","678.9","2770.35","343290.8","1326.8","145645.4","59912.73","5.838578","6.762787","7.190526","11.88893",308.3545341851828,416.2108582754829,444.02449839241217,0.013298735383073593,407.18234682391426,418.68641786704205,343.290833853201,1.2196259747677445
36001,327,2014,"1058.5","678.9","2770.35","311695.1","1257.6","129396.8","58954.52","5.742025","6.964608","7.136961","11.77064",281.63227650885517,380.1416827989078,405.54496997555935,0.012146256031294812,371.89558957926175,384.75240158838733,311.69495462359936,1.2343876468998725
36003,311,2009,"204.4","189.8","335.8","202414.6","746.8651","146298","24433.32","5.310318","5.320079","6.615885","11.8934",191.19928479530967,243.38168245657076,249.85380935791602,0.04432963631058399,234.96791748482192,244.02889514670528,202.41458599309178,1.2055894783937842
36003,311,2010,"200.75","189.8","335.8","176277.5","622.3676","131507.5","21952.22","5.172059","5.302061","6.433531","11.78682",167.09150826038996,212.694375128841,218.35044987177827,0.038740237965323825,205.34147796302253,213.11858073456128,176.2774192843118,1.208995352892191
36003,311,2011,"189.8","189.8","335.8","147895.1","492.346","114740","19233.33","4.996503","5.245971","6.199182","11.65042",140.5653650134956,178.92867679254928,183.6868372703733,0.03259014025906863,172.74306817137807,178.9286767925493,147.89506470123723,1.2098353461219484
36003,311,2012,"197.1","189.8","335.8","123976.5","373.3725","101289.1","16885.2","4.820092","5.283711","5.922576","11.52573",117.0900861945901,149.04648941303626,153.01000788305635,0.02714738678095953,143.89391540201012,149.24466533653725,123.97649609281198,1.2038141909157432
36003,311,2013,"208.05","189.8","335.8","104962.3","265.447","90203.98","14758.34","4.653602","5.337779","5.581415","11.40983",95.5653732550119,121.64721929946012,124.88212273407818,0.022156872839849736,117.44184483445665,122.05158222878738,104.9623799744337,1.16281264066722
36003,311,2014,"222.65","189.8","335.8","91964.48","157.5215","79294.77","12669.71","4.521402","5.405601","5.059562","11.28093",72.05952128395471,91.72611469692167,94.16534121756077,0.01670703096328148,88.55512022009084,92.27494066406547,91.96444178492605,1.0033762927617782
36007,327,2011,"40.15","40.15","131.4","56547.46","211.3254","27853.46","10841.29","4.03508","3.692622","5.353399","10.23471",56.414192899475466,66.85869793197116,70.6063507823897,0.04107016822376474,65.20973067778701,66.85869793197116,56.5474438528842,1.1823469528686934
36007,327,2012,"73","40.15","131.4","57653","213.2491","28408.13","11169.01","4.054442","4.29046","5.362461","10.25443",57.27618776181738,67.88028223829853,71.68519829389415,0.04169771019830808,66.20611917383647,69.25005201831296,57.652983654082604,1.2011529608565041
36007,327,2013,"73","40.15","131.4","58821.74","215.5526","29011.16","11461.5","4.074512","4.29046","5.373205","10.27544",58.234179558801365,69.01563632002738,72.88419275589116,0.04239513902316472,67.31347148824732,70.40831663693834,58.82176856012499,1.196977213715873
36007,327,2014,"73","40.15","131.4","59851.86","217.8561","29545.02","11725.03","4.091873","4.29046","5.383835","10.29367",59.108985395235436,70.0524034199572,73.97907410718176,0.04303200753122803,68.3246683175784,71.46600486735805,59.85188937438337,1.1940476000736833
36009,327,2009,"149.65","87.6","197.1","54331.48","248.6536","13267.4","8190.638","3.995104","5.008299","5.516061","9.493065",38.93094014662325,47.82446061255885,49.642137867834144,0.016599792285619107,46.37031880833862,48.854477723881516,54.33149080504209,0.899192659726313
36009,327,2010,"87.6","87.6","197.1","63247.6","253.7691","11173.05","7885.802","4.147057","4.472781","5.536425","9.321259",35.481212569539885,43.586665172404516,45.2432753861405,0.015128860399415413,42.261377001415724,43.586665172404516,63.247588474790575,0.6891435108198224
36009,327,2011,"116.8","87.6","197.1","71241.93","259.9031","8975.58","7492.675","4.266081","4.760463","5.560309","9.102262",31.49756237762736,38.69297596326124,40.16359040295372,0.013430268855639112,37.51648441150726,39.085139813845906,71.24189084714803,0.5486258063770997
36009,327,2012,"109.5","87.6","197.1","78670.75","264","7040.062","7161.553","4.365272","4.695925","5.575949","8.859372",27.481887958599245,33.75994680027741,35.043070261622915,0.01171802247804113,32.73344803120101,34.01657149254651,78.67079548822349,0.43239135032819864
36009,327,2013,"113.15","87.6","197.1","85437.48","266.0597","5273.695","6851.522","4.447785","4.728714","5.583721","8.570487",23.26684498075158,28.582004625875463,29.6683286335734,0.009920767193588457,27.712945419717116,28.83548022767165,85.4374902187594,0.33750383062329564
36009,327,2014,"120.45","87.6","197.1","91849.92","268.1193","3551.352","6538.806","4.520156","4.791235","5.591432","8.175083",18.503886535131112,22.730979253153045,23.594921751392967,0.007889885828675086,22.03982525456111,22.990162002625024,91.84992544895505,0.25030136813123105
36009,333,2009,"14.6","7.3","43.8","500324.3","1413.589","221457.1","92697.75","6.215256","2.681021","7.253887","12.30798",320.64144722587145,351.3439759369647,381.5289252343391,0.8269849122568337,345.3069860774898,357.38096579643957,500.32405575568595,0.7142989861973633
36009,333,2010,"7.3","7.3","43.8","604990.3","1750.333","279659.9","107568.8","6.405212","1.987874","7.467561","12.54133",400.18016812031664,438.49880473958393,476.1714705444428,1.032127830270106,430.96427157861217,438.49880473958393,604.9900429732775,0.7248033415302878
36011,312,2012,"3.65","3.65","51.1","17737.08","60.7843","15110.28","2626.799","2.875657","1.294727","4.107332","9.623131",25.010140659398477,26.544931319512443,29.97115610135381,0.07220705546557146,26.281375567063108,26.544931319512443,17.737073551528177,1.4965789729853947
36011,312,2013,"3.65","3.65","51.1","20553.57","70.74474","17529.29","3024.283","3.023035","1.294727","4.259078","9.771628",28.97810439637342,30.756396033395788,34.72620575041274,0.08366300773481454,30.451026055163716,30.756396033395788,20.55357722495207,1.49640112262587
36011,312,2014,"3.65","3.65","51.1","23248.97","80.70518","19844.51","3404.462","3.146261","1.294727","4.390803","9.895682",32.83592932104514,34.85096307572993,39.34926943500581,0.09480097701319029,34.50493950963178,34.85096307572993,23.248973952865196,1.4990323076788905
